"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1958","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","540","","","","0"
"1959","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","470","","","","0"
"1960","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","450","","","","0"
"1961","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","430","","","","0"
"1962","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","460","","","","0"
"1963","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","460","","","","0"
"1964","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","450","","","","0"
"1965","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","420","","","","0"
"1966","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","430","","","","0"
"1967","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","440","","","","0"
"1968","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","380","","","","0"
"1969","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","470","","","","0"
"1970","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","480","","","","0"
"1971","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","520","","","","0"
"1972","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","575","","","","0"
"1973","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","600","","","","0"
"1974","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","578","","","","0"
"1975","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","595","","","","0"
"1976","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","592","","","","0"
"1977","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","518","","","","0"
"1978","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","514","","","","0"
"1979","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","542","","","","0"
"1980","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","544","","","","0"
"1981","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","609","","","","0"
"1982","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","618","","","","0"
"1983","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","690","","","","0"
"1984","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","689","","","","0"
"1985","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","549","","","","0"
"1986","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","538","","","","0"
"1987","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","520","","","","0"
"1988","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","490","","","","0"
"1989","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","510","","","","0"
"1990","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","440","","","","0"
"1991","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","420","","","","0"
"1992","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","405","","","","0"
"1993","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","380","","","","0"
"1994","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","360","","","","0"
"1995","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","340","","","","0"
"1996","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","350","","","","0"
"1997","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","300","","","","0"
"1998","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","285","","","","0"
"1999","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","285","","","","0"
"2000","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","285","","","","0"
"2001","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","287","","","","0"
"2002","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","285","","","","0"
"2003","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","285","","","","0"
"2004","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","255","","","","0"
"2005","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","255","","","","0"
"2006","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","215","","","","0"
"2007","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","200","","","","0"
"2008","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","175","","","","0"
"2009","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","","F","","","0"
"2010","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","354","E","","","0"
"2011","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","291","","","","0"
"2012","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","289","","","","0"
"2013","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","","F","","","0"
"2014","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","285","E","","","0"
"2015","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","283","","","","0"
"2016","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","281","E","","","0"
"2017","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","280","E","","","0"
"2018","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","201","","","","0"
"2019","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","198","","","","0"
"2020","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","152","","","","0"
"2021","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","","x","","","0"
"2022","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","185","E","","","0"
"2023","British Columbia","2016A000259","Area planted (acres)","Fresh asparagus [114221351]","Acres","28","units","0","v72831","14.1.1","173","","","","0"
"1940","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","710","","","","0"
"1941","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","790","","","","0"
"1942","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","650","","","","0"
"1943","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","830","","","","0"
"1944","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1080","","","","0"
"1945","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","870","","","","0"
"1946","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","800","","","","0"
"1947","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","950","","","","0"
"1948","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","720","","","","0"
"1949","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","800","","","","0"
"1950","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1080","","","","0"
"1951","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1180","","","","0"
"1952","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","0","","","","0"
"1953","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","0","","","","0"
"1954","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","0","","","","0"
"1955","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1380","","","","0"
"1956","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1570","","","","0"
"1957","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1490","","","","0"
"1958","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1560","","","","0"
"1959","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1440","","","","0"
"1960","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1350","","","","0"
"1961","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1570","","","","0"
"1962","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1480","","","","0"
"1963","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1250","","","","0"
"1964","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1260","","","","0"
"1965","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1540","","","","0"
"1966","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1900","","","","0"
"1967","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2040","","","","0"
"1968","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1490","","","","0"
"1969","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1610","","","","0"
"1970","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1750","","","","0"
"1971","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1430","","","","0"
"1972","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1850","","","","0"
"1973","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2190","","","","0"
"1974","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1420","","","","0"
"1975","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1484","","","","0"
"1976","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1079","","","","0"
"1977","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1381","","","","0"
"1978","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1402","","","","0"
"1979","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1468","","","","0"
"1980","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1507","","","","0"
"1981","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1618","","","","0"
"1982","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1771","","","","0"
"1983","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1624","","","","0"
"1984","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1777","","","","0"
"1985","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1681","","","","0"
"1986","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1362","","","","0"
"1987","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1390","","","","0"
"1988","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1790","","","","0"
"1989","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1855","","","","0"
"1990","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2025","","","","0"
"1991","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1982","","","","0"
"1992","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1600","","","","0"
"1993","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","870","","","","0"
"1994","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","990","","","","0"
"1995","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1115","","","","0"
"1996","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1353","","","","0"
"1997","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1100","","","","0"
"1998","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1300","","","","0"
"1999","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1540","","","","0"
"2000","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1745","","","","0"
"2001","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1975","","","","0"
"2002","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2000","","","","0"
"2003","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2325","","","","0"
"2004","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2395","","","","0"
"2005","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2300","","","","0"
"2006","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2730","","","","0"
"2007","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2550","","","","0"
"2008","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2410","","","","0"
"2009","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2695","","","","0"
"2010","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","2140","","","","0"
"2011","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1852","","","","0"
"2012","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1724","","","","0"
"2013","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1595","","","","0"
"2014","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1467","","","","0"
"2015","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1338","","","","0"
"2016","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","1210","","","","0"
"2017","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","950","","","","0"
"2018","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","950","","","","0"
"2019","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","942","","","","0"
"2020","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","888","","","","0"
"2021","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","731","E","","","0"
"2022","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","819","","","","0"
"2023","British Columbia","2016A000259","Area planted (acres)","Fresh green and wax beans [114221621]","Acres","28","units","0","v72900","14.1.2","858","","","","0"
"1940","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","430","","","","0"
"1941","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","480","","","","0"
"1942","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","460","","","","0"
"1943","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","510","","","","0"
"1944","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","580","","","","0"
"1945","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","560","","","","0"
"1946","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","590","","","","0"
"1947","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","480","","","","0"
"1948","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","450","","","","0"
"1949","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","390","","","","0"
"1950","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","390","","","","0"
"1951","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","380","","","","0"
"1952","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","380","","","","0"
"1953","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","380","","","","0"
"1954","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","330","","","","0"
"1955","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","340","","","","0"
"1956","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","350","","","","0"
"1957","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","320","","","","0"
"1958","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","280","","","","0"
"1959","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","140","","","","0"
"1960","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","150","","","","0"
"1961","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","140","","","","0"
"1962","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","140","","","","0"
"1963","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","130","","","","0"
"1964","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","140","","","","0"
"1965","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","140","","","","0"
"1966","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","130","","","","0"
"1967","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","90","","","","0"
"1968","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","60","","","","0"
"1969","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","60","","","","0"
"1970","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","80","","","","0"
"1971","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","80","","","","0"
"1972","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","114","","","","0"
"1973","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","128","","","","0"
"1974","British Columbia","2016A000259","Area planted (acres)","Fresh beets [114221141]","Acres","28","units","0","v73070","14.1.3","79","","","","0"
