REF_DATE,GEO,DGUID,Estimates,Commodity,"Farm area, production, value",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1945,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,129330,,,,0
1946,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,222570,,,,0
1947,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,172282,,,,0
1948,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,163642,,,,0
1949,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,194242,,,,0
1950,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,197595,,,,0
1951,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,114750,,,,0
1952,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,142538,,,,0
1953,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,135045,,,,0
1954,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,146745,,,,0
1955,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,144112,,,,0
1956,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,92948,,,,0
1957,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,146610,,,,0
1958,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,135372,,,,0
1959,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,93915,,,,0
1960,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,121058,,,,0
1961,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,96282,,,,0
1962,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,136138,,,,0
1963,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,194186,,,,0
1964,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,155470,,,,0
1965,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,127134,,,,0
1966,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,170918,,,,0
1967,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,151570,,,,0
1968,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,116345,,,,0
1969,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,135616,,,,0
1970,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,145613,,,,0
1971,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,95102,,,,0
1972,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,121428,,,,0
1973,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,160486,,,,0
1974,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,120148,,,,0
1975,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,183218,,,,0
1976,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,190394,,,,0
1977,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,157305,,,,0
1978,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,165826,,,,0
1979,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,166714,,,,0
1980,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,231762,,,,0
1981,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,222736,,,,0
1982,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,193371,,,,0
1983,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,214900,,,,0
1984,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,160465,,,,0
1985,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,152514,,,,0
1986,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,133145,,,,0
1987,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,218689,,,,0
1988,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,189245,,,,0
1989,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,219501,,,,0
1990,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,194349,,,,0
1991,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,146498,,,,0
1992,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,168802,,,,0
1993,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,171891,,,,0
1994,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,208971,,,,0
1995,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,176939,,,,0
1996,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,167810,,,,0
1997,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,134195,,,,0
1998,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,196743,,,,0
1999,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,133130,,,,0
2000,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,144593,,,,0
2001,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,125650,,,,0
2002,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,114150,,,,0
2003,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,128300,,,,0
2004,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,113590,,,,0
2005,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,129375,,,,0
2006,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,138494,,,,0
2007,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,85000,,,,0
2008,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,117250,,,,0
2009,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,102800,,,,0
2010,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,101574,,,,0
2011,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,110349,,,,0
2012,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,111724,,,,0
2013,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,93032,,,,0
2014,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,110842,,,,0
2015,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,111922,,,,0
2016,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,114229,,,,0
2017,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,110996,,,,0
2018,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,113560,,,,0
2019,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,114660,,,,0
2020,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,100777,,,,0
2021,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,91871,,,,0
2022,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,83143,,,,0
2023,British Columbia,2021A000259,Marketed production,Fresh apples [114114111],Tons,Tons,291,units,0,v74271,13.1.1.4,71636,,,,0
2007,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,780,,,,0
2008,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,1033,,,,0
2009,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,833,,,,0
2010,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,567,,,,0
2011,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,444,,,,0
2012,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,639,,,,0
2013,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,470,,,,0
2014,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,886,,,,0
2015,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,980,,,,0
2016,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,1127,,,,0
2017,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,875,,,,0
2018,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,999,,,,0
2019,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,901,,,,0
2020,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,806,,,,0
2021,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,701,,,,0
2022,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,635,,,,0
2023,British Columbia,2021A000259,Marketed production,Fresh apricots [114114431],Tons,Tons,291,units,0,v43974018,13.1.9.4,582,,,,0
1926,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1927,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1928,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1929,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1930,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1931,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1932,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1933,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1934,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1935,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1936,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1937,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1938,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1939,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1940,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1941,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1942,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1943,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1944,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1945,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1946,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1947,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1948,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1949,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1950,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1951,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,0,,,,0
1952,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,202,,,,0
1953,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,336,,,,0
1954,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,518,,,,0
1955,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,372,,,,0
1956,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,606,,,,0
1957,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,640,,,,0
1958,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,961,,,,0
1959,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,874,,,,0
1960,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,832,,,,0
1961,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,882,,,,0
1962,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,954,,,,0
1963,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,1426,,,,0
1964,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,1382,,,,0
1965,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,1525,,,,0
1966,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,1724,,,,0
1967,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,2286,,,,0
1968,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,2576,,,,0
1969,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,1862,,,,0
1970,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,2385,,,,0
1971,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,2023,,,,0
1972,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,2055,,,,0
1973,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,2958,,,,0
1974,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,1800,,,,0
1975,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,3148,,,,0
1976,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,3523,,,,0
1977,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,4127,,,,0
1978,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,3979,,,,0
1979,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,4744,,,,0
1980,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,4720,,,,0
1981,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,3276,,,,0
1982,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,6768,,,,0
1983,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,5893,,,,0
1984,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,4945,,,,0
1985,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,7561,,,,0
1986,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,4679,,,,0
1987,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,8437,,,,0
1988,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,8236,,,,0
1989,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,8041,,,,0
1990,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,9496,,,,0
1991,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,6575,,,,0
1992,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,15468,,,,0
1993,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,9364,,,,0
1994,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,14098,,,,0
1995,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,15438,,,,0
1996,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,18561,,,,0
1997,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,11155,,,,0
1998,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,17083,,,,0
1999,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,16993,,,,0
2000,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,21800,,,,0
2001,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,23900,,,,0
2002,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,19950,,,,0
2003,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,26230,,,,0
2004,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,34425,,,,0
2005,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,27575,,,,0
2006,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,26000,,,,0
2007,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,36890,,,,0
2008,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,34000,,,,0
2009,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,44175,,,,0
2010,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,45000,,,,0
2011,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,48634,,,,0
2012,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,57979,,,,0
2013,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,55421,,,,0
2014,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,72168,,,,0
2015,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,85763,,,,0
2016,British Columbia,2021A000259,Marketed production,Fresh blueberries [1141114],Tons,Tons,291,units,0,v74327,13.1.2.4,82000,,,,0
