x,y,ID,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_MONTH,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,PROVINCE_CODE,TOTAL_RAIN_FLAG,LOCAL_YEAR,LOCAL_DATE,SPEED_MAX_GUST_FLAG,SPEED_MAX_GUST,LOCAL_DAY,TOTAL_PRECIPITATION,SNOW_ON_GROUND,MEAN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW,TOTAL_RAIN,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION_FLAG,HEATING_DEGREE_DAYS,STATION_NAME,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG
-120.74027777777778,56.238055555555555,1183000.2010.8.21,,,,,1183000,17.8,8,,M,BC,,2010,2010-08-21 00:00:00,,0,21,0,0,,12,,0,0,0,,M,,0,,6,FORT ST JOHN A,6.1,
-120.74027777777778,56.238055555555555,1183000.2010.8.22,,,,,1183000,16.8,8,,M,BC,,2010,2010-08-22 00:00:00,,0,22,0.3,0,,11.5,,0,0,0.3,,M,,0,,6.5,FORT ST JOHN A,6.2,
-120.74027777777778,56.238055555555555,1183000.2010.8.23,,,E,,1183000,20.3,8,,M,BC,,2010,2010-08-23 00:00:00,E,33,23,0,0,,12.9,,0,0,0,,M,,24,,5.1,FORT ST JOHN A,5.4,
-120.74027777777778,56.238055555555555,1183000.2010.8.24,,,E,,1183000,20.8,8,,M,BC,,2010,2010-08-24 00:00:00,E,37,24,0,0,,15.5,,0,0,0,,M,,22,,2.5,FORT ST JOHN A,10.1,
-120.74027777777778,56.238055555555555,1183000.2010.8.25,,,,,1183000,19.1,8,,M,BC,T,2010,2010-08-25 00:00:00,,0,25,0,0,,14.5,,0,0,0,,M,,0,T,3.5,FORT ST JOHN A,9.9,
-120.74027777777778,56.238055555555555,1183000.2010.8.26,,,,,1183000,15.1,8,,M,BC,,2010,2010-08-26 00:00:00,,0,26,3.6,0,,11.7,,0,0,3.6,,M,,0,,6.3,FORT ST JOHN A,8.3,
-120.74027777777778,56.238055555555555,1183000.2010.8.27,,,E,,1183000,13.6,8,,M,BC,,2010,2010-08-27 00:00:00,E,46,27,4.9,0,,10.4,,0,0,4.9,,M,,32,,7.6,FORT ST JOHN A,7.2,
-120.74027777777778,56.238055555555555,1183000.2010.8.28,,,,,1183000,11.2,8,,M,BC,,2010,2010-08-28 00:00:00,,0,28,3,0,,8.6,,0,0,3,,M,,0,,9.4,FORT ST JOHN A,5.9,
-120.74027777777778,56.238055555555555,1183000.2010.8.29,,,,,1183000,14.1,8,,M,BC,,2010,2010-08-29 00:00:00,,0,29,0,0,,7.3,,0,0,0,,M,,0,,10.7,FORT ST JOHN A,0.5,
-120.74027777777778,56.238055555555555,1183000.2010.8.30,,,,,1183000,15.1,8,,M,BC,,2010,2010-08-30 00:00:00,,0,30,0,0,,8.9,,0,0,0,,M,,0,,9.1,FORT ST JOHN A,2.6,
-120.74027777777778,56.238055555555555,1183000.2010.8.31,,,,,1183000,15.2,8,,M,BC,,2010,2010-08-31 00:00:00,,0,31,1.2,0,,8.3,,0,0,1.2,,M,,0,,9.7,FORT ST JOHN A,1.4,
-120.74027777777778,56.238055555555555,1183000.2010.9.1,,,,,1183000,17.2,9,,M,BC,,2010,2010-09-01 00:00:00,,0,1,1.8,0,,13,,0,0,1.8,,M,,0,,5,FORT ST JOHN A,8.8,
-120.74027777777778,56.238055555555555,1183000.2010.9.2,,,E,,1183000,19.3,9,,M,BC,T,2010,2010-09-02 00:00:00,E,46,2,0,0,,14.1,,0,0,0,,M,,23,T,3.9,FORT ST JOHN A,8.9,
-120.74027777777778,56.238055555555555,1183000.2010.9.3,,,E,,1183000,23.3,9,,M,BC,,2010,2010-09-03 00:00:00,E,74,3,1,0,,16.5,,0,0,1,T,M,,25,,1.5,FORT ST JOHN A,9.6,
-120.74027777777778,56.238055555555555,1183000.2010.9.4,,,E,,1183000,15.6,9,,M,BC,,2010,2010-09-04 00:00:00,E,37,4,2,0,,11,,0,0,2,,M,,24,,7,FORT ST JOHN A,6.4,
-120.74027777777778,56.238055555555555,1183000.2010.9.5,,,,,1183000,8.5,9,,M,BC,,2010,2010-09-05 00:00:00,,0,5,5.6,0,,6.2,,0,0,5.6,,M,,0,,11.8,FORT ST JOHN A,3.9,
-120.74027777777778,56.238055555555555,1183000.2010.9.6,,,,,1183000,11.2,9,,M,BC,T,2010,2010-09-06 00:00:00,,0,6,0,0,,8.7,,0,0,0,,M,,0,T,9.3,FORT ST JOHN A,6.1,
-120.74027777777778,56.238055555555555,1183000.2010.9.7,,,,,1183000,9.5,9,,M,BC,,2010,2010-09-07 00:00:00,,0,7,11.4,0,,7.7,,0,0,11.4,,M,,0,,10.3,FORT ST JOHN A,5.9,
-120.74027777777778,56.238055555555555,1183000.2010.9.8,,,,,1183000,13.8,9,,M,BC,,2010,2010-09-08 00:00:00,,0,8,1.2,0,,10.7,,0,0,1.2,,M,,0,,7.3,FORT ST JOHN A,7.5,
-120.74027777777778,56.238055555555555,1183000.2010.9.9,,,,,1183000,13.2,9,,M,BC,T,2010,2010-09-09 00:00:00,,0,9,0,0,,10.5,,0,0,0,,M,,0,T,7.5,FORT ST JOHN A,7.7,
-120.74027777777778,56.238055555555555,1183000.2010.9.10,,,,,1183000,14.9,9,,M,BC,T,2010,2010-09-10 00:00:00,,0,10,0,0,,10.3,,0,0,0,,M,,0,T,7.7,FORT ST JOHN A,5.6,
-120.74027777777778,56.238055555555555,1183000.2010.9.11,,,,,1183000,15.6,9,,M,BC,,2010,2010-09-11 00:00:00,,0,11,0,0,,10.3,,0,0,0,,M,,0,,7.7,FORT ST JOHN A,5,
-120.74027777777778,56.238055555555555,1183000.2010.9.12,,,,,1183000,10.9,9,,M,BC,,2010,2010-09-12 00:00:00,,0,12,14.2,0,,8.6,,0,0,14.2,,M,,0,,9.4,FORT ST JOHN A,6.3,
-120.74027777777778,56.238055555555555,1183000.2010.9.13,,,,,1183000,12.6,9,,M,BC,T,2010,2010-09-13 00:00:00,,0,13,0,0,,8.3,,0,0,0,,M,,0,T,9.7,FORT ST JOHN A,3.9,
-120.74027777777778,56.238055555555555,1183000.2010.9.14,,,,,1183000,14,9,,M,BC,,2010,2010-09-14 00:00:00,,0,14,0,0,,6.7,,0,0,0,,M,,0,,11.3,FORT ST JOHN A,-0.6,
-120.74027777777778,56.238055555555555,1183000.2010.9.15,,,E,,1183000,7.7,9,,M,BC,,2010,2010-09-15 00:00:00,E,37,15,0,0,,4.5,,0,0,0,,M,,35,,13.5,FORT ST JOHN A,1.3,
-120.74027777777778,56.238055555555555,1183000.2010.9.16,,,,,1183000,8.1,9,,M,BC,,2010,2010-09-16 00:00:00,,0,16,0,0,,3.4,,0,0,0,,M,,0,,14.6,FORT ST JOHN A,-1.4,
-120.74027777777778,56.238055555555555,1183000.2010.9.17,,,,,1183000,11.8,9,,M,BC,,2010,2010-09-17 00:00:00,,0,17,0,0,,3.4,,0,0,0,,M,,0,,14.6,FORT ST JOHN A,-5.1,
-120.74027777777778,56.238055555555555,1183000.2010.9.18,,,,,1183000,12.4,9,,M,BC,,2010,2010-09-18 00:00:00,,0,18,0,0,,4.9,,0,0,0,,M,,0,,13.1,FORT ST JOHN A,-2.7,
-120.74027777777778,56.238055555555555,1183000.2010.9.19,,,,,1183000,9,9,,M,BC,,2010,2010-09-19 00:00:00,,0,19,1,0,,4.7,,0,0,1,,M,,0,,13.3,FORT ST JOHN A,0.4,
-120.74027777777778,56.238055555555555,1183000.2010.9.20,,,,,1183000,7.7,9,,M,BC,T,2010,2010-09-20 00:00:00,,0,20,0,0,,3.8,,0,0,0,,M,,0,T,14.2,FORT ST JOHN A,-0.1,
-120.74027777777778,56.238055555555555,1183000.2010.9.21,,,,,1183000,11,9,,M,BC,,2010,2010-09-21 00:00:00,,0,21,0,0,,3,,0,0,0,,M,,0,,15,FORT ST JOHN A,-5.1,
-120.74027777777778,56.238055555555555,1183000.2010.9.22,,,,,1183000,14,9,,M,BC,,2010,2010-09-22 00:00:00,,0,22,0,0,,7.8,,0,0,0,,M,,0,,10.2,FORT ST JOHN A,1.5,
-120.74027777777778,56.238055555555555,1183000.2010.9.23,,,,,1183000,13.2,9,,M,BC,,2010,2010-09-23 00:00:00,,0,23,0,0,,5.5,,0,0,0,,M,,0,,12.5,FORT ST JOHN A,-2.3,
-120.74027777777778,56.238055555555555,1183000.2010.9.24,,,,,1183000,14.6,9,,M,BC,T,2010,2010-09-24 00:00:00,,0,24,0,0,,9.4,,0,0,0,,M,,0,T,8.6,FORT ST JOHN A,4.1,
-120.74027777777778,56.238055555555555,1183000.2010.9.25,,,E,,1183000,15.7,9,,M,BC,,2010,2010-09-25 00:00:00,E,37,25,2.2,0,,12.4,,0,0,2.2,,M,,22,,5.6,FORT ST JOHN A,9.1,
-120.74027777777778,56.238055555555555,1183000.2010.9.26,,,E,,1183000,17.1,9,,M,BC,T,2010,2010-09-26 00:00:00,E,46,26,0,0,,12.7,,0,0,0,,M,,24,T,5.3,FORT ST JOHN A,8.2,
-120.74027777777778,56.238055555555555,1183000.2010.9.27,,,,,1183000,13.2,9,,M,BC,,2010,2010-09-27 00:00:00,,0,27,2.6,0,,10.8,,0,0,2.6,,M,,0,,7.2,FORT ST JOHN A,8.4,
-120.74027777777778,56.238055555555555,1183000.2010.9.28,,,E,,1183000,17.9,9,,M,BC,,2010,2010-09-28 00:00:00,E,46,28,0,0,,14.5,,0,0,0,,M,,22,,3.5,FORT ST JOHN A,11.1,
-120.74027777777778,56.238055555555555,1183000.2010.9.29,,,E,,1183000,15.3,9,,M,BC,,2010,2010-09-29 00:00:00,E,46,29,0,0,,11.5,,0,0,0,,M,,24,,6.5,FORT ST JOHN A,7.6,
-120.74027777777778,56.238055555555555,1183000.2010.9.30,,,,,1183000,16.5,9,,M,BC,,2010,2010-09-30 00:00:00,,0,30,0,0,,10.7,,0,0,0,,M,,0,,7.3,FORT ST JOHN A,4.8,
-120.74027777777778,56.238055555555555,1183000.2010.10.1,,,,,1183000,16.6,10,,M,BC,,2010,2010-10-01 00:00:00,,0,1,0,0,,10.7,,0,0,0,,M,,0,,7.3,FORT ST JOHN A,4.7,
-120.74027777777778,56.238055555555555,1183000.2010.10.2,,,E,,1183000,18.9,10,,M,BC,,2010,2010-10-02 00:00:00,E,39,2,0,0,,13.3,,0,0,0,,M,,25,,4.7,FORT ST JOHN A,7.7,
-120.74027777777778,56.238055555555555,1183000.2010.10.3,,,,,1183000,11.1,10,,M,BC,,2010,2010-10-03 00:00:00,,0,3,0,0,,6.9,,0,0,0,,M,,0,,11.1,FORT ST JOHN A,2.6,
-120.74027777777778,56.238055555555555,1183000.2010.10.4,,,,,1183000,12.9,10,,M,BC,,2010,2010-10-04 00:00:00,,0,4,0,0,,6.5,,0,0,0,,M,,0,,11.5,FORT ST JOHN A,0.1,
-120.74027777777778,56.238055555555555,1183000.2010.10.5,,,E,,1183000,11.1,10,,M,BC,,2010,2010-10-05 00:00:00,E,56,5,0,0,,6.7,,0,0,0,,M,,22,,11.3,FORT ST JOHN A,2.3,
-120.74027777777778,56.238055555555555,1183000.2010.10.6,,,E,,1183000,21.2,10,,M,BC,,2010,2010-10-06 00:00:00,E,65,6,0,0,,14.2,,0,0,0,,M,,24,,3.8,FORT ST JOHN A,7.2,
-120.74027777777778,56.238055555555555,1183000.2010.10.7,,,,,1183000,20.4,10,,M,BC,,2010,2010-10-07 00:00:00,,0,7,0,0,,13.4,,0,0,0,,M,,0,,4.6,FORT ST JOHN A,6.4,
-120.74027777777778,56.238055555555555,1183000.2010.10.8,,,E,,1183000,16.4,10,,M,BC,,2010,2010-10-08 00:00:00,E,39,8,0,0,,13.4,,0,0,0,,M,,24,,4.6,FORT ST JOHN A,10.3,
-120.74027777777778,56.238055555555555,1183000.2010.10.9,,,E,,1183000,19.4,10,,M,BC,,2010,2010-10-09 00:00:00,E,56,9,0.2,0,,13.1,,0,0,0.2,,M,,23,,4.9,FORT ST JOHN A,6.8,
-120.74027777777778,56.238055555555555,1183000.2010.10.10,,,E,,1183000,13.4,10,,M,BC,,2010,2010-10-10 00:00:00,E,78,10,0.8,0,,10.8,,0,0,0.8,,M,,30,,7.2,FORT ST JOHN A,8.2,
-120.74027777777778,56.238055555555555,1183000.2010.10.11,,,E,,1183000,10.3,10,,M,BC,,2010,2010-10-11 00:00:00,E,56,11,0,0,,6.5,,0,0,0,,M,,23,,11.5,FORT ST JOHN A,2.7,
-120.74027777777778,56.238055555555555,1183000.2010.10.12,,,E,,1183000,10.8,10,,M,BC,,2010,2010-10-12 00:00:00,E,44,12,0,0,,7.4,,0,0,0,,M,,21,,10.6,FORT ST JOHN A,4,
-120.74027777777778,56.238055555555555,1183000.2010.10.13,,,E,,1183000,11.2,10,,M,BC,T,2010,2010-10-13 00:00:00,E,37,13,0,0,,9.4,,0,0,0,,M,,23,T,8.6,FORT ST JOHN A,7.6,
-120.74027777777778,56.238055555555555,1183000.2010.10.14,,,E,,1183000,11.3,10,,M,BC,,2010,2010-10-14 00:00:00,E,56,14,0,0,,7.6,,0,0,0,,M,,24,,10.4,FORT ST JOHN A,3.8,
-120.74027777777778,56.238055555555555,1183000.2010.10.15,,,E,,1183000,10.2,10,,M,BC,,2010,2010-10-15 00:00:00,E,37,15,0,0,,6.3,,0,0,0,,M,,24,,11.7,FORT ST JOHN A,2.4,
-120.74027777777778,56.238055555555555,1183000.2010.10.16,,,E,,1183000,8.8,10,,M,BC,,2010,2010-10-16 00:00:00,E,41,16,0,0,,4.9,,0,0,0,,M,,24,,13.1,FORT ST JOHN A,1,
-120.74027777777778,56.238055555555555,1183000.2010.10.17,,,E,,1183000,11.6,10,,M,BC,T,2010,2010-10-17 00:00:00,E,56,17,0,0,,8.9,,0,0,0,,M,,24,T,9.1,FORT ST JOHN A,6.2,
-120.74027777777778,56.238055555555555,1183000.2010.10.18,,,E,,1183000,12.5,10,,M,BC,,2010,2010-10-18 00:00:00,E,46,18,0,0,,9.5,,0,0,0,,M,,23,,8.5,FORT ST JOHN A,6.4,
-120.74027777777778,56.238055555555555,1183000.2010.10.19,,,E,,1183000,8.1,10,,M,BC,,2010,2010-10-19 00:00:00,E,37,19,0,0,,5.7,,0,0,0,,M,,23,,12.3,FORT ST JOHN A,3.2,
-120.74027777777778,56.238055555555555,1183000.2010.10.20,,,,,1183000,5.2,10,,M,BC,,2010,2010-10-20 00:00:00,,0,20,4.1,0,,2.1,,0,0,4.1,T,M,,0,,15.9,FORT ST JOHN A,-1.1,
-120.74027777777778,56.238055555555555,1183000.2010.10.21,,,,,1183000,4.7,10,,M,BC,T,2010,2010-10-21 00:00:00,,0,21,0,0,,1.4,,0,0,0,,M,,0,T,16.6,FORT ST JOHN A,-1.9,
-120.74027777777778,56.238055555555555,1183000.2010.10.22,,,,,1183000,-0.3,10,,M,BC,,2010,2010-10-22 00:00:00,,0,22,10.3,0,,-1.7,,0,11.3,0,,M,,0,,19.7,FORT ST JOHN A,-3.1,
-120.74027777777778,56.238055555555555,1183000.2010.10.23,,,,,1183000,-0.1,10,,M,BC,,2010,2010-10-23 00:00:00,,0,23,10.6,7,,-0.9,,0,10.6,0,,M,,0,,18.9,FORT ST JOHN A,-1.6,
-120.74027777777778,56.238055555555555,1183000.2010.10.24,,,,,1183000,-0.9,10,,M,BC,,2010,2010-10-24 00:00:00,,0,24,8.3,9,,-1.6,,0,8.5,0,,M,,0,,19.6,FORT ST JOHN A,-2.3,
-120.74027777777778,56.238055555555555,1183000.2010.10.25,,,,,1183000,-1,10,,M,BC,,2010,2010-10-25 00:00:00,,0,25,1,14,,-2,,0,1,0,,M,,0,,20,FORT ST JOHN A,-3,
-120.74027777777778,56.238055555555555,1183000.2010.10.26,,,,,1183000,-1,10,,M,BC,,2010,2010-10-26 00:00:00,,0,26,0.2,12,,-1.5,,0,0.2,0,,M,,0,,19.5,FORT ST JOHN A,-2,
-120.74027777777778,56.238055555555555,1183000.2010.10.27,,,,,1183000,-0.2,10,,M,BC,,2010,2010-10-27 00:00:00,,0,27,0.2,12,,-1.3,,0,0.2,0,,M,,0,,19.3,FORT ST JOHN A,-2.3,
-120.74027777777778,56.238055555555555,1183000.2010.10.28,,,,,1183000,0.2,10,,M,BC,,2010,2010-10-28 00:00:00,,0,28,0,8,,-1.8,,0,0,0,,M,,0,,19.8,FORT ST JOHN A,-3.7,
-120.74027777777778,56.238055555555555,1183000.2010.10.29,,,E,,1183000,6.3,10,,M,BC,,2010,2010-10-29 00:00:00,E,37,29,0,6,,0.8,,0,0,0,,M,,23,,17.2,FORT ST JOHN A,-4.7,
-120.74027777777778,56.238055555555555,1183000.2010.10.30,,,E,,1183000,9,10,,M,BC,,2010,2010-10-30 00:00:00,E,32,30,0,0,,6,,0,0,0,,M,,22,,12,FORT ST JOHN A,3,
-120.74027777777778,56.238055555555555,1183000.2010.10.31,,,,,1183000,7.4,10,,M,BC,,2010,2010-10-31 00:00:00,,0,31,0,0,,4.2,,0,0,0,,M,,0,,13.8,FORT ST JOHN A,1,
-120.74027777777778,56.238055555555555,1183000.2010.11.1,,,E,,1183000,9.3,11,,M,BC,,2010,2010-11-01 00:00:00,E,52,1,0,0,,5.3,,0,0,0,,M,,23,,12.7,FORT ST JOHN A,1.3,
-120.74027777777778,56.238055555555555,1183000.2010.11.2,,,E,,1183000,9.3,11,,M,BC,,2010,2010-11-02 00:00:00,E,65,2,0,0,,7,,0,0,0,,M,,23,,11,FORT ST JOHN A,4.6,
-120.74027777777778,56.238055555555555,1183000.2010.11.3,,,E,,1183000,8,11,,M,BC,,2010,2010-11-03 00:00:00,E,37,3,0,0,,4.9,,0,0,0,,M,,24,,13.1,FORT ST JOHN A,1.8,
-120.74027777777778,56.238055555555555,1183000.2010.11.4,,,,,1183000,9.9,11,,M,BC,,2010,2010-11-04 00:00:00,,0,4,0,0,,5.1,,0,0,0,,M,,0,,12.9,FORT ST JOHN A,0.3,
-120.74027777777778,56.238055555555555,1183000.2010.11.5,,,E,,1183000,9.4,11,,M,BC,,2010,2010-11-05 00:00:00,E,46,5,0,0,,3.4,,0,0,0,,M,,25,,14.6,FORT ST JOHN A,-2.6,
-120.74027777777778,56.238055555555555,1183000.2010.11.6,,,,,1183000,5.4,11,,M,BC,,2010,2010-11-06 00:00:00,,0,6,0,0,,1,,0,0,0,,M,,0,,17,FORT ST JOHN A,-3.5,
-120.74027777777778,56.238055555555555,1183000.2010.11.7,,,,,1183000,-0.6,11,,M,BC,,2010,2010-11-07 00:00:00,,0,7,2.2,0,,-3.2,,0,2.2,0,,M,,0,,21.2,FORT ST JOHN A,-5.8,
-120.74027777777778,56.238055555555555,1183000.2010.11.8,,,,,1183000,4,11,,M,BC,,2010,2010-11-08 00:00:00,,0,8,0,2,,0,,0,0,0,,M,,0,,18,FORT ST JOHN A,-4,
-120.74027777777778,56.238055555555555,1183000.2010.11.9,,,,,1183000,2,11,,M,BC,,2010,2010-11-09 00:00:00,,0,9,0,1,,-1.6,,0,0,0,,M,,0,,19.6,FORT ST JOHN A,-5.1,
-120.74027777777778,56.238055555555555,1183000.2010.11.10,,,,,1183000,-0.6,11,,M,BC,,2010,2010-11-10 00:00:00,,0,10,0,0,,-5.3,,0,0,0,,M,T,0,,23.3,FORT ST JOHN A,-10,
-120.74027777777778,56.238055555555555,1183000.2010.11.11,,,,,1183000,-1.4,11,,M,BC,,2010,2010-11-11 00:00:00,,0,11,0,0,,-4.8,,0,0,0,T,M,T,0,T,22.8,FORT ST JOHN A,-8.1,
-120.74027777777778,56.238055555555555,1183000.2010.11.12,,,E,,1183000,4.9,11,,M,BC,,2010,2010-11-12 00:00:00,E,56,12,0,0,,0.1,,0,0,0,,M,T,23,,17.9,FORT ST JOHN A,-4.8,
-120.74027777777778,56.238055555555555,1183000.2010.11.13,,,E,,1183000,9.3,11,,M,BC,,2010,2010-11-13 00:00:00,E,46,13,0.4,0,,5.7,,0,0,0.4,T,M,T,24,,12.3,FORT ST JOHN A,2.1,
-120.74027777777778,56.238055555555555,1183000.2010.11.14,,,E,,1183000,6.9,11,,M,BC,,2010,2010-11-14 00:00:00,E,37,14,0.2,0,,4,,0,0,0.2,T,M,,24,,14,FORT ST JOHN A,1,
-120.74027777777778,56.238055555555555,1183000.2010.11.15,,,E,,1183000,1.8,11,,M,BC,,2010,2010-11-15 00:00:00,E,37,15,0,0,,-4.1,,0,0,0,T,M,T,23,T,22.1,FORT ST JOHN A,-9.9,
-120.74027777777778,56.238055555555555,1183000.2010.11.16,,,,,1183000,-9.8,11,,M,BC,,2010,2010-11-16 00:00:00,,0,16,0,0,,-12.5,,0,0,0,T,M,T,0,T,30.5,FORT ST JOHN A,-15.1,
-120.74027777777778,56.238055555555555,1183000.2010.11.17,,,E,,1183000,-12.8,11,,M,BC,,2010,2010-11-17 00:00:00,E,37,17,3.6,1,,-13.9,,0,3.7,0,,M,,5,,31.9,FORT ST JOHN A,-15,
-120.74027777777778,56.238055555555555,1183000.2010.11.18,,,,,1183000,-14.9,11,,M,BC,,2010,2010-11-18 00:00:00,,0,18,1.2,3,,-18,,0,1.2,0,,M,,0,,36,FORT ST JOHN A,-21.1,
-120.74027777777778,56.238055555555555,1183000.2010.11.19,,,,,1183000,-10.6,11,,M,BC,,2010,2010-11-19 00:00:00,,0,19,3.3,4,,-15.9,,0,3.5,0,,M,,0,,33.9,FORT ST JOHN A,-21.2,
-120.74027777777778,56.238055555555555,1183000.2010.11.20,,,,,1183000,-10.5,11,,M,BC,,2010,2010-11-20 00:00:00,,0,20,0.4,6,,-13.4,,0,0.4,0,,M,,0,,31.4,FORT ST JOHN A,-16.3,
-120.74027777777778,56.238055555555555,1183000.2010.11.21,,,E,,1183000,-15.8,11,,M,BC,,2010,2010-11-21 00:00:00,E,37,21,1.8,6,,-18.9,,0,1.8,0,,M,,36,,36.9,FORT ST JOHN A,-22,
-120.74027777777778,56.238055555555555,1183000.2010.11.22,,,E,,1183000,-20.9,11,,M,BC,,2010,2010-11-22 00:00:00,E,37,22,0.4,8,,-25,,0,0.4,0,,M,,36,,43,FORT ST JOHN A,-29,
-120.74027777777778,56.238055555555555,1183000.2010.11.23,,,,,1183000,-19.2,11,,M,BC,,2010,2010-11-23 00:00:00,,0,23,0,8,,-22.6,,0,0,0,,M,,0,,40.6,FORT ST JOHN A,-26,
-120.74027777777778,56.238055555555555,1183000.2010.11.24,,,E,,1183000,-3.5,11,,M,BC,,2010,2010-11-24 00:00:00,E,46,24,0,8,,-12.8,,0,0,0,,M,,23,,30.8,FORT ST JOHN A,-22,
-120.74027777777778,56.238055555555555,1183000.2010.11.25,,,E,,1183000,1.5,11,,M,BC,,2010,2010-11-25 00:00:00,E,65,25,0,5,,-1.1,,0,0,0,T,M,,25,T,19.1,FORT ST JOHN A,-3.6,
-120.74027777777778,56.238055555555555,1183000.2010.11.26,,,,,1183000,0,11,,M,BC,,2010,2010-11-26 00:00:00,,0,26,0,5,,-5,,0,0,0,T,M,,0,T,23,FORT ST JOHN A,-10,
-120.74027777777778,56.238055555555555,1183000.2010.11.27,,,,,1183000,-9.5,11,,M,BC,,2010,2010-11-27 00:00:00,,0,27,1.4,5,,-10.9,,0,1.4,0,,M,,0,,28.9,FORT ST JOHN A,-12.2,
-120.74027777777778,56.238055555555555,1183000.2010.11.28,,,,,1183000,-8.7,11,,M,BC,,2010,2010-11-28 00:00:00,,0,28,0,6,,-12,,0,0,0,T,M,,0,T,30,FORT ST JOHN A,-15.2,
-120.74027777777778,56.238055555555555,1183000.2010.11.29,,,,,1183000,-10,11,,M,BC,,2010,2010-11-29 00:00:00,,0,29,0,7,,-14.1,,0,0,0,,M,,0,,32.1,FORT ST JOHN A,-18.1,
-120.74027777777778,56.238055555555555,1183000.2010.11.30,,,,,1183000,-3.7,11,,M,BC,,2010,2010-11-30 00:00:00,,0,30,0.4,7,,-7.3,,0,0.4,0,,M,,0,,25.3,FORT ST JOHN A,-10.8,
