         begin        end starttemp endtemp year month
123 1976-12-14 1976-12-17      11.7    11.1 1976    12
124 1977-01-17 1977-01-19      11.8    10.4 1977     1
125 1977-02-06 1977-02-08      12.0    12.5 1977     2
126 1977-02-18 1977-02-20      11.8    13.4 1977     2
127 1977-04-05 1977-04-07      16.4    22.7 1977     4
128 1977-04-22 1977-04-25      18.0    19.5 1977     4
129 1977-08-04 1977-08-06      27.6    26.7 1977     8
130 1978-06-02 1978-06-06      23.0    26.3 1978     6
131 1978-07-13 1978-07-15      26.6    25.2 1978     7
132 1978-07-20 1978-07-23      26.5    28.1 1978     7
133 1978-08-06 1978-08-09      26.7    27.0 1978     8
134 1979-04-26 1979-04-29      17.3    18.3 1979     4
135 1979-06-01 1979-06-03      22.4    23.0 1979     6
136 1979-07-16 1979-07-18      27.0    26.0 1979     7
137 1979-12-17 1979-12-20      11.1    10.5 1979    12
138 1980-02-26 1980-02-29      12.3    12.0 1980     2
139 1980-10-03 1980-10-06      23.5    20.5 1980    10
140 1980-12-24 1980-12-30      10.7    10.4 1980    12
141 1981-01-19 1981-01-22      11.2    14.7 1981     1
142 1981-03-20 1981-03-22      13.7    13.5 1981     3
143 1981-08-07 1981-08-10      27.3    27.0 1981     8
144 1982-06-17 1982-06-21      24.4    24.1 1982     6
145 1983-01-09 1983-01-12      10.2    10.8 1983     1
146 1983-03-09 1983-03-11      15.4    13.0 1983     3
147 1983-04-17 1983-04-19      16.2    19.1 1983     4
148 1983-05-27 1983-05-29      21.8    30.4 1983     5
149 1984-03-07 1984-03-09      14.7    15.2 1984     3
150 1984-07-23 1984-07-25      26.8    26.9 1984     7
151 1985-07-02 1985-07-04      27.5    26.4 1985     7
152 1985-07-07 1985-07-11      26.5    26.4 1985     7
153 1985-07-18 1985-07-22      27.4    26.1 1985     7
154 1986-02-24 1986-03-01      13.1    14.3 1986     2
155 1986-08-26 1986-08-28      25.8    24.6 1986     8
156 1986-10-24 1986-10-28      19.5    15.7 1986    10
157 1987-02-09 1987-02-12      11.6    12.9 1987     2
158 1987-03-03 1987-03-06      12.9    13.1 1987     3
159 1987-03-31 1987-04-02      14.7    21.1 1987     3
160 1987-05-08 1987-05-10      21.0    22.6 1987     5
161 1987-06-28 1987-06-30      24.2    28.9 1987     6
162 1987-08-24 1987-08-27      27.0    24.4 1987     8
163 1987-08-30 1987-09-01      25.6    28.7 1987     8
164 1987-09-19 1987-09-21      22.6    22.1 1987     9
165 1987-09-30 1987-10-03      21.2    20.4 1987     9
166 1987-11-07 1987-11-12      14.1    13.2 1987    11
 [ reached 'max' / getOption("max.print") -- omitted 161 rows ]
