x,y,LOCAL_DAY,PROVINCE_CODE,CLIMATE_IDENTIFIER,MIN_TEMPERATURE_FLAG,ID,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_PRECIPITATION,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,SPEED_MAX_GUST,MEAN_TEMPERATURE,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,LOCAL_MONTH,STATION_NAME,MIN_TEMPERATURE,SNOW_ON_GROUND
-122.59694444444445,58.83638888888889,14,BC,1192946,,1192946.2012.12.14,T,0,,,0,0,-14.2,2012,0,2012-12-14 00:00:00,,0,,,36.4,,,0,-18.4,,,,,,T,12,FORT NELSON A,-22.6,57
-122.59694444444445,58.83638888888889,15,BC,1192946,,1192946.2012.12.15,T,0,,,0,0,-15.7,2012,0,2012-12-15 00:00:00,,0,,,36.6,,,0,-18.6,,,,,,T,12,FORT NELSON A,-21.4,57
-122.59694444444445,58.83638888888889,17,BC,1192946,,1192946.2012.12.17,,1,,,0,0,-20,2012,1,2012-12-17 00:00:00,,0,,,39.4,,,0,-21.4,,,,,,,12,FORT NELSON A,-22.7,58
-122.59694444444445,58.83638888888889,18,BC,1192946,,1192946.2012.12.18,,3.4,,,0,0,-20.1,2012,2.4,2012-12-18 00:00:00,,0,,,42.2,,,0,-24.2,,,,,,,12,FORT NELSON A,-28.3,59
-122.59694444444445,58.83638888888889,19,BC,1192946,,1192946.2012.12.19,,0.4,,,0,0,-21.5,2012,0.4,2012-12-19 00:00:00,,0,,,44.8,,,0,-26.8,,,,,,,12,FORT NELSON A,-32,60
-122.59694444444445,58.83638888888889,21,BC,1192946,,1192946.2012.12.21,,6,,,0,32,-22.4,2012,4.6,2012-12-21 00:00:00,,0,,,42.6,,,33,-24.6,,,,,,,12,FORT NELSON A,-26.8,64
-122.59694444444445,58.83638888888889,23,BC,1192946,,1192946.2012.12.23,,3,,,0,0,-23.1,2012,2.4,2012-12-23 00:00:00,,0,,,41.9,,,0,-23.9,,,,,,,12,FORT NELSON A,-24.6,67
-122.59694444444445,58.83638888888889,24,BC,1192946,,1192946.2012.12.24,T,0,,,0,0,-23,2012,0,2012-12-24 00:00:00,,0,,,41.9,,,0,-23.9,,,,,,T,12,FORT NELSON A,-24.8,68
-122.59694444444445,58.83638888888889,25,BC,1192946,,1192946.2012.12.25,,0,,,0,0,-22.6,2012,0,2012-12-25 00:00:00,,0,,,44.4,,,0,-26.4,,,,,,,12,FORT NELSON A,-30.1,68
-122.59694444444445,58.83638888888889,26,BC,1192946,,1192946.2012.12.26,T,0,,,0,0,-28.3,2012,0,2012-12-26 00:00:00,,0,,,50,,,0,-32,,,,,,T,12,FORT NELSON A,-35.6,68
-122.59694444444445,58.83638888888889,27,BC,1192946,,1192946.2012.12.27,,0,,,0,0,-30.5,2012,0,2012-12-27 00:00:00,,0,,,51.5,,,0,-33.5,,,,,,,12,FORT NELSON A,-36.5,68
-122.59694444444445,58.83638888888889,28,BC,1192946,,1192946.2012.12.28,,0,,,0,0,-26.3,2012,0,2012-12-28 00:00:00,,0,,,47.9,,,0,-29.9,,,,,,,12,FORT NELSON A,-33.5,68
-122.59694444444445,58.83638888888889,30,BC,1192946,,1192946.2012.12.30,,0,,,0,0,-19,2012,0,2012-12-30 00:00:00,,0,,,39.7,,,0,-21.7,,,,,,,12,FORT NELSON A,-24.4,
-122.59694444444445,58.83638888888889,31,BC,1192946,,1192946.2012.12.31,,0,,,0,0,-13.1,2012,0,2012-12-31 00:00:00,,0,,,35.2,,,0,-17.2,,,,,,,12,FORT NELSON A,-21.2,
-122.59694444444445,58.83638888888889,2,BC,1192946,,1192946.2013.1.2,,0,,,0,0,-7.3,2013,0,2013-01-02 00:00:00,,0,,,29,,,0,-11,,,,,,,1,FORT NELSON A,-14.6,68
-122.59694444444445,58.83638888888889,3,BC,1192946,,1192946.2013.1.3,,0,,,0,0,-8,2013,0,2013-01-03 00:00:00,,0,,,30.7,,,0,-12.7,,,,,,,1,FORT NELSON A,-17.4,68
-122.59694444444445,58.83638888888889,4,BC,1192946,,1192946.2013.1.4,T,0,,,0,0,-10,2013,0,2013-01-04 00:00:00,,0,,,31.6,,,0,-13.6,,,,,,T,1,FORT NELSON A,-17.1,59
-122.59694444444445,58.83638888888889,5,BC,1192946,,1192946.2013.1.5,,0,,,0,0,-13.2,2013,0,2013-01-05 00:00:00,,0,,,34.4,,,0,-16.4,,,,,,,1,FORT NELSON A,-19.6,59
-122.59694444444445,58.83638888888889,6,BC,1192946,,1192946.2013.1.6,T,0,,,0,0,-9.5,2013,0,2013-01-06 00:00:00,,0,,,30.7,,,0,-12.7,,,,,,T,1,FORT NELSON A,-15.8,59
-122.59694444444445,58.83638888888889,8,BC,1192946,,1192946.2013.1.8,T,0,,,0,0,-14.9,2013,0,2013-01-08 00:00:00,,0,,,34.8,,,0,-16.8,,,,,,T,1,FORT NELSON A,-18.7,61
-122.59694444444445,58.83638888888889,10,BC,1192946,,1192946.2013.1.10,,1,,,0,0,-17.4,2013,0.8,2013-01-10 00:00:00,,0,,,39.6,,,0,-21.6,,,,,,,1,FORT NELSON A,-25.8,62
-122.59694444444445,58.83638888888889,11,BC,1192946,,1192946.2013.1.11,,0,,,0,0,-21.2,2013,0,2013-01-11 00:00:00,,0,,,42.8,,,0,-24.8,,,,,,,1,FORT NELSON A,-28.4,62
-122.59694444444445,58.83638888888889,12,BC,1192946,,1192946.2013.1.12,T,0,,,0,0,-17,2013,0,2013-01-12 00:00:00,,0,,,40.2,,,0,-22.2,,,,,,T,1,FORT NELSON A,-27.4,62
-122.59694444444445,58.83638888888889,13,BC,1192946,,1192946.2013.1.13,,4,,,0,0,-11.6,2013,3.2,2013-01-13 00:00:00,,0,,,35.1,,,0,-17.1,,,,,,,1,FORT NELSON A,-22.6,62
-122.59694444444445,58.83638888888889,14,BC,1192946,,1192946.2013.1.14,,0.4,,,2.6,0,-1.2,2013,3,2013-01-14 00:00:00,,0,,,24.4,,,0,-6.4,,,,,,,1,FORT NELSON A,-11.6,65
-122.59694444444445,58.83638888888889,17,BC,1192946,,1192946.2013.1.17,,7.8,,,0,0,-8.7,2013,7,2013-01-17 00:00:00,,0,,,27.9,,,0,-9.9,,,,,,,1,FORT NELSON A,-11.1,48
-122.59694444444445,58.83638888888889,18,BC,1192946,,1192946.2013.1.18,,7,,,0,32,-11.1,2013,3.4,2013-01-18 00:00:00,,0,,,33.4,,,35,-15.4,,,,,,,1,FORT NELSON A,-19.7,58
-122.59694444444445,58.83638888888889,19,BC,1192946,,1192946.2013.1.19,,1.8,,,0,0,-19.4,2013,1,2013-01-19 00:00:00,,0,,,44.1,,,0,-26.1,,,,,,,1,FORT NELSON A,-32.8,62
-122.59694444444445,58.83638888888889,20,BC,1192946,,1192946.2013.1.20,,0.6,,,0,0,-20,2013,0.6,2013-01-20 00:00:00,,0,,,45.5,,,0,-27.5,,,,,,,1,FORT NELSON A,-35,62
-122.59694444444445,58.83638888888889,21,BC,1192946,,1192946.2013.1.21,,4.8,,,0,0,-17.2,2013,3.4,2013-01-21 00:00:00,,0,,,36.7,,,0,-18.7,,,,,,,1,FORT NELSON A,-20.2,63
-122.59694444444445,58.83638888888889,22,BC,1192946,,1192946.2013.1.22,,2.6,,,0,0,-15.2,2013,1.4,2013-01-22 00:00:00,,0,,,34.4,,,0,-16.4,,,,,,,1,FORT NELSON A,-17.5,65
-122.59694444444445,58.83638888888889,23,BC,1192946,,1192946.2013.1.23,,2,,,0,0,-14.9,2013,1.2,2013-01-23 00:00:00,,0,,,35.6,,,0,-17.6,,,,,,,1,FORT NELSON A,-20.2,65
-122.59694444444445,58.83638888888889,24,BC,1192946,,1192946.2013.1.24,,0,,,0,0,-16.5,2013,0,2013-01-24 00:00:00,,0,,,38.2,,,0,-20.2,,,,,,,1,FORT NELSON A,-23.8,66
-122.59694444444445,58.83638888888889,25,BC,1192946,,1192946.2013.1.25,T,0,,,0,0,-21.2,2013,0,2013-01-25 00:00:00,,0,,,41.3,,,0,-23.3,,,,,,T,1,FORT NELSON A,-25.4,66
-122.59694444444445,58.83638888888889,26,BC,1192946,,1192946.2013.1.26,T,0,,,0,0,-20.1,2013,0,2013-01-26 00:00:00,,0,,,40.7,,,0,-22.7,,,,,,T,1,FORT NELSON A,-25.3,66
-122.59694444444445,58.83638888888889,28,BC,1192946,,1192946.2013.1.28,,0.6,,,0,0,-27,2013,0.6,2013-01-28 00:00:00,,0,,,46,,,0,-28,,,,,,,1,FORT NELSON A,-28.9,68
-122.59694444444445,58.83638888888889,29,BC,1192946,,1192946.2013.1.29,,2,,,0,0,-27,2013,1.4,2013-01-29 00:00:00,,0,,,49.5,,,0,-31.5,,,,,,,1,FORT NELSON A,-35.9,71
-122.59694444444445,58.83638888888889,30,BC,1192946,,1192946.2013.1.30,,6,,,0,0,-21,2013,2,2013-01-30 00:00:00,,0,,,42.1,,,0,-24.1,,,,,,,1,FORT NELSON A,-27.2,72
-122.59694444444445,58.83638888888889,31,BC,1192946,,1192946.2013.1.31,,1.2,,,0,0,-15.4,2013,0.8,2013-01-31 00:00:00,,0,,,38.8,,,0,-20.8,,,,,,,1,FORT NELSON A,-26.2,77
-122.59694444444445,58.83638888888889,1,BC,1192946,,1192946.2013.2.1,T,0.2,,,0,0,-9.9,2013,0,2013-02-01 00:00:00,,0,,,32.2,,,0,-14.2,,,,,,,2,FORT NELSON A,-18.4,76
-122.59694444444445,58.83638888888889,2,BC,1192946,,1192946.2013.2.2,,4.2,,,0,0,-12.1,2013,3,2013-02-02 00:00:00,,0,,,32.6,,,0,-14.6,,,,,,,2,FORT NELSON A,-17.1,76
-122.59694444444445,58.83638888888889,3,BC,1192946,,1192946.2013.2.3,T,0,,,0,0,-13.3,2013,0,2013-02-03 00:00:00,,0,,,35.4,,,0,-17.4,,,,,,T,2,FORT NELSON A,-21.5,77
-122.59694444444445,58.83638888888889,4,BC,1192946,,1192946.2013.2.4,,0,,,0,0,-8.5,2013,0,2013-02-04 00:00:00,,0,,,32.7,,,0,-14.7,,,,,,,2,FORT NELSON A,-20.9,77
-122.59694444444445,58.83638888888889,5,BC,1192946,,1192946.2013.2.5,T,0,,,0,0,-11.6,2013,0,2013-02-05 00:00:00,,0,,,33.2,,,0,-15.2,,,,,,T,2,FORT NELSON A,-18.8,77
-122.59694444444445,58.83638888888889,6,BC,1192946,,1192946.2013.2.6,T,0,,,0,0,-13.4,2013,0,2013-02-06 00:00:00,,0,,,36.1,,,0,-18.1,,,,,,T,2,FORT NELSON A,-22.7,77
-122.59694444444445,58.83638888888889,7,BC,1192946,,1192946.2013.2.7,,0,,,0,0,-15.5,2013,0,2013-02-07 00:00:00,,0,,,38,,,0,-20,,,,,,T,2,FORT NELSON A,-24.4,76
-122.59694444444445,58.83638888888889,8,BC,1192946,,1192946.2013.2.8,,0,,,0,0,-8.4,2013,0,2013-02-08 00:00:00,,0,,,33.5,,,0,-15.5,,,,,,,2,FORT NELSON A,-22.5,76
-122.59694444444445,58.83638888888889,9,BC,1192946,,1192946.2013.2.9,,0,,,0,0,0.4,2013,0,2013-02-09 00:00:00,,0,,,24.8,,,0,-6.8,,,,,,,2,FORT NELSON A,-14,76
-122.59694444444445,58.83638888888889,10,BC,1192946,,1192946.2013.2.10,,0,,,0,0,-0.4,2013,0,2013-02-10 00:00:00,,0,,,22.7,,,0,-4.7,,,,,,,2,FORT NELSON A,-8.9,76
-122.59694444444445,58.83638888888889,11,BC,1192946,,1192946.2013.2.11,,0,,,0,29,6.4,2013,0,2013-02-11 00:00:00,,0,,,21,,,37,-3,,,,,,,2,FORT NELSON A,-12.4,72
-122.59694444444445,58.83638888888889,12,BC,1192946,,1192946.2013.2.12,,3.2,,,0,32,1.3,2013,1.6,2013-02-12 00:00:00,,0,,,21,,,37,-3,,,,,,,2,FORT NELSON A,-7.2,71
-122.59694444444445,58.83638888888889,13,BC,1192946,,1192946.2013.2.13,,2.2,,,0,0,-0.3,2013,1,2013-02-13 00:00:00,,0,,,25.6,,,0,-7.6,,,,,,,2,FORT NELSON A,-14.9,75
-122.59694444444445,58.83638888888889,14,BC,1192946,,1192946.2013.2.14,,0,,,0,0,-2,2013,0,2013-02-14 00:00:00,,0,,,26.3,,,0,-8.3,,,,,,,2,FORT NELSON A,-14.5,74
-122.59694444444445,58.83638888888889,15,BC,1192946,,1192946.2013.2.15,,0,,,0,0,2.7,2013,0,2013-02-15 00:00:00,,0,,,20.6,,,0,-2.6,,,,,,,2,FORT NELSON A,-7.8,74
-122.59694444444445,58.83638888888889,16,BC,1192946,,1192946.2013.2.16,,0,,,0,33,1.4,2013,0,2013-02-16 00:00:00,,0,,,21.4,,,41,-3.4,,,,,,,2,FORT NELSON A,-8.1,74
-122.59694444444445,58.83638888888889,17,BC,1192946,,1192946.2013.2.17,,0.2,,,0,0,-4,2013,0.2,2013-02-17 00:00:00,,0,,,28.9,,,0,-10.9,,,,,,,2,FORT NELSON A,-17.7,73
-122.59694444444445,58.83638888888889,18,BC,1192946,,1192946.2013.2.18,,0,,,0,0,-6.7,2013,0,2013-02-18 00:00:00,,0,,,28.7,,,0,-10.7,,,,,,,2,FORT NELSON A,-14.7,
-122.59694444444445,58.83638888888889,19,BC,1192946,,1192946.2013.2.19,,1,,,0,0,-8.8,2013,0.2,2013-02-19 00:00:00,,0,,,32.4,,,0,-14.4,,,,,,,2,FORT NELSON A,-19.9,73
-122.59694444444445,58.83638888888889,21,BC,1192946,,1192946.2013.2.21,,0,,,0,0,-14.2,2013,0,2013-02-21 00:00:00,,0,,,37.4,,,0,-19.4,,,,,,,2,FORT NELSON A,-24.5,73
-122.59694444444445,58.83638888888889,23,BC,1192946,,1192946.2013.2.23,,0,,,0,0,-11.8,2013,0,2013-02-23 00:00:00,,0,,,34.9,,,0,-16.9,,,,,,T,2,FORT NELSON A,-22,74
-122.59694444444445,58.83638888888889,24,BC,1192946,,1192946.2013.2.24,,0,,,0,0,-5,2013,0,2013-02-24 00:00:00,,0,,,30.9,,,0,-12.9,,,,,,,2,FORT NELSON A,-20.7,74
-122.59694444444445,58.83638888888889,25,BC,1192946,,1192946.2013.2.25,,0,,,0,0,-3.1,2013,0,2013-02-25 00:00:00,,0,,,30.1,,,0,-12.1,,,,,,,2,FORT NELSON A,-21,74
-122.59694444444445,58.83638888888889,26,BC,1192946,,1192946.2013.2.26,,0,,,0,0,-5.9,2013,0,2013-02-26 00:00:00,,0,,,33.1,,,0,-15.1,,,,,,,2,FORT NELSON A,-24.3,74
-122.59694444444445,58.83638888888889,27,BC,1192946,,1192946.2013.2.27,,0,,,0,0,-5.3,2013,0,2013-02-27 00:00:00,,0,,,30.5,,,0,-12.5,,,,,,,2,FORT NELSON A,-19.7,74
-122.59694444444445,58.83638888888889,1,BC,1192946,,1192946.2013.3.1,T,0,,,0,28,7.3,2013,0,2013-03-01 00:00:00,,0,,,17,,,48,1,,,,,,T,3,FORT NELSON A,-5.4,74
-122.59694444444445,58.83638888888889,2,BC,1192946,,1192946.2013.3.2,,0,,,0,0,3.5,2013,0,2013-03-02 00:00:00,,0,,,22.1,,,0,-4.1,,,,,,,3,FORT NELSON A,-11.6,74
-122.59694444444445,58.83638888888889,4,BC,1192946,,1192946.2013.3.4,T,0,,,0,0,-5.5,2013,0,2013-03-04 00:00:00,,0,,,28.1,,,0,-10.1,,,,,,T,3,FORT NELSON A,-14.7,66
-122.59694444444445,58.83638888888889,5,BC,1192946,,1192946.2013.3.5,,0,,,0,0,-6.8,2013,0,2013-03-05 00:00:00,,0,,,31.6,,,0,-13.6,,,,,,,3,FORT NELSON A,-20.4,66
-122.59694444444445,58.83638888888889,6,BC,1192946,,1192946.2013.3.6,T,0,,,0,0,-13.1,2013,0,2013-03-06 00:00:00,,0,,,32.4,,,0,-14.4,,,,,,T,3,FORT NELSON A,-15.7,66
-122.59694444444445,58.83638888888889,7,BC,1192946,,1192946.2013.3.7,T,0,,,0,0,-7.4,2013,0,2013-03-07 00:00:00,,0,,,32.7,,,0,-14.7,,,,,,T,3,FORT NELSON A,-21.9,66
-122.59694444444445,58.83638888888889,8,BC,1192946,,1192946.2013.3.8,,0,,,0,0,-5.2,2013,0,2013-03-08 00:00:00,,0,,,32.3,,,0,-14.3,,,,,,,3,FORT NELSON A,-23.3,66
-122.59694444444445,58.83638888888889,9,BC,1192946,,1192946.2013.3.9,,0,,,0,0,-3.7,2013,0,2013-03-09 00:00:00,,0,,,28.6,,,0,-10.6,,,,,,,3,FORT NELSON A,-17.5,66
-122.59694444444445,58.83638888888889,11,BC,1192946,,1192946.2013.3.11,,0,,,0,33,4.3,2013,0,2013-03-11 00:00:00,,0,,,19.8,,,50,-1.8,,,,,,,3,FORT NELSON A,-7.8,66
-122.59694444444445,58.83638888888889,15,BC,1192946,,1192946.2013.3.15,,1.4,,,0,0,-14.7,2013,0.8,2013-03-15 00:00:00,,0,,,36.2,,,0,-18.2,,,,,,,3,FORT NELSON A,-21.6,75
-122.59694444444445,58.83638888888889,16,BC,1192946,,1192946.2013.3.16,,1.8,,,0,0,-12.9,2013,1.8,2013-03-16 00:00:00,,0,,,33.8,,,0,-15.8,,,,,,,3,FORT NELSON A,-18.7,74
-122.59694444444445,58.83638888888889,18,BC,1192946,,1192946.2013.3.18,,0,,,0,0,-6.9,2013,0,2013-03-18 00:00:00,,0,,,33.3,,,0,-15.3,,,,,,,3,FORT NELSON A,-23.6,75
-122.59694444444445,58.83638888888889,19,BC,1192946,,1192946.2013.3.19,,0,,,0,31,-6.2,2013,0,2013-03-19 00:00:00,,0,,,34.4,,,32,-16.4,,,,,,,3,FORT NELSON A,-26.5,75
-122.59694444444445,58.83638888888889,20,BC,1192946,,1192946.2013.3.20,,3.6,,,0,30,-12.3,2013,1.8,2013-03-20 00:00:00,,0,,,33.2,,,39,-15.2,,,,,,,3,FORT NELSON A,-18.1,75
-122.59694444444445,58.83638888888889,21,BC,1192946,,1192946.2013.3.21,,1.2,,,0,0,-9.5,2013,0.8,2013-03-21 00:00:00,,0,,,33,,,0,-15,,,,,,,3,FORT NELSON A,-20.4,81
-122.59694444444445,58.83638888888889,22,BC,1192946,,1192946.2013.3.22,,0,,,0,0,-3,2013,0,2013-03-22 00:00:00,,0,,,33,,,0,-15,,,,,,,3,FORT NELSON A,-26.9,81
-122.59694444444445,58.83638888888889,23,BC,1192946,,1192946.2013.3.23,,0,,,0,0,1.8,2013,0,2013-03-23 00:00:00,,0,,,28.1,,,0,-10.1,,,,,,,3,FORT NELSON A,-22,
-122.59694444444445,58.83638888888889,24,BC,1192946,,1192946.2013.3.24,,0,,,0,0,5.1,2013,0,2013-03-24 00:00:00,,0,,,24.4,,,0,-6.4,,,,,,,3,FORT NELSON A,-17.9,80
-122.59694444444445,58.83638888888889,25,BC,1192946,,1192946.2013.3.25,,0,,,0,0,6.4,2013,0,2013-03-25 00:00:00,,0,,,22,,,0,-4,,,,,,,3,FORT NELSON A,-14.3,80
-122.59694444444445,58.83638888888889,26,BC,1192946,,1192946.2013.3.26,,0,,,0,0,10.8,2013,0,2013-03-26 00:00:00,,0,,,16.7,,,0,1.3,,,,,,,3,FORT NELSON A,-8.2,78
-122.59694444444445,58.83638888888889,28,BC,1192946,,1192946.2013.3.28,,0,,,0,31,4.9,2013,0,2013-03-28 00:00:00,,0,,,21,,,37,-3,,,,,,,3,FORT NELSON A,-10.8,74
-122.59694444444445,58.83638888888889,29,BC,1192946,,1192946.2013.3.29,,0,,,0,0,4.9,2013,0,2013-03-29 00:00:00,,0,,,21.9,,,0,-3.9,,,,,,,3,FORT NELSON A,-12.7,73
