x,y,MIN_REL_HUMIDITY,MAX_TEMPERATURE,STATION_NAME,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW,LOCAL_DAY,DIRECTION_MAX_GUST,MIN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,ID,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,PROVINCE_CODE,SNOW_ON_GROUND,MIN_TEMPERATURE,SPEED_MAX_GUST,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION,LOCAL_MONTH
-122.6775,53.88416667,,2.7,PRINCE GEORGE,M,0,,10,,,,,,1096439.2009.11.10,2009,,M,,19.2,,1096439,BC,,-5,32,,,M,,-1.2,2009-11-10 0:00,,,0,11
-122.6775,53.88416667,,3.1,PRINCE GEORGE,M,0,,11,0,,,,,1096439.2009.11.11,2009,,M,,19.1,,1096439,BC,,-5.2,0,,,,,-1.1,2009-11-11 0:00,,,0,11
-122.6775,53.88416667,,1.1,PRINCE GEORGE,M,0,,12,,,,,,1096439.2009.11.12,2009,,M,,20.8,,1096439,BC,,-6.7,43,,,M,,-2.8,2009-11-12 0:00,,,0,11
-122.6775,53.88416667,,1,PRINCE GEORGE,M,0,,13,,,,,,1096439.2009.11.13,2009,,M,,21.9,,1096439,BC,,-8.7,65,,,M,,-3.9,2009-11-13 0:00,,,0.3,11
-122.6775,53.88416667,,1,PRINCE GEORGE,M,0,,14,,,,,,1096439.2009.11.14,2009,,M,,22.7,,1096439,BC,,-10.4,80,,,M,,-4.7,2009-11-14 0:00,,,0,11
-122.6775,53.88416667,,2.3,PRINCE GEORGE,M,0,,15,0,,,,,1096439.2009.11.15,2009,,M,,17,,1096439,BC,,-0.4,0,,,,,1,2009-11-15 0:00,,,9.8,11
-122.6775,53.88416667,,1.7,PRINCE GEORGE,M,0,,16,,,,,,1096439.2009.11.16,2009,,M,,18.4,,1096439,BC,,-2.5,39,,,M,,-0.4,2009-11-16 0:00,,,18.3,11
-122.6775,53.88416667,,3.6,PRINCE GEORGE,M,0,,17,,,,,,1096439.2009.11.17,2009,,M,,17.4,,1096439,BC,,-2.4,67,,,M,,0.6,2009-11-17 0:00,,,1,11
-122.6775,53.88416667,,2.5,PRINCE GEORGE,M,0,,18,,,,,,1096439.2009.11.18,2009,,M,,19.9,,1096439,BC,,-6.3,56,,,M,,-1.9,2009-11-18 0:00,,,0,11
-122.6775,53.88416667,,3.6,PRINCE GEORGE,M,0,,19,,,,,,1096439.2009.11.19,2009,,M,,17.2,,1096439,BC,,-2,57,,,M,,0.8,2009-11-19 0:00,,,0,11
-122.6775,53.88416667,,2.4,PRINCE GEORGE,M,0,,20,0,,,,,1096439.2009.11.20,2009,,M,,17.5,,1096439,BC,,-1.5,0,,,,,0.5,2009-11-20 0:00,,,5.6,11
-122.6775,53.88416667,,0.4,PRINCE GEORGE,M,0,,21,0,,,,,1096439.2009.11.21,2009,,M,,21.1,,1096439,BC,,-6.6,0,,,,,-3.1,2009-11-21 0:00,,,0,11
-122.6775,53.88416667,,-0.8,PRINCE GEORGE,M,0,,22,0,,,,,1096439.2009.11.22,2009,,M,,21,,1096439,BC,,-5.2,0,,,,,-3,2009-11-22 0:00,,,0,11
-122.6775,53.88416667,,2.3,PRINCE GEORGE,M,0,,23,,,,,,1096439.2009.11.23,2009,,M,,21.8,,1096439,BC,,-9.9,54,,,M,,-3.8,2009-11-23 0:00,,,2.1,11
-122.6775,53.88416667,,-0.3,PRINCE GEORGE,M,0,,24,0,,,,,1096439.2009.11.24,2009,,M,,21.7,,1096439,BC,,-7,0,,,,,-3.7,2009-11-24 0:00,,,0.5,11
-122.6775,53.88416667,,5.7,PRINCE GEORGE,M,0,,25,,,,,,1096439.2009.11.25,2009,,M,,15.3,,1096439,BC,,-0.4,41,,,M,,2.7,2009-11-25 0:00,,,3,11
-122.6775,53.88416667,,3.9,PRINCE GEORGE,M,0,,26,,,,,,1096439.2009.11.26,2009,,M,,17.5,,1096439,BC,,-2.9,41,,,M,,0.5,2009-11-26 0:00,,,0,11
-122.6775,53.88416667,,-0.1,PRINCE GEORGE,M,0,,27,,,,,,1096439.2009.11.27,2009,,M,,21.8,,1096439,BC,,-7.5,46,,,M,,-3.8,2009-11-27 0:00,,,0.3,11
-122.6775,53.88416667,,2,PRINCE GEORGE,M,0,,28,,,,,,1096439.2009.11.28,2009,,M,,19.8,,1096439,BC,,-5.6,41,,,M,,-1.8,2009-11-28 0:00,,,1.5,11
-122.6775,53.88416667,,2.9,PRINCE GEORGE,M,0,,29,,,,,,1096439.2009.11.29,2009,,M,,16.4,,1096439,BC,,0.3,44,,,M,,1.6,2009-11-29 0:00,,,1.3,11
-122.6775,53.88416667,,1,PRINCE GEORGE,M,0,,30,0,,,,,1096439.2009.11.30,2009,,M,,21.5,,1096439,BC,,-8,0,,,,,-3.5,2009-11-30 0:00,,,1.3,11
-122.6775,53.88416667,,-5.9,PRINCE GEORGE,M,,,1,0,M,,,,1096439.2009.12.1,2009,,M,,,E,1096439,BC,,,0,M,M,,M,,2009-12-01 0:00,,,0,12
-122.6775,53.88416667,,-7.4,PRINCE GEORGE,M,0,,2,0,,,,,1096439.2009.12.2,2009,,M,,26,,1096439,BC,,-8.5,0,,,,,-8,2009-12-02 0:00,,,0,12
-122.6775,53.88416667,,-4.9,PRINCE GEORGE,M,0,,3,,,,,,1096439.2009.12.3,2009,,M,,26.3,,1096439,BC,,-11.6,37,,,M,,-8.3,2009-12-03 0:00,,,1.5,12
-122.6775,53.88416667,,-2.6,PRINCE GEORGE,M,0,,4,,,,,,1096439.2009.12.4,2009,,M,,24.3,,1096439,BC,,-10,41,,,M,,-6.3,2009-12-04 0:00,,,3.1,12
-122.6775,53.88416667,,-8.3,PRINCE GEORGE,M,0,,5,,,,,,1096439.2009.12.5,2009,,M,,33.1,,1096439,BC,,-21.9,33,,,M,,-15.1,2009-12-05 0:00,,,0,12
-122.6775,53.88416667,,-12.5,PRINCE GEORGE,M,0,,6,,,,,,1096439.2009.12.6,2009,,M,,36.8,,1096439,BC,,-25,33,,,M,,-18.8,2009-12-06 0:00,,,0,12
-122.6775,53.88416667,,-17.4,PRINCE GEORGE,M,0,,7,0,,,T,,1096439.2009.12.7,2009,,M,,39.1,,1096439,BC,,-24.8,0,,,,,-21.1,2009-12-07 0:00,,,0,12
-122.6775,53.88416667,,-13.5,PRINCE GEORGE,M,0,,8,0,,,,,1096439.2009.12.8,2009,,M,,36,,1096439,BC,,-22.5,0,,,,,-18,2009-12-08 0:00,,,0,12
-122.6775,53.88416667,,-11.6,PRINCE GEORGE,M,0,,9,0,,,,,1096439.2009.12.9,2009,,M,,33.2,,1096439,BC,,-18.7,0,,,,,-15.2,2009-12-09 0:00,,,0,12
-122.6775,53.88416667,,-6.5,PRINCE GEORGE,M,0,,10,0,,,,,1096439.2009.12.10,2009,,M,,27.3,,1096439,BC,,-12,0,,,,,-9.3,2009-12-10 0:00,,,0.6,12
-122.6775,53.88416667,,-5.8,PRINCE GEORGE,M,0,,11,0,,,,,1096439.2009.12.11,2009,,M,,26.9,,1096439,BC,,-12,0,,,,,-8.9,2009-12-11 0:00,,,0.3,12
-122.6775,53.88416667,,-5.8,PRINCE GEORGE,M,0,,12,,,,,,1096439.2009.12.12,2009,,M,,31,,1096439,BC,,-20.1,33,,,M,,-13,2009-12-12 0:00,,,0.5,12
-122.6775,53.88416667,,-20.1,PRINCE GEORGE,M,0,,13,0,,,,,1096439.2009.12.13,2009,,M,,44,,1096439,BC,,-31.9,0,,,,,-26,2009-12-13 0:00,,,0,12
-122.6775,53.88416667,,-27.3,PRINCE GEORGE,M,0,,14,0,,,,,1096439.2009.12.14,2009,,M,,50.2,,1096439,BC,,-37,0,,,,,-32.2,2009-12-14 0:00,,,0,12
-122.6775,53.88416667,,-18.8,PRINCE GEORGE,M,0,,15,0,,,,,1096439.2009.12.15,2009,,M,,42.5,,1096439,BC,,-30.2,0,,,,,-24.5,2009-12-15 0:00,,,0.8,12
-122.6775,53.88416667,,-6.6,PRINCE GEORGE,M,0,,16,0,,,,,1096439.2009.12.16,2009,,M,,30.8,,1096439,BC,,-18.9,0,,,,,-12.8,2009-12-16 0:00,,,0.5,12
-122.6775,53.88416667,,0.6,PRINCE GEORGE,M,0,,17,0,,,,,1096439.2009.12.17,2009,,M,,21.9,,1096439,BC,,-8.3,0,,,,,-3.9,2009-12-17 0:00,,,0,12
-122.6775,53.88416667,,3.9,PRINCE GEORGE,M,0,,18,,,,,,1096439.2009.12.18,2009,,M,,17.8,,1096439,BC,,-3.5,54,,,M,,0.2,2009-12-18 0:00,,,0,12
-122.6775,53.88416667,,-1.8,PRINCE GEORGE,M,0,,19,0,,,,,1096439.2009.12.19,2009,,M,,27.1,,1096439,BC,,-16.4,0,,,,,-9.1,2009-12-19 0:00,,,0,12
-122.6775,53.88416667,,-7.9,PRINCE GEORGE,M,0,,20,,,,,,1096439.2009.12.20,2009,,M,,30.3,,1096439,BC,,-16.6,33,,,M,,-12.3,2009-12-20 0:00,,,0.5,12
-122.6775,53.88416667,,-7.5,PRINCE GEORGE,M,0,,21,,,,,,1096439.2009.12.21,2009,,M,,27.5,,1096439,BC,,-11.5,37,,,M,,-9.5,2009-12-21 0:00,,,2.4,12
-122.6775,53.88416667,,-7.5,PRINCE GEORGE,M,0,,22,0,,,,,1096439.2009.12.22,2009,,M,,35,,1096439,BC,,-26.4,0,,,,,-17,2009-12-22 0:00,,,0.5,12
-122.6775,53.88416667,,-18.1,PRINCE GEORGE,M,0,,23,0,,,,,1096439.2009.12.23,2009,,M,,42.3,,1096439,BC,,-30.5,0,,,,,-24.3,2009-12-23 0:00,,,0,12
-122.6775,53.88416667,,-11,PRINCE GEORGE,M,0,,24,0,,,,,1096439.2009.12.24,2009,,M,,32.6,,1096439,BC,,-18.2,0,,,,,-14.6,2009-12-24 0:00,,,0,12
-122.6775,53.88416667,,-8.8,PRINCE GEORGE,M,0,,25,0,,,,,1096439.2009.12.25,2009,,M,,31.1,,1096439,BC,,-17.4,0,,,,,-13.1,2009-12-25 0:00,,,0,12
-122.6775,53.88416667,,-8.8,PRINCE GEORGE,M,0,,26,0,,,,,1096439.2009.12.26,2009,,M,,32.6,,1096439,BC,,-20.3,0,,,,,-14.6,2009-12-26 0:00,,,0,12
-122.6775,53.88416667,,-9.7,PRINCE GEORGE,M,0,,27,0,,,,,1096439.2009.12.27,2009,,M,,31.8,,1096439,BC,,-17.9,0,,,,,-13.8,2009-12-27 0:00,,,0,12
-122.6775,53.88416667,,-12.8,PRINCE GEORGE,M,0,,28,0,,,,,1096439.2009.12.28,2009,,M,,32.2,,1096439,BC,,-15.6,0,,,,,-14.2,2009-12-28 0:00,,,0,12
-122.6775,53.88416667,,-8,PRINCE GEORGE,M,0,,29,0,,,,,1096439.2009.12.29,2009,,M,,30.3,,1096439,BC,,-16.5,0,,,,,-12.3,2009-12-29 0:00,,,0.8,12
-122.6775,53.88416667,,-7.8,PRINCE GEORGE,M,0,,30,,,,,,1096439.2009.12.30,2009,,M,,30.1,,1096439,BC,,-16.4,32,,,M,,-12.1,2009-12-30 0:00,,,2.5,12
-122.6775,53.88416667,,-14.2,PRINCE GEORGE,M,0,,31,0,,,,,1096439.2009.12.31,2009,,M,,34.1,,1096439,BC,,-17.9,0,,,,,-16.1,2009-12-31 0:00,,,0,12
-122.6775,53.88416667,,-10.7,PRINCE GEORGE,M,0,,1,0,,,,,1096439.2010.1.1,2010,,M,,30.9,,1096439,BC,,-15,0,,,,,-12.9,2010-01-01 0:00,,,4.4,1
-122.6775,53.88416667,,-8.3,PRINCE GEORGE,M,0,,2,0,,,,,1096439.2010.1.2,2010,,M,,29.1,,1096439,BC,,-13.8,0,,,,,-11.1,2010-01-02 0:00,,,1.6,1
-122.6775,53.88416667,,-7.1,PRINCE GEORGE,M,0,,3,0,,,,,1096439.2010.1.3,2010,,M,,30.7,,1096439,BC,,-18.2,0,,,,,-12.7,2010-01-03 0:00,,,0.3,1
-122.6775,53.88416667,,-11.7,PRINCE GEORGE,M,0,,4,0,,,,,1096439.2010.1.4,2010,,M,,36.8,,1096439,BC,,-25.8,0,,,,,-18.8,2010-01-04 0:00,,,0,1
-122.6775,53.88416667,,-20.3,PRINCE GEORGE,M,0,,5,0,,,,,1096439.2010.1.5,2010,,M,,43.3,,1096439,BC,,-30.2,0,,,,,-25.3,2010-01-05 0:00,,,0,1
-122.6775,53.88416667,,-17.6,PRINCE GEORGE,M,0,,6,0,,,,,1096439.2010.1.6,2010,,M,,41.7,,1096439,BC,,-29.8,0,,,,,-23.7,2010-01-06 0:00,,,0,1
-122.6775,53.88416667,,-10.2,PRINCE GEORGE,M,0,,7,0,,,,,1096439.2010.1.7,2010,,M,,35.1,,1096439,BC,,-23.9,0,,,,,-17.1,2010-01-07 0:00,,,0,1
-122.6775,53.88416667,,-5.2,PRINCE GEORGE,M,0,,8,0,,,,,1096439.2010.1.8,2010,,M,,26.1,,1096439,BC,,-11,0,,,,,-8.1,2010-01-08 0:00,,,1,1
-122.6775,53.88416667,,3.4,PRINCE GEORGE,M,0,,9,,,,,,1096439.2010.1.9,2010,,M,,20,,1096439,BC,,-7.3,41,,,M,,-2,2010-01-09 0:00,,,0.5,1
-122.6775,53.88416667,,6.6,PRINCE GEORGE,M,0,,10,,,,,,1096439.2010.1.10,2010,,M,,14.7,,1096439,BC,,0,46,,,M,,3.3,2010-01-10 0:00,,,0.3,1
-122.6775,53.88416667,,7.2,PRINCE GEORGE,M,0,,11,,,,,,1096439.2010.1.11,2010,,M,,13.1,,1096439,BC,,2.6,78,,,M,,4.9,2010-01-11 0:00,,,5,1
-122.6775,53.88416667,,8.2,PRINCE GEORGE,M,0,,12,,,,,,1096439.2010.1.12,2010,,M,,13.8,,1096439,BC,,0.1,63,,,M,,4.2,2010-01-12 0:00,,,0,1
-122.6775,53.88416667,,5.7,PRINCE GEORGE,M,0,,13,0,,,,,1096439.2010.1.13,2010,,M,,15.7,,1096439,BC,,-1.1,0,,,,,2.3,2010-01-13 0:00,,,0,1
-122.6775,53.88416667,,5.4,PRINCE GEORGE,M,0,,14,,,,,,1096439.2010.1.14,2010,,M,,14.8,,1096439,BC,,0.9,63,,,M,,3.2,2010-01-14 0:00,,,0.3,1
-122.6775,53.88416667,,4.8,PRINCE GEORGE,M,0,,15,,,,,,1096439.2010.1.15,2010,,M,,16.8,,1096439,BC,,-2.4,59,,,M,,1.2,2010-01-15 0:00,,,9.6,1
-122.6775,53.88416667,,0,PRINCE GEORGE,M,0,,16,,,,,,1096439.2010.1.16,2010,,M,,22.1,,1096439,BC,,-8.1,33,,,M,,-4.1,2010-01-16 0:00,,,0,1
-122.6775,53.88416667,,5.3,PRINCE GEORGE,M,0,,17,,,,,,1096439.2010.1.17,2010,,M,,19.2,,1096439,BC,,-7.6,61,,,M,,-1.2,2010-01-17 0:00,,,0,1
-122.6775,53.88416667,,6.4,PRINCE GEORGE,M,0,,18,,,,,,1096439.2010.1.18,2010,,M,,16.4,,1096439,BC,,-3.2,46,,,M,,1.6,2010-01-18 0:00,,,0,1
-122.6775,53.88416667,,3.7,PRINCE GEORGE,M,0,,19,0,,,,,1096439.2010.1.19,2010,,M,,18.2,,1096439,BC,,-4,0,,,,,-0.2,2010-01-19 0:00,,,0,1
-122.6775,53.88416667,,0.9,PRINCE GEORGE,M,0,,20,,,,,,1096439.2010.1.20,2010,,M,,19.3,,1096439,BC,,-3.4,32,,,M,,-1.3,2010-01-20 0:00,,,0,1
-122.6775,53.88416667,,-0.5,PRINCE GEORGE,M,0,,21,,,,,,1096439.2010.1.21,2010,,M,,21.8,,1096439,BC,,-7.1,32,,,M,,-3.8,2010-01-21 0:00,,,0,1
-122.6775,53.88416667,,-1.7,PRINCE GEORGE,M,0,,22,,,,,,1096439.2010.1.22,2010,,M,,22.8,,1096439,BC,,-7.9,32,,,M,,-4.8,2010-01-22 0:00,,,0,1
-122.6775,53.88416667,,-3,PRINCE GEORGE,M,0,,23,0,,,,,1096439.2010.1.23,2010,,M,,25.6,,1096439,BC,,-12.2,0,,,,,-7.6,2010-01-23 0:00,,,0,1
-122.6775,53.88416667,,-5.5,PRINCE GEORGE,M,0,,24,,,,,,1096439.2010.1.24,2010,,M,,28.4,,1096439,BC,,-15.2,35,,,M,,-10.4,2010-01-24 0:00,,,0,1
-122.6775,53.88416667,,-5,PRINCE GEORGE,M,0,,25,,,,,,1096439.2010.1.25,2010,,M,,24.2,,1096439,BC,,-7.4,44,,,M,,-6.2,2010-01-25 0:00,,,0.8,1
-122.6775,53.88416667,,-4.6,PRINCE GEORGE,M,0,,26,,,,,,1096439.2010.1.26,2010,,M,,24.3,,1096439,BC,,-7.9,35,,,M,,-6.3,2010-01-26 0:00,,,0,1
-122.6775,53.88416667,,-2.8,PRINCE GEORGE,M,0,,27,0,,,,,1096439.2010.1.27,2010,,M,,22.7,,1096439,BC,,-6.5,0,,,,,-4.7,2010-01-27 0:00,,,0,1
-122.6775,53.88416667,,-0.3,PRINCE GEORGE,M,0,,28,0,,,,,1096439.2010.1.28,2010,,M,,22,,1096439,BC,,-7.7,0,,,,,-4,2010-01-28 0:00,,,0,1
-122.6775,53.88416667,,3,PRINCE GEORGE,M,0,,29,0,,,,,1096439.2010.1.29,2010,,M,,17.2,,1096439,BC,,-1.4,0,,,,,0.8,2010-01-29 0:00,,,0,1
-122.6775,53.88416667,,0,PRINCE GEORGE,M,0,,30,0,,,,,1096439.2010.1.30,2010,,M,,20.2,,1096439,BC,,-4.3,0,,,,,-2.2,2010-01-30 0:00,,,3.1,1
-122.6775,53.88416667,,-3.4,PRINCE GEORGE,M,0,,31,0,,,,,1096439.2010.1.31,2010,,M,,23.3,,1096439,BC,,-7.2,0,,,,,-5.3,2010-01-31 0:00,,,3.1,1
-122.6775,53.88416667,,-1.5,PRINCE GEORGE,M,0,,1,0,,,,,1096439.2010.2.1,2010,,M,,20.8,,1096439,BC,,-4.1,0,,,,,-2.8,2010-02-01 0:00,,,0,2
-122.6775,53.88416667,,-1.2,PRINCE GEORGE,M,0,,2,0,,,,,1096439.2010.2.2,2010,,M,,20.6,,1096439,BC,,-3.9,0,,,,,-2.6,2010-02-02 0:00,,,0,2
-122.6775,53.88416667,,-1.3,PRINCE GEORGE,M,0,,3,0,,,,,1096439.2010.2.3,2010,,M,,20.5,,1096439,BC,,-3.6,0,,,,,-2.5,2010-02-03 0:00,,,0,2
-122.6775,53.88416667,,1.1,PRINCE GEORGE,M,0,,4,0,,,,,1096439.2010.2.4,2010,,M,,19.2,,1096439,BC,,-3.4,0,,,,,-1.2,2010-02-04 0:00,,,0,2
-122.6775,53.88416667,,1.3,PRINCE GEORGE,M,0,,5,0,,,,,1096439.2010.2.5,2010,,M,,20,,1096439,BC,,-5.2,0,,,,,-2,2010-02-05 0:00,,,0,2
-122.6775,53.88416667,,2.6,PRINCE GEORGE,M,0,,6,0,,,,,1096439.2010.2.6,2010,,M,,21.8,,1096439,BC,,-10.1,0,,,,,-3.8,2010-02-06 0:00,,,0,2
-122.6775,53.88416667,,0.7,PRINCE GEORGE,M,0,,7,,,,,,1096439.2010.2.7,2010,,M,,24,,1096439,BC,,-12.7,32,,,M,,-6,2010-02-07 0:00,,,0,2
-122.6775,53.88416667,,-1.5,PRINCE GEORGE,M,0,,8,0,,,,,1096439.2010.2.8,2010,,M,,24.2,,1096439,BC,,-10.9,0,,,,,-6.2,2010-02-08 0:00,,,0,2
-122.6775,53.88416667,,-1.7,PRINCE GEORGE,M,0,,9,0,,,,,1096439.2010.2.9,2010,,M,,22,,1096439,BC,,-6.2,0,,,,,-4,2010-02-09 0:00,,,0,2
-122.6775,53.88416667,,0.6,PRINCE GEORGE,M,0,,10,0,,,,,1096439.2010.2.10,2010,,M,,21.3,,1096439,BC,,-7.2,0,,,,,-3.3,2010-02-10 0:00,,,0,2
-122.6775,53.88416667,,1.9,PRINCE GEORGE,M,0,,11,0,,,,,1096439.2010.2.11,2010,,M,,21.3,,1096439,BC,,-8.4,0,,,,,-3.3,2010-02-11 0:00,,,0.3,2
-122.6775,53.88416667,,6.5,PRINCE GEORGE,M,0,,12,,,,,,1096439.2010.2.12,2010,,M,,16.7,,1096439,BC,,-3.9,46,,,M,,1.3,2010-02-12 0:00,,,0,2
-122.6775,53.88416667,,8.1,PRINCE GEORGE,M,0,,13,,,,,,1096439.2010.2.13,2010,,M,,17,,1096439,BC,,-6.2,46,,,M,,1,2010-02-13 0:00,,,0,2
-122.6775,53.88416667,,8,PRINCE GEORGE,M,0,,14,,,,,,1096439.2010.2.14,2010,,M,,15.9,,1096439,BC,,-3.8,54,,,M,,2.1,2010-02-14 0:00,,,3.1,2
-122.6775,53.88416667,,1.2,PRINCE GEORGE,M,0,,15,0,,,,,1096439.2010.2.15,2010,,M,,19.8,,1096439,BC,,-4.8,0,,,,,-1.8,2010-02-15 0:00,,,0,2
-122.6775,53.88416667,,2.1,PRINCE GEORGE,M,0,,16,0,,,,,1096439.2010.2.16,2010,,M,,18.1,,1096439,BC,,-2.3,0,,,,,-0.1,2010-02-16 0:00,,,10.8,2
-122.6775,53.88416667,,1.2,PRINCE GEORGE,M,0,,17,0,,,,,1096439.2010.2.17,2010,,M,,21,,1096439,BC,,-7.1,0,,,,,-3,2010-02-17 0:00,,,0,2
-122.6775,53.88416667,,-1.8,PRINCE GEORGE,M,0,,18,0,,,,,1096439.2010.2.18,2010,,M,,21.1,,1096439,BC,,-4.4,0,,,,,-3.1,2010-02-18 0:00,,,0,2
-122.6775,53.88416667,,-2.6,PRINCE GEORGE,M,0,,19,0,,,,,1096439.2010.2.19,2010,,M,,21.6,,1096439,BC,,-4.5,0,,,,,-3.6,2010-02-19 0:00,,,0,2
-122.6775,53.88416667,,-4,PRINCE GEORGE,M,0,,20,0,,,,,1096439.2010.2.20,2010,,M,,22.4,,1096439,BC,,-4.7,0,,,,,-4.4,2010-02-20 0:00,,,0,2
-122.6775,53.88416667,,-4,PRINCE GEORGE,M,0,,21,0,,,,,1096439.2010.2.21,2010,,M,,22.5,,1096439,BC,,-4.9,0,,,,,-4.5,2010-02-21 0:00,,,0,2
