x,y,LOCAL_YEAR,TOTAL_RAIN,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST,STATION_NAME,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,ID,MIN_TEMPERATURE,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,TOTAL_RAIN_FLAG,COOLING_DEGREE_DAYS,CLIMATE_IDENTIFIER,HEATING_DEGREE_DAYS,LOCAL_DATE,TOTAL_PRECIPITATION,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,LOCAL_DAY,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW,PROVINCE_CODE
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,7,,1108395.2013.7.8,13.7,17.5,,0,,,,,0,1108395,0.5,2013-07-08 00:00:00,0,,,8,,,,21.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,7,,1108395.2013.7.9,14.2,19.1,,0,,,,,1.1,1108395,0,2013-07-09 00:00:00,0,,,9,,,,24,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,37,VANCOUVER INTL A,,,,7,,1108395.2013.7.10,14.1,18.8,,21,,,,,0.8,1108395,0,2013-07-10 00:00:00,0,,,10,,,,23.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,39,VANCOUVER INTL A,,,,7,,1108395.2013.7.11,13.1,16.5,,24,,,,,0,1108395,1.5,2013-07-11 00:00:00,0,,,11,,,,19.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,32,VANCOUVER INTL A,,,,7,,1108395.2013.7.12,11.4,16,,20,,,,,0,1108395,2,2013-07-12 00:00:00,0,,,12,,,,20.5,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,32,VANCOUVER INTL A,,,,7,,1108395.2013.7.13,11.6,16.4,,22,,,,,0,1108395,1.6,2013-07-13 00:00:00,0,,,13,,,,21.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,41,VANCOUVER INTL A,,,,7,,1108395.2013.7.14,11.8,17.3,,29,,,,,0,1108395,0.7,2013-07-14 00:00:00,0,,,14,,,,22.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,41,VANCOUVER INTL A,,,,7,,1108395.2013.7.15,15.6,19.7,,29,,,,,1.7,1108395,0,2013-07-15 00:00:00,0,,,15,,,,23.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,37,VANCOUVER INTL A,,,,7,,1108395.2013.7.16,13.8,18.9,,30,,,,,0.9,1108395,0,2013-07-16 00:00:00,0,,,16,,,,24,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,48,VANCOUVER INTL A,,,,7,,1108395.2013.7.17,17,20.4,,15,,,,,2.4,1108395,0,2013-07-17 00:00:00,0,,,17,,,,23.7,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,7,,1108395.2013.7.18,14.6,18.4,,0,,,,,0.4,1108395,0,2013-07-18 00:00:00,0,,,18,,,,22.2,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,7,,1108395.2013.7.19,14.4,18.3,,0,,,,,0.3,1108395,0,2013-07-19 00:00:00,0,,,19,,,,22.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,39,VANCOUVER INTL A,,,,7,,1108395.2013.7.20,13.9,18.5,,21,,,,,0.5,1108395,0,2013-07-20 00:00:00,0,,,20,,,,23.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,7,,1108395.2013.7.21,12.4,16.9,,21,,,,,0,1108395,1.1,2013-07-21 00:00:00,0,,,21,,,,21.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,7,,1108395.2013.7.22,13.6,18.3,,22,,,,,0.3,1108395,0,2013-07-22 00:00:00,0,,,22,,,,22.9,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,32,VANCOUVER INTL A,,,,7,,1108395.2013.7.23,14.1,18.9,,21,,,,,0.9,1108395,0,2013-07-23 00:00:00,0,,,23,,,,23.7,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,7,,1108395.2013.7.24,14,18.9,,0,,,,,0.9,1108395,0,2013-07-24 00:00:00,0,,,24,,,,23.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,7,,1108395.2013.7.25,12.8,18.2,,0,,,,,0.2,1108395,0,2013-07-25 00:00:00,0,,,25,,,,23.5,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,48,VANCOUVER INTL A,,,,7,,1108395.2013.7.26,14.1,18.2,,29,,,,,0.2,1108395,0,2013-07-26 00:00:00,0,,,26,,,,22.2,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,50,VANCOUVER INTL A,,,,7,,1108395.2013.7.27,15.3,18.2,,30,,,,,0.2,1108395,0,2013-07-27 00:00:00,0,,,27,,,,21.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,7,,1108395.2013.7.28,13,17,,30,,,,,0,1108395,1,2013-07-28 00:00:00,0,,,28,,,,20.9,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,35,VANCOUVER INTL A,,,,7,,1108395.2013.7.29,13.6,17.9,,20,,,,,0,1108395,0.1,2013-07-29 00:00:00,0,,,29,,,,22.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,37,VANCOUVER INTL A,,,,7,,1108395.2013.7.30,14.5,18.8,,20,,,,,0.8,1108395,0,2013-07-30 00:00:00,0,,,30,,,,23,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,35,VANCOUVER INTL A,,,,7,,1108395.2013.7.31,14.5,19.2,,20,,,,,1.2,1108395,0,2013-07-31 00:00:00,0,,,31,,,,23.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0.6,,33,VANCOUVER INTL A,,,,8,,1108395.2013.8.1,14.2,17.9,,13,,,,,0,1108395,0.1,2013-08-01 00:00:00,0.6,,,1,,,,21.5,,0,BC
-123.18388888888889,49.194722222222225,2013,5.6,,33,VANCOUVER INTL A,,,,8,,1108395.2013.8.2,14.5,16.5,,11,,,,,0,1108395,1.5,2013-08-02 00:00:00,5.6,,,2,,,,18.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0.8,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.3,15.3,18.7,,0,,,,,0.7,1108395,0,2013-08-03 00:00:00,0.8,,,3,,,,22,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.4,14.5,18.7,,0,,,,,0.7,1108395,0,2013-08-04 00:00:00,0,,,4,,,,22.9,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.5,14.2,18.8,,0,,,,,0.8,1108395,0,2013-08-05 00:00:00,0,,,5,,,,23.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.6,13.6,18.7,,0,,,,,0.7,1108395,0,2013-08-06 00:00:00,0,,,6,,,,23.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,8,,1108395.2013.8.7,14.4,19.6,,21,,,,,1.6,1108395,0,2013-08-07 00:00:00,0,,,7,,,,24.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,41,VANCOUVER INTL A,,,,8,,1108395.2013.8.8,14.2,19.2,,21,,,,,1.2,1108395,0,2013-08-08 00:00:00,0,,,8,,,,24.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.9,13.7,18.9,,0,,,,,0.9,1108395,0,2013-08-09 00:00:00,0,,,9,,,,24.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,35,VANCOUVER INTL A,,,,8,,1108395.2013.8.10,15.1,20,,11,,,,,2,1108395,0,2013-08-10 00:00:00,0,,,10,,,,24.8,,0,BC
-123.18388888888889,49.194722222222225,2013,2,,37,VANCOUVER INTL A,,,,8,,1108395.2013.8.11,14.6,18.1,,14,,,,,0.1,1108395,0,2013-08-11 00:00:00,2,,,11,,,,21.6,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,39,VANCOUVER INTL A,,,,8,,1108395.2013.8.12,14.2,18.8,,20,,,,,0.8,1108395,0,2013-08-12 00:00:00,0,,,12,,,,23.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,39,VANCOUVER INTL A,,,,8,,1108395.2013.8.13,14,18.6,,20,,,,,0.6,1108395,0,2013-08-13 00:00:00,0,,,13,,,,23.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0.6,,32,VANCOUVER INTL A,,,,8,,1108395.2013.8.14,14.8,19.5,,8,,,,,1.5,1108395,0,2013-08-14 00:00:00,0.6,,,14,,,,24.2,,0,BC
-123.18388888888889,49.194722222222225,2013,1,,32,VANCOUVER INTL A,,,,8,,1108395.2013.8.15,17,19.5,,11,,,,,1.5,1108395,0,2013-08-15 00:00:00,1,,,15,,,,22,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.16,15.3,19.7,,0,,,,T,1.7,1108395,0,2013-08-16 00:00:00,0,,,16,,,T,24,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.19,13.6,18.1,,0,,,,,0.1,1108395,0,2013-08-19 00:00:00,0,,,19,,,,22.6,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.20,12.6,17.2,,0,,,,,0,1108395,0.8,2013-08-20 00:00:00,0,,,20,,,,21.7,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,8,,1108395.2013.8.21,11.8,17.2,,31,,,,,0,1108395,0.8,2013-08-21 00:00:00,0,,,21,,,,22.6,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.22,11.7,18,,0,,,,,0,1108395,0,2013-08-22 00:00:00,0,,,22,,,,24.2,,0,BC
-123.18388888888889,49.194722222222225,2013,1.6,,44,VANCOUVER INTL A,,,,8,,1108395.2013.8.23,14.4,18.6,,12,,,,,0.6,1108395,0,2013-08-23 00:00:00,1.6,,,23,,,,22.7,,0,BC
-123.18388888888889,49.194722222222225,2013,1.4,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.24,14.9,18.3,,0,,,,,0.3,1108395,0,2013-08-24 00:00:00,1.4,,,24,,,,21.6,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.25,12.9,17.7,,0,,,,,0,1108395,0.3,2013-08-25 00:00:00,0,,,25,,,,22.5,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,39,VANCOUVER INTL A,,,,8,,1108395.2013.8.26,14.5,18.9,,12,,,,T,0.9,1108395,0,2013-08-26 00:00:00,0,,,26,,,T,23.2,,0,BC
-123.18388888888889,49.194722222222225,2013,6.8,,56,VANCOUVER INTL A,,,,8,,1108395.2013.8.27,15.9,19.1,,28,,,,,1.1,1108395,0,2013-08-27 00:00:00,6.8,,,27,,,,22.3,,0,BC
-123.18388888888889,49.194722222222225,2013,5.4,,35,VANCOUVER INTL A,,,,8,,1108395.2013.8.28,15.9,19.1,,31,,,,,1.1,1108395,0,2013-08-28 00:00:00,5.4,,,28,,,,22.3,,0,BC
-123.18388888888889,49.194722222222225,2013,19.2,,41,VANCOUVER INTL A,,,,8,,1108395.2013.8.29,17.6,19.3,,14,,,,,1.3,1108395,0,2013-08-29 00:00:00,19.2,,,29,,,,21,,0,BC
-123.18388888888889,49.194722222222225,2013,12,,67,VANCOUVER INTL A,,,,8,,1108395.2013.8.30,14.7,18.5,,25,,,,,0.5,1108395,0,2013-08-30 00:00:00,12,,,30,,,,22.2,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,8,,1108395.2013.8.31,11.7,15.8,,0,,,,,0,1108395,2.2,2013-08-31 00:00:00,0,,,31,,,,19.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.1,14,18.3,,0,,,,,0.3,1108395,0,2013-09-01 00:00:00,0,,,1,,,,22.5,,0,BC
-123.18388888888889,49.194722222222225,2013,1,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.2,15.9,19,,0,,,,,1,1108395,0,2013-09-02 00:00:00,1,,,2,,,,22,,0,BC
-123.18388888888889,49.194722222222225,2013,10,,35,VANCOUVER INTL A,,,,9,,1108395.2013.9.3,14.6,18,,21,,,,,0,1108395,0,2013-09-03 00:00:00,10,,,3,,,,21.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,9,,1108395.2013.9.4,13.5,16.6,,27,,,,T,0,1108395,1.4,2013-09-04 00:00:00,0,,,4,,,T,19.6,,0,BC
-123.18388888888889,49.194722222222225,2013,3.4,,37,VANCOUVER INTL A,,,,9,,1108395.2013.9.5,13.3,15.7,,27,,,,,0,1108395,2.3,2013-09-05 00:00:00,3.4,,,5,,,,18.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0.4,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.6,15.1,17.7,,0,,,,,0,1108395,0.3,2013-09-06 00:00:00,0.4,,,6,,,,20.2,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,9,,1108395.2013.9.7,16,18.6,,21,,,,,0.6,1108395,0,2013-09-07 00:00:00,0,,,7,,,,21.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.8,13.1,16.7,,0,,,,,0,1108395,1.3,2013-09-08 00:00:00,0,,,8,,,,20.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.9,12.7,16.9,,0,,,,,0,1108395,1.1,2013-09-09 00:00:00,0,,,9,,,,21.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.10,13.8,17.5,,0,,,,,0,1108395,0.5,2013-09-10 00:00:00,0,,,10,,,,21.2,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.11,13.5,18.8,,0,,,,,0.8,1108395,0,2013-09-11 00:00:00,0,,,11,,,,24.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,9,,1108395.2013.9.12,14.7,19.2,,21,,,,,1.2,1108395,0,2013-09-12 00:00:00,0,,,12,,,,23.6,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.13,14,17.4,,0,,,,,0,1108395,0.6,2013-09-13 00:00:00,0,,,13,,,,20.8,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.14,14.6,16,,0,,,,T,0,1108395,2,2013-09-14 00:00:00,0,,,14,,,T,17.4,,0,BC
-123.18388888888889,49.194722222222225,2013,7.6,,39,VANCOUVER INTL A,,,,9,,1108395.2013.9.15,14.8,16,,3,,,,,0,1108395,2,2013-09-15 00:00:00,7.6,,,15,,,,17.1,,0,BC
-123.18388888888889,49.194722222222225,2013,24.8,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.16,13.7,15.9,,0,,,,,0,1108395,2.1,2013-09-16 00:00:00,24.8,,,16,,,,18,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,32,VANCOUVER INTL A,,,,9,,1108395.2013.9.17,12.4,15.4,,20,,,,,0,1108395,2.6,2013-09-17 00:00:00,0,,,17,,,,18.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,33,VANCOUVER INTL A,,,,9,,1108395.2013.9.18,11.2,15.3,,21,,,,,0,1108395,2.7,2013-09-18 00:00:00,0,,,18,,,,19.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.19,12.2,16.2,,0,,,,,0,1108395,1.8,2013-09-19 00:00:00,0,,,19,,,,20.1,,0,BC
-123.18388888888889,49.194722222222225,2013,6.6,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.20,11.8,16,,0,,,,,0,1108395,2,2013-09-20 00:00:00,6.6,,,20,,,,20.1,,0,BC
-123.18388888888889,49.194722222222225,2013,5.8,,33,VANCOUVER INTL A,,,,9,,1108395.2013.9.21,12.3,15.7,,22,,,,,0,1108395,2.3,2013-09-21 00:00:00,5.8,,,21,,,,19,,0,BC
-123.18388888888889,49.194722222222225,2013,2.6,,43,VANCOUVER INTL A,,,,9,,1108395.2013.9.23,10.8,13.9,,20,,,,,0,1108395,4.1,2013-09-23 00:00:00,2.6,,,23,,,,17,,0,BC
-123.18388888888889,49.194722222222225,2013,0.2,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.24,9.2,12.3,,0,,,,,0,1108395,5.7,2013-09-24 00:00:00,0.2,,,24,,,,15.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0.4,,46,VANCOUVER INTL A,,,,9,,1108395.2013.9.25,7.8,11.5,,30,,,,,0,1108395,6.5,2013-09-25 00:00:00,0.4,,,25,,,,15.2,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,32,VANCOUVER INTL A,,,,9,,1108395.2013.9.26,7.3,11.4,,29,,,,,0,1108395,6.6,2013-09-26 00:00:00,0,,,26,,,,15.4,,0,BC
-123.18388888888889,49.194722222222225,2013,11,,0,VANCOUVER INTL A,,,,9,,1108395.2013.9.27,10.4,11.4,,0,,,,,0,1108395,6.6,2013-09-27 00:00:00,11,,,27,,,,12.3,,0,BC
-123.18388888888889,49.194722222222225,2013,35.4,,52,VANCOUVER INTL A,,,,9,,1108395.2013.9.28,10.7,12.6,,16,,,,,0,1108395,5.4,2013-09-28 00:00:00,35.4,,,28,,,,14.4,,0,BC
-123.18388888888889,49.194722222222225,2013,19.2,,57,VANCOUVER INTL A,,,,9,,1108395.2013.9.29,10.1,11.3,,13,,,,,0,1108395,6.7,2013-09-29 00:00:00,19.2,,,29,,,,12.4,,0,BC
-123.18388888888889,49.194722222222225,2013,2.2,,52,VANCOUVER INTL A,,,,9,,1108395.2013.9.30,9.9,11.9,,18,,,,,0,1108395,6.1,2013-09-30 00:00:00,2.2,,,30,,,,13.9,,0,BC
-123.18388888888889,49.194722222222225,2013,10.2,,39,VANCOUVER INTL A,,,,10,,1108395.2013.10.1,8.4,11,,19,,,,,0,1108395,7,2013-10-01 00:00:00,10.2,,,1,,,,13.5,,0,BC
-123.18388888888889,49.194722222222225,2013,11.4,,0,VANCOUVER INTL A,,,,10,,1108395.2013.10.2,7.7,9,,0,,,0,,0,1108395,9,2013-10-02 00:00:00,11.4,,,2,,,,10.2,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,10,,1108395.2013.10.3,3.5,8,,0,,,,,0,1108395,10,2013-10-03 00:00:00,0,,,3,,,,12.5,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,10,,1108395.2013.10.4,5.3,9.4,,0,,,,,0,1108395,8.6,2013-10-04 00:00:00,0,,,4,,,,13.4,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,10,,1108395.2013.10.5,10.9,13.7,,0,,,,,0,1108395,4.3,2013-10-05 00:00:00,0,,,5,,,,16.5,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,37,VANCOUVER INTL A,,,,10,,1108395.2013.10.6,8,14.6,,13,,,,T,0,1108395,3.4,2013-10-06 00:00:00,0,,,6,,,T,21.2,,0,BC
-123.18388888888889,49.194722222222225,2013,3.8,,43,VANCOUVER INTL A,,,,10,,1108395.2013.10.7,11.3,13.2,,20,,,,,0,1108395,4.8,2013-10-07 00:00:00,3.8,,,7,,,,15.1,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,10,,1108395.2013.10.9,4.7,9.5,,0,,,,,0,1108395,8.5,2013-10-09 00:00:00,0,,,9,,,,14.3,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,10,,1108395.2013.10.10,7.2,10.1,,0,,,,T,0,1108395,7.9,2013-10-10 00:00:00,0,,,10,,,T,13,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,0,VANCOUVER INTL A,,,,10,,1108395.2013.10.11,4,7.5,,0,,,,,0,1108395,10.5,2013-10-11 00:00:00,0,,,11,,,,10.9,,0,BC
-123.18388888888889,49.194722222222225,2013,0,,39,VANCOUVER INTL A,,,,10,,1108395.2013.10.12,5.3,9.1,,29,,,,,0,1108395,8.9,2013-10-12 00:00:00,0,,,12,,,,12.8,,0,BC
