Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1976","1976","ha","3950","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1976","1976","100 g/ha","28635","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1976","1976","t","11311","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1977","1977","ha","5050","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1977","1977","100 g/ha","31408","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1977","1977","t","15861","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1978","1978","ha","5000","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1978","1978","100 g/ha","29128","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1978","1978","t","14564","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1979","1979","ha","4700","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1979","1979","100 g/ha","33204","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1979","1979","t","15606","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1980","1980","ha","5400","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1980","1980","100 g/ha","25272","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1980","1980","t","13647","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1981","1981","ha","6200","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1981","1981","100 g/ha","29085","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1981","1981","t","18033","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1982","1982","ha","8200","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1982","1982","100 g/ha","28335","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1982","1982","t","23235","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1983","1983","ha","7800","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1983","1983","100 g/ha","28904","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1983","1983","t","22545","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1984","1984","ha","5900","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1984","1984","100 g/ha","28908","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1984","1984","t","17056","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1985","1985","ha","7700","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1985","1985","100 g/ha","29131","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1985","1985","t","22431","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1986","1986","ha","6600","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1986","1986","100 g/ha","25197","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1986","1986","t","16630","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1987","1987","ha","10300","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1987","1987","100 g/ha","28916","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1987","1987","t","29783","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1988","1988","ha","9687","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1988","1988","100 g/ha","32861","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1988","1988","t","31832","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1989","1989","ha","14063","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1989","1989","100 g/ha","19573","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1989","1989","t","27525","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1990","1990","ha","13741","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1990","1990","100 g/ha","26282","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1990","1990","t","36114","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1991","1991","ha","21461","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1991","1991","100 g/ha","16710","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1991","1991","t","35862","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1992","1992","ha","18231","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1992","1992","100 g/ha","21368","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1992","1992","t","38956","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1993","1993","ha","19492","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1993","1993","100 g/ha","20351","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1993","1993","t","39669","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1994","1994","ha","17943","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1994","1994","100 g/ha","22651","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1994","1994","t","40643","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1995","1995","ha","18250","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1995","1995","100 g/ha","23552","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1995","1995","t","42983","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1996","1996","ha","19887","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1996","1996","100 g/ha","24682","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1996","1996","t","49085","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1997","1997","ha","20388","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1997","1997","100 g/ha","21535","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1997","1997","t","43905","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1998","1998","ha","19625","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1998","1998","100 g/ha","17640","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1998","1998","t","34619","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","1999","1999","ha","22250","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","1999","1999","100 g/ha","29887","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","1999","1999","t","66499","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2000","2000","ha","23808","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2000","2000","100 g/ha","25460","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2000","2000","t","60616","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2001","2001","ha","22165","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2001","2001","100 g/ha","30529","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2001","2001","t","67667","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2002","2002","ha","25817","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2002","2002","100 g/ha","24526","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2002","2002","t","63319","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2003","2003","ha","27142","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2003","2003","100 g/ha","27897","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2003","2003","t","75718","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2004","2004","ha","28162","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2004","2004","100 g/ha","28004","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2004","2004","t","78866","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2005","2005","ha","29704","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2005","2005","100 g/ha","23857","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2005","2005","t","70865","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2006","2006","ha","31485","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2006","2006","100 g/ha","25616","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2006","2006","t","80652","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2007","2007","ha","31691","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2007","2007","100 g/ha","24474","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2007","2007","t","77560","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2008","2008","ha","34109","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2008","2008","100 g/ha","28003","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2008","2008","t","95516","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2009","2009","ha","34848","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2009","2009","100 g/ha","29486","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2009","2009","t","102753","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2010","2010","ha","34277","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2010","2010","100 g/ha","24375","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2010","2010","t","83550","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2011","2011","ha","38479","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2011","2011","100 g/ha","27352","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2011","2011","t","105246","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2012","2012","ha","36841","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2012","2012","100 g/ha","34520","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2012","2012","t","127174","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2013","2013","ha","37985","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2013","2013","100 g/ha","29041","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2013","2013","t","110313","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2014","2014","ha","40443","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2014","2014","100 g/ha","41228","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2014","2014","t","166739","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2015","2015","ha","40760","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2015","2015","100 g/ha","43069","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2015","2015","t","175549","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2016","2016","ha","42570","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2016","2016","100 g/ha","49610","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2016","2016","t","211191","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2017","2017","ha","41569","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2017","2017","100 g/ha","41772","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2017","2017","t","173641","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2018","2018","ha","41068","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2018","2018","100 g/ha","37798","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2018","2018","t","155229","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2019","2019","ha","40671","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2019","2019","100 g/ha","43395","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2019","2019","t","176490","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2020","2020","ha","39736","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2020","2020","100 g/ha","37363","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2020","2020","t","148465","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2021","2021","ha","41932","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2021","2021","100 g/ha","34744","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2021","2021","t","145689","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01355.01","Blueberries","2022","2022","ha","42216","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01355.01","Blueberries","2022","2022","100 g/ha","42666","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01355.01","Blueberries","2022","2022","t","180117","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1961","1961","ha","9235","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1961","1961","100 g/ha","41866","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1961","1961","t","38663","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1962","1962","ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1962","1962","100 g/ha","41927","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1962","1962","t","41927","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1963","1963","ha","11560","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1963","1963","100 g/ha","41898","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1963","1963","t","48434","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1964","1964","ha","12950","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1964","1964","100 g/ha","41890","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1964","1964","t","54247","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1965","1965","ha","13650","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1965","1965","100 g/ha","41874","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1965","1965","t","57158","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1966","1966","ha","13270","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1966","1966","100 g/ha","41885","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1966","1966","t","55581","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1967","1967","ha","14520","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1967","1967","100 g/ha","41894","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1967","1967","t","60830","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1968","1968","ha","13160","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1968","1968","100 g/ha","41909","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1968","1968","t","55152","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1969","1969","ha","13450","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1969","1969","100 g/ha","41891","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1969","1969","t","56344","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1970","1970","ha","15640","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1970","1970","100 g/ha","41907","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1970","1970","t","65543","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1971","1971","ha","9920","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1971","1971","100 g/ha","70775","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1971","1971","t","70209","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1972","1972","ha","7970","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1972","1972","100 g/ha","70797","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1972","1972","t","56425","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1973","1973","ha","8460","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1973","1973","100 g/ha","70781","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1973","1973","t","59881","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1974","1974","ha","10230","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1974","1974","100 g/ha","70802","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","01330","Grapes","1974","1974","t","72430","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01330","Grapes","1975","1975","ha","10840","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01330","Grapes","1975","1975","100 g/ha","70825","E","Estimated value",""
