"","year","month","yyyymmdd","mintemp","meantemp","maxtemp","totprec","consec","yrmon"
"119",1899,6,1899-06-27,6.7,12.3,17.8,5.3,0,189906
"120",1899,6,1899-06-28,6.7,13.9,21.1,0,6,189906
"121",1899,6,1899-06-29,6.7,14.2,21.7,0,5,189906
"122",1899,6,1899-06-30,8.3,17,25.6,0,4,189906
"123",1899,7,1899-07-01,6.1,17,27.8,0,3,189907
"124",1899,7,1899-07-02,7.8,18.4,28.9,0,2,189907
"125",1899,7,1899-07-03,7.2,17,26.7,0.3,1,189907
"126",1899,7,1899-07-04,11.7,17.8,23.9,23.1,0,189907
"127",1899,7,1899-07-05,11.7,14.5,17.2,11.9,0,189907
"128",1899,7,1899-07-06,8.9,14.8,20.6,0.5,22,189907
"129",1899,7,1899-07-07,8.9,18.1,27.2,0,21,189907
"130",1899,7,1899-07-08,10,18.6,27.2,0,20,189907
"131",1899,7,1899-07-09,8.9,19.2,29.4,0,19,189907
"132",1899,7,1899-07-10,7.2,18.3,29.4,0,18,189907
"133",1899,7,1899-07-11,5.6,17,28.3,0,17,189907
"134",1899,7,1899-07-12,7.8,18.6,29.4,0,16,189907
"135",1899,7,1899-07-13,7.2,19.5,31.7,0,15,189907
"136",1899,7,1899-07-14,8.3,20.3,32.2,0,14,189907
"137",1899,7,1899-07-15,8.3,20.3,32.2,0,13,189907
"138",1899,7,1899-07-16,15,23.6,32.2,0,12,189907
"139",1899,7,1899-07-17,11.7,22,32.2,0.3,11,189907
"140",1899,7,1899-07-18,11.7,22.5,33.3,0,10,189907
"141",1899,7,1899-07-19,11.7,21.7,31.7,0,9,189907
"142",1899,7,1899-07-20,12.2,21.1,30,0,8,189907
"143",1899,7,1899-07-21,9.4,18.3,27.2,0,7,189907
"144",1899,7,1899-07-22,11.7,18.7,25.6,0.3,6,189907
"145",1899,7,1899-07-23,10,16.4,22.8,0,5,189907
"146",1899,7,1899-07-24,14.4,21.1,27.8,0,4,189907
"147",1899,7,1899-07-25,6.7,15.3,23.9,0.8,3,189907
"148",1899,7,1899-07-26,7.8,17.5,27.2,0,2,189907
"149",1899,7,1899-07-27,9.4,20.8,32.2,0,1,189907
"150",1899,7,1899-07-28,8.9,16.4,23.9,2,0,189907
"151",1899,7,1899-07-29,7.2,18.3,29.4,0,8,189907
"152",1899,7,1899-07-30,13.9,22.8,31.7,0,7,189907
"153",1899,7,1899-07-31,12.8,20,27.2,0.5,6,189907
"154",1899,8,1899-08-01,7.8,16.7,25.6,0,5,189908
"155",1899,8,1899-08-02,7.2,17.5,27.8,0,4,189908
"156",1899,8,1899-08-03,10.6,20.6,30.6,0,3,189908
"157",1899,8,1899-08-04,14.4,22.8,31.1,0,2,189908
"158",1899,8,1899-08-05,12.2,20.8,29.4,0,1,189908
"159",1899,8,1899-08-06,11.7,21.2,30.6,8.1,0,189908
"160",1899,8,1899-08-07,11.1,19.7,28.3,0.5,3,189908
"161",1899,8,1899-08-08,15,21.4,27.8,0,2,189908
"162",1899,8,1899-08-09,12.2,19.7,27.2,0.3,1,189908
"163",1899,8,1899-08-10,12.8,16.4,20,2.3,0,189908
"164",1899,8,1899-08-11,11.7,16.7,21.7,3.3,0,189908
"165",1899,8,1899-08-12,6.7,14.5,22.2,0,2,189908
"166",1899,8,1899-08-13,12.2,19.2,26.1,0,1,189908
"167",1899,8,1899-08-14,10.6,16.2,21.7,8.1,0,189908
"168",1899,8,1899-08-15,10.6,13.4,16.1,9.4,0,189908
"169",1899,8,1899-08-16,10.6,16.2,21.7,1,0,189908
"170",1899,8,1899-08-17,12.8,17.3,21.7,0,4,189908
"171",1899,8,1899-08-18,8.9,17.3,25.6,0,3,189908
"172",1899,8,1899-08-19,10,17.8,25.6,0,2,189908
"173",1899,8,1899-08-20,11.1,17.5,23.9,0,1,189908
"174",1899,8,1899-08-21,8.9,13.4,17.8,17.3,0,189908
"175",1899,8,1899-08-22,9.4,13.6,17.8,7.4,0,189908
"176",1899,8,1899-08-23,10.6,15.6,20.6,0,5,189908
"177",1899,8,1899-08-24,7.8,14.8,21.7,0,4,189908
"178",1899,8,1899-08-25,7.8,13.9,20,0.5,3,189908
"179",1899,8,1899-08-26,5.6,12.5,19.4,0.3,2,189908
"180",1899,8,1899-08-27,3.9,10.6,17.2,0.5,1,189908
"181",1899,8,1899-08-28,1.7,9.2,16.7,1,0,189908
"182",1899,8,1899-08-29,8.3,14.7,21.1,0,2,189908
"183",1899,8,1899-08-30,5,13.1,21.1,0,1,189908
"184",1899,8,1899-08-31,11.7,16.4,21.1,4.6,0,189908
"185",1899,9,1899-09-01,8.9,13.1,17.2,13.2,0,189909
"186",1899,9,1899-09-02,5.6,13.1,20.6,0,2,189909
"187",1899,9,1899-09-03,7.2,14.2,21.1,0,1,189909
"188",1899,9,1899-09-04,10,14.7,19.4,7.4,0,189909
"189",1899,9,1899-09-05,9.7,NA,19.4,13.7,0,189909
"190",1899,9,1899-09-06,9.4,14.4,19.4,0,7,189909
"191",1899,9,1899-09-07,3.9,10.3,16.7,0,6,189909
"192",1899,9,1899-09-08,3.3,12,20.6,0,5,189909
"193",1899,9,1899-09-09,6.7,12,17.2,0,4,189909
"194",1899,9,1899-09-10,6.7,14.5,22.2,0,3,189909
"195",1899,9,1899-09-11,7.8,16.7,25.6,0,2,189909
"196",1899,9,1899-09-12,9.4,16.9,24.4,0,1,189909
"197",1899,9,1899-09-13,12.8,17.8,22.8,1.5,0,189909
"198",1899,9,1899-09-14,7.2,14.5,21.7,0,16,189909
"199",1899,9,1899-09-15,6.1,14.5,22.8,0,15,189909
"200",1899,9,1899-09-16,2.8,12.8,22.8,0,14,189909
"201",1899,9,1899-09-17,4.4,12.5,20.6,0,13,189909
"202",1899,9,1899-09-18,4.4,13.6,22.8,0,12,189909
"203",1899,9,1899-09-19,4.4,13.3,22.2,0,11,189909
"204",1899,9,1899-09-20,5.6,13.9,22.2,0,10,189909
"205",1899,9,1899-09-21,4.4,12.5,20.6,0,9,189909
"206",1899,9,1899-09-22,6.7,14.2,21.7,0,8,189909
"207",1899,9,1899-09-23,10.6,15.9,21.1,0,7,189909
"208",1899,9,1899-09-24,6.7,13.9,21.1,0,6,189909
"209",1899,9,1899-09-25,6.1,14.2,22.2,0,5,189909
"210",1899,9,1899-09-26,7.8,14.2,20.6,0,4,189909
"211",1899,9,1899-09-27,1.1,12,22.8,0,3,189909
"212",1899,9,1899-09-28,0,8.9,17.8,0,2,189909
"213",1899,9,1899-09-29,3.3,10.8,18.3,0,1,189909
"214",1899,9,1899-09-30,3.9,9.5,15,2.8,0,189909
"215",1899,10,1899-10-01,3.3,8.3,13.3,0,7,189910
"216",1899,10,1899-10-02,6.1,10.3,14.4,0,6,189910
"217",1899,10,1899-10-03,2.2,8.6,15,0,5,189910
"218",1899,10,1899-10-04,0.6,8.9,17.2,0,4,189910
"219",1899,10,1899-10-05,2.2,10,17.8,0,3,189910
"220",1899,10,1899-10-06,3.3,10,16.7,0,2,189910
"221",1899,10,1899-10-07,1.1,8.6,16.1,0,1,189910
"222",1899,10,1899-10-08,6.7,11.7,16.7,1.5,0,189910
"223",1899,10,1899-10-09,6.7,12.3,17.8,1.5,0,189910
"224",1899,10,1899-10-10,-2.8,4.7,12.2,0,6,189910
"225",1899,10,1899-10-11,-0.6,4.4,9.4,0,5,189910
"226",1899,10,1899-10-12,0.6,5,9.4,0,4,189910
"227",1899,10,1899-10-13,0,4.5,8.9,0,3,189910
"228",1899,10,1899-10-14,-6.1,1.7,9.4,0,2,189910
"229",1899,10,1899-10-15,-2.2,3.4,8.9,0,1,189910
"230",1899,10,1899-10-16,5,7.8,10.6,4.6,0,189910
"231",1899,10,1899-10-17,3.3,7.2,11.1,0,2,189910
"232",1899,10,1899-10-18,1.7,6.4,11.1,0.5,1,189910
"233",1899,10,1899-10-19,4.4,7.8,11.1,1,0,189910
"234",1899,10,1899-10-20,4.4,6.4,8.3,2,0,189910
"235",1899,10,1899-10-21,2.2,7,11.7,0.3,3,189910
"236",1899,10,1899-10-22,-0.6,5,10.6,0.5,2,189910
"237",1899,10,1899-10-23,-2.2,6.1,14.4,0,1,189910
"238",1899,10,1899-10-24,0,5.9,11.7,5.6,0,189910
"239",1899,10,1899-10-25,-2.8,1.7,6.1,0,1,189910
"240",1899,10,1899-10-26,0.6,3.9,7.2,5.3,0,189910
"241",1899,10,1899-10-27,2.8,5.6,8.3,0,8,189910
"242",1899,10,1899-10-28,3.3,9.2,15,0,7,189910
"243",1899,10,1899-10-29,-0.6,7.2,15,0,6,189910
"244",1899,10,1899-10-30,3.3,6.4,9.4,0,5,189910
"245",1899,10,1899-10-31,5,6.7,8.3,0,4,189910
"246",1899,11,1899-11-01,0,4.2,8.3,0,3,189911
"247",1899,11,1899-11-02,0.6,4.2,7.8,0,2,189911
"248",1899,11,1899-11-03,-0.6,3.1,6.7,0,1,189911
"249",1899,11,1899-11-04,-0.6,2.8,6.1,5.8,0,189911
"250",1899,11,1899-11-05,0.6,4.5,8.3,5.6,0,189911
"251",1899,11,1899-11-06,1.7,5.6,9.4,0,1,189911
"252",1899,11,1899-11-07,2.8,6.4,10,3.3,0,189911
"253",1899,11,1899-11-08,5.6,8.1,10.6,0.5,1,189911
"254",1899,11,1899-11-09,6.1,7.8,9.4,4.6,0,189911
"255",1899,11,1899-11-10,5,8.1,11.1,0,1,189911
"256",1899,11,1899-11-11,5.6,8.7,11.7,3.3,0,189911
"257",1899,11,1899-11-12,3.3,8.3,13.3,0,1,189911
"258",1899,11,1899-11-13,2.2,8.1,13.9,1.3,0,189911
"259",1899,11,1899-11-14,7.2,10,12.8,0.3,1,189911
"260",1899,11,1899-11-15,5.6,7.5,9.4,1.5,0,189911
"261",1899,11,1899-11-16,2.2,6.4,10.6,6.9,0,189911
"262",1899,11,1899-11-17,-1.7,4.5,10.6,0,1,189911
"263",1899,11,1899-11-18,2.8,4.8,6.7,6.9,0,189911
"264",1899,11,1899-11-19,5,8.4,11.7,5.8,0,189911
"265",1899,11,1899-11-20,-1.7,5.3,12.2,0,7,189911
"266",1899,11,1899-11-21,1.7,3.4,5,0.8,6,189911
"267",1899,11,1899-11-22,-1.1,4.5,10,0,5,189911
"268",1899,11,1899-11-23,1.1,5.6,10,0,4,189911
"269",1899,11,1899-11-24,3.3,7,10.6,0,3,189911
"270",1899,11,1899-11-25,-2.8,3.6,10,0,2,189911
"271",1899,11,1899-11-26,0.6,4.2,7.8,0.5,1,189911
"272",1899,11,1899-11-27,3.3,6.7,10,2,0,189911
"273",1899,11,1899-11-28,1.7,5.6,9.4,1.5,0,189911
"274",1899,11,1899-11-29,1.7,6.7,11.7,0.3,1,189911
"275",1899,11,1899-11-30,-1.1,2.5,6.1,2.3,0,189911
"276",1899,12,1899-12-01,1.1,3.9,6.7,0,7,189912
"277",1899,12,1899-12-02,-3.3,2.8,8.9,0,6,189912
"278",1899,12,1899-12-03,-2.8,1.1,5,0,5,189912
"279",1899,12,1899-12-04,-6.1,-0.9,4.4,0,4,189912
"280",1899,12,1899-12-05,-5.6,-2.8,0,0.8,3,189912
"281",1899,12,1899-12-06,0.6,2.3,3.9,0,2,189912
"282",1899,12,1899-12-07,0,1.1,2.2,0.5,1,189912
"283",1899,12,1899-12-08,-2.8,-0.3,2.2,1.3,0,189912
"284",1899,12,1899-12-09,-0.6,1.1,2.8,0,1,189912
"285",1899,12,1899-12-10,-1.1,0.6,2.2,5.1,0,189912
"286",1899,12,1899-12-11,-1.1,2,5,3.8,0,189912
"287",1899,12,1899-12-12,-1.7,0.6,2.8,0.8,1,189912
"288",1899,12,1899-12-13,-1.7,0.3,2.2,2.5,0,189912
"289",1899,12,1899-12-14,-1.7,-0.3,1.1,0,1,189912
"290",1899,12,1899-12-15,-8.3,-3.9,0.6,2.5,0,189912
"291",1899,12,1899-12-16,-15.6,-11.4,-7.2,1.3,0,189912
"292",1899,12,1899-12-17,-15.6,-13.1,-10.6,1.3,0,189912
"293",1899,12,1899-12-18,-14.4,-9.7,-5,0,3,189912
"294",1899,12,1899-12-19,-5.6,-3.9,-2.2,0,2,189912
"295",1899,12,1899-12-20,-5.6,-2.5,0.6,0,1,189912
"296",1899,12,1899-12-21,-1.1,1.1,3.3,5.1,0,189912
"297",1899,12,1899-12-22,-0.6,1.7,3.9,0,4,189912
"298",1899,12,1899-12-23,1.7,5,8.3,0,3,189912
"299",1899,12,1899-12-24,3.3,5,6.7,0,2,189912
"300",1899,12,1899-12-25,1.1,5.3,9.4,0,1,189912
"301",1899,12,1899-12-26,-2.2,2.8,7.8,2,0,189912
"302",1899,12,1899-12-27,-6.1,-1.4,3.3,0,4,189912
"303",1899,12,1899-12-28,-6.1,-3.4,-0.6,0,3,189912
"304",1899,12,1899-12-29,-6.1,-3.4,-0.6,0,2,189912
"305",1899,12,1899-12-30,-3.9,-2,0,0,1,189912
"306",1899,12,1899-12-31,-1.1,0.3,1.7,2,0,189912
"307",1900,1,1900-01-01,-0.6,1.4,3.3,0,2,190001
"308",1900,1,1900-01-02,-2.2,0.3,2.8,0,1,190001
"309",1900,1,1900-01-03,-6.7,-3.4,0,1.3,0,190001
"310",1900,1,1900-01-04,-3.3,-0.6,2.2,0.8,1,190001
"311",1900,1,1900-01-05,-3.3,-0.6,2.2,3.3,0,190001
"312",1900,1,1900-01-06,-1.1,0.9,2.8,0,4,190001
"313",1900,1,1900-01-07,0,2.2,4.4,0,3,190001
"314",1900,1,1900-01-08,0,2.2,4.4,0.5,2,190001
"315",1900,1,1900-01-09,0,6.1,12.2,0.5,1,190001
"316",1900,1,1900-01-10,-3.3,-0.3,2.8,3.3,0,190001
"317",1900,1,1900-01-11,0,1.4,2.8,0,1,190001
"318",1900,1,1900-01-12,0,2.2,4.4,1.5,0,190001
"319",1900,1,1900-01-13,-1.7,2,5.6,0.5,3,190001
"320",1900,1,1900-01-14,-2.2,1.4,5,0,2,190001
"321",1900,1,1900-01-15,-2.8,0.8,4.4,0,1,190001
"322",1900,1,1900-01-16,-1.1,0.9,2.8,1.3,0,190001
"323",1900,1,1900-01-17,-0.6,1.7,3.9,0,2,190001
"324",1900,1,1900-01-18,-0.6,3.1,6.7,0,1,190001
"325",1900,1,1900-01-19,-1.1,4.2,9.4,3,0,190001
"326",1900,1,1900-01-20,-1.7,3.3,8.3,0,3,190001
"327",1900,1,1900-01-21,0,1.7,3.3,0,2,190001
"328",1900,1,1900-01-22,-1.1,2.8,6.7,0,1,190001
"329",1900,1,1900-01-23,-0.6,1.4,3.3,1.8,0,190001
"330",1900,1,1900-01-24,-1.7,2.5,6.7,0,9,190001
"331",1900,1,1900-01-25,-3.3,0.6,4.4,0,8,190001
"332",1900,1,1900-01-26,-6.7,-2.5,1.7,0,7,190001
"333",1900,1,1900-01-27,-8.9,-4.5,0,0,6,190001
"334",1900,1,1900-01-28,-9.4,-4.7,0,0,5,190001
"335",1900,1,1900-01-29,-8.3,-4.5,-0.6,0,4,190001
"336",1900,1,1900-01-30,-9.4,-4.7,0,0,3,190001
"337",1900,1,1900-01-31,-10,-4.5,1.1,0,2,190001
"338",1900,2,1900-02-01,-8.3,-4.5,-0.6,0.8,1,190002
"339",1900,2,1900-02-02,-4.4,-1.7,1.1,1.3,0,190002
"340",1900,2,1900-02-03,-1.1,0.3,1.7,0,3,190002
"341",1900,2,1900-02-04,-2.2,0.6,3.3,0,2,190002
"342",1900,2,1900-02-05,-0.6,0.6,1.7,0,1,190002
"343",1900,2,1900-02-06,0,2.2,4.4,2,0,190002
"344",1900,2,1900-02-07,-9.4,-3.1,3.3,0,1,190002
"345",1900,2,1900-02-08,-10,-6.4,-2.8,3.3,0,190002
"346",1900,2,1900-02-09,-9.4,-6.7,-3.9,0,1,190002
"347",1900,2,1900-02-10,-5,-2.2,0.6,1.3,0,190002
"348",1900,2,1900-02-11,-3.3,-0.3,2.8,11.4,0,190002
"349",1900,2,1900-02-12,-13.3,-4.5,4.4,0,5,190002
"350",1900,2,1900-02-13,-15.6,-6.2,3.3,0,4,190002
"351",1900,2,1900-02-14,-20,-11.4,-2.8,0,3,190002
"352",1900,2,1900-02-15,-22.8,-16.7,-10.6,0,2,190002
"353",1900,2,1900-02-16,-25.6,-18.7,-11.7,0,1,190002
"354",1900,2,1900-02-17,-11.7,-10,-8.3,2,0,190002
"355",1900,2,1900-02-18,-9.4,-5.6,-1.7,0,2,190002
"356",1900,2,1900-02-19,-6.7,-2.5,1.7,0,1,190002
"357",1900,2,1900-02-20,-5.6,-1.7,2.2,1.3,0,190002
"358",1900,2,1900-02-21,-1.1,1.4,3.9,1,0,190002
"359",1900,2,1900-02-22,-1.1,3.4,7.8,0.3,10,190002
"360",1900,2,1900-02-23,-3.3,3.1,9.4,0,9,190002
"361",1900,2,1900-02-24,0,2.8,5.6,0,8,190002
"362",1900,2,1900-02-25,-1.7,5.3,12.2,0,7,190002
"363",1900,2,1900-02-26,-3.3,2.3,7.8,0,6,190002
"364",1900,2,1900-02-27,-1.7,3.1,7.8,0,5,190002
"365",1900,2,1900-02-28,-0.6,2.8,6.1,0,4,190002
"366",1900,3,1900-03-01,-1.1,4.2,9.4,0,3,190003
"367",1900,3,1900-03-02,-1.7,3.6,8.9,0,2,190003
"368",1900,3,1900-03-03,3.3,5.8,8.3,0,1,190003
"369",1900,3,1900-03-04,-1.1,2.3,5.6,11.9,0,190003
"370",1900,3,1900-03-05,-6.7,-3.4,0,0,6,190003
"371",1900,3,1900-03-06,-7.8,-4.5,-1.1,0,5,190003
"372",1900,3,1900-03-07,-6.1,-3.9,-1.7,0.5,4,190003
"373",1900,3,1900-03-08,1.1,3.9,6.7,0,3,190003
"374",1900,3,1900-03-09,2.8,7,11.1,0,2,190003
"375",1900,3,1900-03-10,6.1,9.5,12.8,0,1,190003
"376",1900,3,1900-03-11,7.2,12,16.7,3.3,0,190003
"377",1900,3,1900-03-12,1.7,8.4,15,0,10,190003
"378",1900,3,1900-03-13,-3.3,4.8,12.8,0,9,190003
"379",1900,3,1900-03-14,-3.9,3.6,11.1,0,8,190003
"380",1900,3,1900-03-15,-3.3,4.2,11.7,0,7,190003
"381",1900,3,1900-03-16,-3.9,4.5,12.8,0,6,190003
"382",1900,3,1900-03-17,-3.3,4.8,12.8,0,5,190003
"383",1900,3,1900-03-18,-3.3,5,13.3,0,4,190003
"384",1900,3,1900-03-19,-3.3,5.6,14.4,0,3,190003
"385",1900,3,1900-03-20,0.6,7.5,14.4,0,2,190003
"386",1900,3,1900-03-21,3.3,9.7,16.1,0,1,190003
"387",1900,3,1900-03-22,5.6,10,14.4,1.3,0,190003
"388",1900,3,1900-03-23,1.1,8.1,15,0,1,190003
"389",1900,3,1900-03-24,-1.7,5,11.7,1,0,190003
"390",1900,3,1900-03-25,2.2,8.3,14.4,0,1,190003
"391",1900,3,1900-03-26,-2.2,2.5,7.2,3.8,0,190003
"392",1900,3,1900-03-27,1.7,7,12.2,0,6,190003
"393",1900,3,1900-03-28,-3.3,4.2,11.7,0,5,190003
"394",1900,3,1900-03-29,-1.1,5.9,12.8,0,4,190003
"395",1900,3,1900-03-30,2.2,8.1,13.9,0,3,190003
"396",1900,3,1900-03-31,4.4,9.2,13.9,0,2,190003
"397",1900,4,1900-04-01,0,8.4,16.7,0,1,190004
"398",1900,4,1900-04-02,6.7,13.4,20,1.3,0,190004
"399",1900,4,1900-04-03,5.6,10.3,15,1,0,190004
"400",1900,4,1900-04-04,3.3,9.7,16.1,0,3,190004
"401",1900,4,1900-04-05,10,15,20,0,2,190004
"402",1900,4,1900-04-06,7.8,12,16.1,0.8,1,190004
"403",1900,4,1900-04-07,3.9,8.4,12.8,4.1,0,190004
"404",1900,4,1900-04-08,-1.7,4.5,10.6,0,6,190004
