"Year","DayOfYear","variable","value","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station","Temp_Diff"
1941,"04-27","Max_Temp_Year",18.9,18,"Higher",3,"Heatwave",18.9,"YVR",NA
1941,"07-14","Max_Temp_Year",26.7,25.6,"Higher",5,"Heatwave",26.7,"YVR",NA
1941,"07-15","Max_Temp_Year",28.3,25.6,"Higher",5,"Heatwave",28.3,"YVR",NA
1941,"07-16","Max_Temp_Year",29.4,25.8,"Higher",5,"Heatwave",29.4,"YVR",NA
1941,"07-17","Max_Temp_Year",30,25.97,"Higher",5,"Heatwave",30,"YVR",NA
1941,"07-18","Max_Temp_Year",27.2,26,"Higher",5,"Heatwave",27.2,"YVR",NA
1942,"06-30","Max_Temp_Year",28.3,24.5,"Higher",5,"Heatwave",28.3,"YVR",NA
1942,"07-01","Max_Temp_Year",30.6,24.57,"Higher",5,"Heatwave",30.6,"YVR",NA
1942,"07-02","Max_Temp_Year",26.7,24.7,"Higher",5,"Heatwave",26.7,"YVR",NA
1942,"07-03","Max_Temp_Year",30,24.8,"Higher",5,"Heatwave",30,"YVR",NA
1942,"07-04","Max_Temp_Year",25.6,25,"Higher",5,"Heatwave",25.6,"YVR",NA
1942,"08-14","Max_Temp_Year",27.8,25.8,"Higher",3,"Heatwave",27.8,"YVR",NA
1942,"08-15","Max_Temp_Year",30.6,25.6,"Higher",3,"Heatwave",30.6,"YVR",NA
1942,"08-16","Max_Temp_Year",27.2,25.6,"Higher",3,"Heatwave",27.2,"YVR",NA
1943,"04-11","Max_Temp_Year",16.1,15.6,"Higher",3,"Heatwave",16.1,"YVR",NA
1943,"04-12","Max_Temp_Year",17.2,15.6,"Higher",3,"Heatwave",17.2,"YVR",NA
1943,"04-13","Max_Temp_Year",20.6,15.93,"Higher",3,"Heatwave",20.6,"YVR",NA
1944,"04-02","Max_Temp_Year",20,14.6,"Higher",3,"Heatwave",20,"YVR",NA
1944,"04-03","Max_Temp_Year",15.6,14.8,"Higher",3,"Heatwave",15.6,"YVR",NA
1944,"04-04","Max_Temp_Year",16.7,14.9,"Higher",3,"Heatwave",16.7,"YVR",NA
1944,"09-08","Max_Temp_Year",23.9,23.3,"Higher",4,"Heatwave",23.9,"YVR",NA
1944,"09-09","Max_Temp_Year",23.9,23.3,"Higher",4,"Heatwave",23.9,"YVR",NA
1944,"09-10","Max_Temp_Year",26.1,23.2,"Higher",4,"Heatwave",26.1,"YVR",NA
1944,"09-11","Max_Temp_Year",28.9,22.8,"Higher",4,"Heatwave",28.9,"YVR",NA
1944,"10-28","Max_Temp_Year",15.6,14.9,"Higher",3,"Heatwave",15.6,"YVR",NA
1944,"10-29","Max_Temp_Year",15.6,14.7,"Higher",3,"Heatwave",15.6,"YVR",NA
1944,"10-30","Max_Temp_Year",15,14.5,"Higher",3,"Heatwave",15,"YVR",NA
1945,"07-07","Max_Temp_Year",25.6,25,"Higher",7,"Heatwave",25.6,"YVR",NA
1945,"07-08","Max_Temp_Year",26.1,25,"Higher",7,"Heatwave",26.1,"YVR",NA
1945,"07-09","Max_Temp_Year",25.6,25,"Higher",7,"Heatwave",25.6,"YVR",NA
1945,"07-10","Max_Temp_Year",26.1,25,"Higher",7,"Heatwave",26.1,"YVR",NA
1945,"07-11","Max_Temp_Year",26.1,25.08,"Higher",7,"Heatwave",26.1,"YVR",NA
1945,"07-12","Max_Temp_Year",27.2,25.28,"Higher",7,"Heatwave",27.2,"YVR",NA
1945,"07-13","Max_Temp_Year",26.1,25.6,"Higher",7,"Heatwave",26.1,"YVR",NA
1947,"04-14","Max_Temp_Year",16.7,16.1,"Higher",3,"Heatwave",16.7,"YVR",NA
1947,"04-15","Max_Temp_Year",19.4,16.1,"Higher",3,"Heatwave",19.4,"YVR",NA
1947,"04-16","Max_Temp_Year",22.8,16.2,"Higher",3,"Heatwave",22.8,"YVR",NA
1947,"05-23","Max_Temp_Year",23.3,21.7,"Higher",5,"Heatwave",23.3,"YVR",NA
1947,"05-24","Max_Temp_Year",28.3,21.7,"Higher",5,"Heatwave",28.3,"YVR",NA
1947,"05-25","Max_Temp_Year",26.1,21.7,"Higher",5,"Heatwave",26.1,"YVR",NA
1947,"05-26","Max_Temp_Year",24.4,21.7,"Higher",5,"Heatwave",24.4,"YVR",NA
1947,"05-27","Max_Temp_Year",24.4,21.8,"Higher",5,"Heatwave",24.4,"YVR",NA
1947,"09-22","Max_Temp_Year",22.8,21.1,"Higher",4,"Heatwave",22.8,"YVR",NA
1947,"09-23","Max_Temp_Year",23.3,21.1,"Higher",4,"Heatwave",23.3,"YVR",NA
1947,"09-24","Max_Temp_Year",21.1,20.87,"Higher",4,"Heatwave",21.1,"YVR",NA
1947,"09-25","Max_Temp_Year",22.8,20.6,"Higher",4,"Heatwave",22.8,"YVR",NA
1949,"09-04","Max_Temp_Year",25.6,23.88,"Higher",6,"Heatwave",25.6,"YVR",NA
1949,"09-05","Max_Temp_Year",25.6,23.53,"Higher",6,"Heatwave",25.6,"YVR",NA
1949,"09-06","Max_Temp_Year",24.4,23.3,"Higher",6,"Heatwave",24.4,"YVR",NA
1949,"09-07","Max_Temp_Year",25.6,23.3,"Higher",6,"Heatwave",25.6,"YVR",NA
1949,"09-08","Max_Temp_Year",24.4,23.3,"Higher",6,"Heatwave",24.4,"YVR",NA
1949,"09-09","Max_Temp_Year",23.9,23.3,"Higher",6,"Heatwave",23.9,"YVR",NA
1950,"08-18","Max_Temp_Year",25.6,25.2,"Higher",3,"Heatwave",25.6,"YVR",NA
1950,"08-19","Max_Temp_Year",25.6,25,"Higher",3,"Heatwave",25.6,"YVR",NA
1950,"08-20","Max_Temp_Year",27.2,25,"Higher",3,"Heatwave",27.2,"YVR",NA
1951,"06-28","Max_Temp_Year",25.6,24.4,"Higher",3,"Heatwave",25.6,"YVR",NA
1951,"06-29","Max_Temp_Year",28.3,24.4,"Higher",3,"Heatwave",28.3,"YVR",NA
1951,"06-30","Max_Temp_Year",25,24.5,"Higher",3,"Heatwave",25,"YVR",NA
1951,"07-10","Max_Temp_Year",26.7,25,"Higher",3,"Heatwave",26.7,"YVR",NA
1951,"07-11","Max_Temp_Year",29.4,25.08,"Higher",3,"Heatwave",29.4,"YVR",NA
1951,"07-12","Max_Temp_Year",30,25.28,"Higher",3,"Heatwave",30,"YVR",NA
1951,"09-14","Max_Temp_Year",23.9,22.2,"Higher",3,"Heatwave",23.9,"YVR",NA
1951,"09-15","Max_Temp_Year",25.6,22.2,"Higher",3,"Heatwave",25.6,"YVR",NA
1951,"09-16","Max_Temp_Year",23.9,22.2,"Higher",3,"Heatwave",23.9,"YVR",NA
1952,"07-09","Max_Temp_Year",25.6,25,"Higher",3,"Heatwave",25.6,"YVR",NA
1952,"07-10","Max_Temp_Year",25.6,25,"Higher",3,"Heatwave",25.6,"YVR",NA
1952,"07-11","Max_Temp_Year",26.1,25.08,"Higher",3,"Heatwave",26.1,"YVR",NA
1952,"09-21","Max_Temp_Year",23.3,21.4,"Higher",5,"Heatwave",23.3,"YVR",NA
1952,"09-22","Max_Temp_Year",22.8,21.1,"Higher",5,"Heatwave",22.8,"YVR",NA
1952,"09-23","Max_Temp_Year",27.2,21.1,"Higher",5,"Heatwave",27.2,"YVR",NA
1952,"09-24","Max_Temp_Year",22.2,20.87,"Higher",5,"Heatwave",22.2,"YVR",NA
1952,"09-25","Max_Temp_Year",21.1,20.6,"Higher",5,"Heatwave",21.1,"YVR",NA
1952,"10-05","Max_Temp_Year",18.9,18.6,"Higher",3,"Heatwave",18.9,"YVR",NA
1952,"10-06","Max_Temp_Year",18.9,18.3,"Higher",3,"Heatwave",18.9,"YVR",NA
1952,"10-07","Max_Temp_Year",18.9,18.3,"Higher",3,"Heatwave",18.9,"YVR",NA
1953,"05-04","Max_Temp_Year",21.1,19.1,"Higher",3,"Heatwave",21.1,"YVR",NA
1953,"05-05","Max_Temp_Year",22.2,19.35,"Higher",3,"Heatwave",22.2,"YVR",NA
1953,"05-06","Max_Temp_Year",21.1,19.4,"Higher",3,"Heatwave",21.1,"YVR",NA
1953,"10-06","Max_Temp_Year",20.6,18.3,"Higher",3,"Heatwave",20.6,"YVR",NA
1953,"10-07","Max_Temp_Year",18.9,18.3,"Higher",3,"Heatwave",18.9,"YVR",NA
1953,"10-08","Max_Temp_Year",19.4,18.2,"Higher",3,"Heatwave",19.4,"YVR",NA
1956,"05-15","Max_Temp_Year",21.1,20.8,"Higher",5,"Heatwave",21.1,"YVR",NA
1956,"05-16","Max_Temp_Year",21.7,20.91,"Higher",5,"Heatwave",21.7,"YVR",NA
1956,"05-17","Max_Temp_Year",22.8,21.1,"Higher",5,"Heatwave",22.8,"YVR",NA
1956,"05-18","Max_Temp_Year",24.4,21.1,"Higher",5,"Heatwave",24.4,"YVR",NA
1956,"05-19","Max_Temp_Year",23.3,21.1,"Higher",5,"Heatwave",23.3,"YVR",NA
1956,"07-18","Max_Temp_Year",26.7,26,"Higher",3,"Heatwave",26.7,"YVR",NA
1956,"07-19","Max_Temp_Year",28.3,26,"Higher",3,"Heatwave",28.3,"YVR",NA
1956,"07-20","Max_Temp_Year",29.4,26.1,"Higher",3,"Heatwave",29.4,"YVR",NA
1957,"05-06","Max_Temp_Year",20,19.4,"Higher",3,"Heatwave",20,"YVR",NA
1957,"05-07","Max_Temp_Year",22.8,19.4,"Higher",3,"Heatwave",22.8,"YVR",NA
1957,"05-08","Max_Temp_Year",20,19.8,"Higher",3,"Heatwave",20,"YVR",NA
1957,"05-29","Max_Temp_Year",22.8,22.2,"Higher",3,"Heatwave",22.8,"YVR",NA
1957,"05-30","Max_Temp_Year",24.4,22.2,"Higher",3,"Heatwave",24.4,"YVR",NA
1957,"05-31","Max_Temp_Year",22.8,22.2,"Higher",3,"Heatwave",22.8,"YVR",NA
1958,"05-20","Max_Temp_Year",21.7,21.4,"Higher",8,"Heatwave",21.7,"YVR",NA
1958,"05-21","Max_Temp_Year",22.8,21.5,"Higher",8,"Heatwave",22.8,"YVR",NA
1958,"05-22","Max_Temp_Year",24.4,21.7,"Higher",8,"Heatwave",24.4,"YVR",NA
1958,"05-23","Max_Temp_Year",23.9,21.7,"Higher",8,"Heatwave",23.9,"YVR",NA
1958,"05-24","Max_Temp_Year",23.3,21.7,"Higher",8,"Heatwave",23.3,"YVR",NA
1958,"05-25","Max_Temp_Year",24.4,21.7,"Higher",8,"Heatwave",24.4,"YVR",NA
1958,"05-26","Max_Temp_Year",26.1,21.7,"Higher",8,"Heatwave",26.1,"YVR",NA
1958,"05-27","Max_Temp_Year",23.9,21.8,"Higher",8,"Heatwave",23.9,"YVR",NA
1958,"06-16","Max_Temp_Year",25,22.8,"Higher",8,"Heatwave",25,"YVR",NA
1958,"06-17","Max_Temp_Year",27.2,23.1,"Higher",8,"Heatwave",27.2,"YVR",NA
1958,"06-18","Max_Temp_Year",26.7,23.3,"Higher",8,"Heatwave",26.7,"YVR",NA
1958,"06-19","Max_Temp_Year",27.2,23.3,"Higher",8,"Heatwave",27.2,"YVR",NA
1958,"06-20","Max_Temp_Year",25.6,23.49,"Higher",8,"Heatwave",25.6,"YVR",NA
1958,"06-21","Max_Temp_Year",25.6,23.9,"Higher",8,"Heatwave",25.6,"YVR",NA
1958,"06-22","Max_Temp_Year",26.7,23.9,"Higher",8,"Heatwave",26.7,"YVR",NA
1958,"06-23","Max_Temp_Year",26.1,24.1,"Higher",8,"Heatwave",26.1,"YVR",NA
1958,"07-04","Max_Temp_Year",26.7,25,"Higher",4,"Heatwave",26.7,"YVR",NA
1958,"07-05","Max_Temp_Year",27.8,25,"Higher",4,"Heatwave",27.8,"YVR",NA
1958,"07-06","Max_Temp_Year",28.3,25,"Higher",4,"Heatwave",28.3,"YVR",NA
1958,"07-07","Max_Temp_Year",27.2,25,"Higher",4,"Heatwave",27.2,"YVR",NA
1958,"07-14","Max_Temp_Year",26.1,25.6,"Higher",4,"Heatwave",26.1,"YVR",NA
1958,"07-15","Max_Temp_Year",28.3,25.6,"Higher",4,"Heatwave",28.3,"YVR",NA
1958,"07-16","Max_Temp_Year",28.3,25.8,"Higher",4,"Heatwave",28.3,"YVR",NA
1958,"07-17","Max_Temp_Year",27.2,25.97,"Higher",4,"Heatwave",27.2,"YVR",NA
1959,"04-08","Max_Temp_Year",15.6,15.1,"Higher",3,"Heatwave",15.6,"YVR",NA
1959,"04-09","Max_Temp_Year",17.8,15.5,"Higher",3,"Heatwave",17.8,"YVR",NA
1959,"04-10","Max_Temp_Year",18.9,15.6,"Higher",3,"Heatwave",18.9,"YVR",NA
1959,"06-18","Max_Temp_Year",23.9,23.3,"Higher",3,"Heatwave",23.9,"YVR",NA
1959,"06-19","Max_Temp_Year",26.1,23.3,"Higher",3,"Heatwave",26.1,"YVR",NA
1959,"06-20","Max_Temp_Year",25,23.49,"Higher",3,"Heatwave",25,"YVR",NA
1960,"07-15","Max_Temp_Year",27.2,25.6,"Higher",3,"Heatwave",27.2,"YVR",NA
1960,"07-16","Max_Temp_Year",27.8,25.8,"Higher",3,"Heatwave",27.8,"YVR",NA
1960,"07-17","Max_Temp_Year",26.1,25.97,"Higher",3,"Heatwave",26.1,"YVR",NA
1960,"08-07","Max_Temp_Year",26.7,26,"Higher",3,"Heatwave",26.7,"YVR",NA
1960,"08-08","Max_Temp_Year",31.7,26,"Higher",3,"Heatwave",31.7,"YVR",NA
1960,"08-09","Max_Temp_Year",33.3,26,"Higher",3,"Heatwave",33.3,"YVR",NA
1961,"06-01","Max_Temp_Year",23.3,22.2,"Higher",3,"Heatwave",23.3,"YVR",NA
1961,"06-02","Max_Temp_Year",24.4,22.2,"Higher",3,"Heatwave",24.4,"YVR",NA
1961,"06-03","Max_Temp_Year",23.9,22.2,"Higher",3,"Heatwave",23.9,"YVR",NA
1961,"07-11","Max_Temp_Year",26.1,25.08,"Higher",3,"Heatwave",26.1,"YVR",NA
1961,"07-12","Max_Temp_Year",30.6,25.28,"Higher",3,"Heatwave",30.6,"YVR",NA
1961,"07-13","Max_Temp_Year",31.7,25.6,"Higher",3,"Heatwave",31.7,"YVR",NA
1961,"08-12","Max_Temp_Year",27.2,26,"Higher",3,"Heatwave",27.2,"YVR",NA
1961,"08-13","Max_Temp_Year",26.7,25.9,"Higher",3,"Heatwave",26.7,"YVR",NA
1961,"08-14","Max_Temp_Year",26.1,25.8,"Higher",3,"Heatwave",26.1,"YVR",NA
1961,"10-13","Max_Temp_Year",21.7,17.2,"Higher",3,"Heatwave",21.7,"YVR",NA
1961,"10-14","Max_Temp_Year",17.8,17.2,"Higher",3,"Heatwave",17.8,"YVR",NA
1961,"10-15","Max_Temp_Year",18.9,16.7,"Higher",3,"Heatwave",18.9,"YVR",NA
1962,"04-17","Max_Temp_Year",17.8,16.3,"Higher",3,"Heatwave",17.8,"YVR",NA
1962,"04-18","Max_Temp_Year",22.2,16.6,"Higher",3,"Heatwave",22.2,"YVR",NA
1962,"04-19","Max_Temp_Year",17.2,16.7,"Higher",3,"Heatwave",17.2,"YVR",NA
1962,"06-23","Max_Temp_Year",25.6,24.1,"Higher",3,"Heatwave",25.6,"YVR",NA
1962,"06-24","Max_Temp_Year",26.7,24.2,"Higher",3,"Heatwave",26.7,"YVR",NA
1962,"06-25","Max_Temp_Year",25,24.37,"Higher",3,"Heatwave",25,"YVR",NA
1963,"05-18","Max_Temp_Year",23.9,21.1,"Higher",4,"Heatwave",23.9,"YVR",NA
1963,"05-19","Max_Temp_Year",23.9,21.1,"Higher",4,"Heatwave",23.9,"YVR",NA
1963,"05-20","Max_Temp_Year",23.9,21.4,"Higher",4,"Heatwave",23.9,"YVR",NA
1963,"05-21","Max_Temp_Year",28.9,21.5,"Higher",4,"Heatwave",28.9,"YVR",NA
1965,"07-29","Max_Temp_Year",27.8,26.1,"Higher",4,"Heatwave",27.8,"YVR",NA
1965,"07-30","Max_Temp_Year",29.4,26.1,"Higher",4,"Heatwave",29.4,"YVR",NA
1965,"07-31","Max_Temp_Year",29.4,26.1,"Higher",4,"Heatwave",29.4,"YVR",NA
1965,"08-01","Max_Temp_Year",27.8,26.1,"Higher",4,"Heatwave",27.8,"YVR",NA
1966,"04-04","Max_Temp_Year",15.6,14.9,"Higher",4,"Heatwave",15.6,"YVR",NA
1966,"04-05","Max_Temp_Year",17.2,15,"Higher",4,"Heatwave",17.2,"YVR",NA
1966,"04-06","Max_Temp_Year",15.6,15,"Higher",4,"Heatwave",15.6,"YVR",NA
1966,"04-07","Max_Temp_Year",17.2,15,"Higher",4,"Heatwave",17.2,"YVR",NA
1967,"06-16","Max_Temp_Year",23.9,22.8,"Higher",4,"Heatwave",23.9,"YVR",NA
1967,"06-17","Max_Temp_Year",23.9,23.1,"Higher",4,"Heatwave",23.9,"YVR",NA
1967,"06-18","Max_Temp_Year",25.6,23.3,"Higher",4,"Heatwave",25.6,"YVR",NA
1967,"06-19","Max_Temp_Year",27.8,23.3,"Higher",4,"Heatwave",27.8,"YVR",NA
1967,"08-09","Max_Temp_Year",27.2,26,"Higher",3,"Heatwave",27.2,"YVR",NA
1967,"08-10","Max_Temp_Year",27.8,26.1,"Higher",3,"Heatwave",27.8,"YVR",NA
1967,"08-11","Max_Temp_Year",26.7,26.1,"Higher",3,"Heatwave",26.7,"YVR",NA
1967,"08-13","Max_Temp_Year",27.2,25.9,"Higher",5,"Heatwave",27.2,"YVR",NA
1967,"08-14","Max_Temp_Year",26.1,25.8,"Higher",5,"Heatwave",26.1,"YVR",NA
1967,"08-15","Max_Temp_Year",27.2,25.6,"Higher",5,"Heatwave",27.2,"YVR",NA
1967,"08-16","Max_Temp_Year",30,25.6,"Higher",5,"Heatwave",30,"YVR",NA
1967,"08-17","Max_Temp_Year",27.8,25.3,"Higher",5,"Heatwave",27.8,"YVR",NA
1967,"08-26","Max_Temp_Year",25.6,24.38,"Higher",5,"Heatwave",25.6,"YVR",NA
1967,"08-27","Max_Temp_Year",27.2,24.2,"Higher",5,"Heatwave",27.2,"YVR",NA
1967,"08-28","Max_Temp_Year",27.8,24.1,"Higher",5,"Heatwave",27.8,"YVR",NA
1967,"08-29","Max_Temp_Year",28.3,24.08,"Higher",5,"Heatwave",28.3,"YVR",NA
1967,"08-30","Max_Temp_Year",24.4,24.1,"Higher",5,"Heatwave",24.4,"YVR",NA
1967,"09-03","Max_Temp_Year",25.6,23.9,"Higher",3,"Heatwave",25.6,"YVR",NA
1967,"09-04","Max_Temp_Year",24.4,23.88,"Higher",3,"Heatwave",24.4,"YVR",NA
1967,"09-05","Max_Temp_Year",23.9,23.53,"Higher",3,"Heatwave",23.9,"YVR",NA
1968,"07-01","Max_Temp_Year",25,24.57,"Higher",3,"Heatwave",25,"YVR",NA
1968,"07-02","Max_Temp_Year",27.2,24.7,"Higher",3,"Heatwave",27.2,"YVR",NA
1968,"07-03","Max_Temp_Year",25.6,24.8,"Higher",3,"Heatwave",25.6,"YVR",NA
1968,"10-27","Max_Temp_Year",17.8,15,"Higher",3,"Heatwave",17.8,"YVR",NA
1968,"10-28","Max_Temp_Year",16.1,14.9,"Higher",3,"Heatwave",16.1,"YVR",NA
1968,"10-29","Max_Temp_Year",16.7,14.7,"Higher",3,"Heatwave",16.7,"YVR",NA
1969,"06-08","Max_Temp_Year",23.3,22.4,"Higher",3,"Heatwave",23.3,"YVR",NA
1969,"06-09","Max_Temp_Year",26.1,22.48,"Higher",3,"Heatwave",26.1,"YVR",NA
1969,"06-10","Max_Temp_Year",22.8,22.7,"Higher",3,"Heatwave",22.8,"YVR",NA
1969,"06-14","Max_Temp_Year",25,22.8,"Higher",5,"Heatwave",25,"YVR",NA
1969,"06-15","Max_Temp_Year",26.1,22.8,"Higher",5,"Heatwave",26.1,"YVR",NA
1969,"06-16","Max_Temp_Year",27.8,22.8,"Higher",5,"Heatwave",27.8,"YVR",NA
1969,"06-17","Max_Temp_Year",28.3,23.1,"Higher",5,"Heatwave",28.3,"YVR",NA
1969,"06-18","Max_Temp_Year",28.9,23.3,"Higher",5,"Heatwave",28.9,"YVR",NA
1970,"06-01","Max_Temp_Year",28.3,22.2,"Higher",3,"Heatwave",28.3,"YVR",NA
1970,"06-02","Max_Temp_Year",30.6,22.2,"Higher",3,"Heatwave",30.6,"YVR",NA
1970,"06-03","Max_Temp_Year",26.7,22.2,"Higher",3,"Heatwave",26.7,"YVR",NA
1971,"08-08","Max_Temp_Year",27.8,26,"Higher",3,"Heatwave",27.8,"YVR",NA
1971,"08-09","Max_Temp_Year",27.2,26,"Higher",3,"Heatwave",27.2,"YVR",NA
1971,"08-10","Max_Temp_Year",28.3,26.1,"Higher",3,"Heatwave",28.3,"YVR",NA
1972,"07-03","Max_Temp_Year",26.7,24.8,"Higher",3,"Heatwave",26.7,"YVR",NA
1972,"07-04","Max_Temp_Year",27.2,25,"Higher",3,"Heatwave",27.2,"YVR",NA
1972,"07-05","Max_Temp_Year",26.7,25,"Higher",3,"Heatwave",26.7,"YVR",NA
1973,"05-12","Max_Temp_Year",20.6,20.4,"Higher",6,"Heatwave",20.6,"YVR",NA
1973,"05-13","Max_Temp_Year",21.7,20.4,"Higher",6,"Heatwave",21.7,"YVR",NA
1973,"05-14","Max_Temp_Year",25,20.6,"Higher",6,"Heatwave",25,"YVR",NA
1973,"05-15","Max_Temp_Year",22.2,20.8,"Higher",6,"Heatwave",22.2,"YVR",NA
1973,"05-16","Max_Temp_Year",21.1,20.91,"Higher",6,"Heatwave",21.1,"YVR",NA
1973,"05-17","Max_Temp_Year",22.2,21.1,"Higher",6,"Heatwave",22.2,"YVR",NA
1974,"08-28","Max_Temp_Year",25.6,24.1,"Higher",3,"Heatwave",25.6,"YVR",NA
1974,"08-29","Max_Temp_Year",27.2,24.08,"Higher",3,"Heatwave",27.2,"YVR",NA
1974,"08-30","Max_Temp_Year",26.7,24.1,"Higher",3,"Heatwave",26.7,"YVR",NA
1974,"09-01","Max_Temp_Year",25,24,"Higher",3,"Heatwave",25,"YVR",NA
1974,"09-02","Max_Temp_Year",27.2,23.9,"Higher",3,"Heatwave",27.2,"YVR",NA
1974,"09-03","Max_Temp_Year",25.6,23.9,"Higher",3,"Heatwave",25.6,"YVR",NA
1974,"09-20","Max_Temp_Year",23.9,21.7,"Higher",5,"Heatwave",23.9,"YVR",NA
1974,"09-21","Max_Temp_Year",22.8,21.4,"Higher",5,"Heatwave",22.8,"YVR",NA
1974,"09-22","Max_Temp_Year",22.8,21.1,"Higher",5,"Heatwave",22.8,"YVR",NA
1974,"09-23","Max_Temp_Year",22.2,21.1,"Higher",5,"Heatwave",22.2,"YVR",NA
1974,"09-24","Max_Temp_Year",23.9,20.87,"Higher",5,"Heatwave",23.9,"YVR",NA
1974,"10-15","Max_Temp_Year",19.4,16.7,"Higher",5,"Heatwave",19.4,"YVR",NA
1974,"10-16","Max_Temp_Year",18.3,16.7,"Higher",5,"Heatwave",18.3,"YVR",NA
1974,"10-17","Max_Temp_Year",18.3,16.4,"Higher",5,"Heatwave",18.3,"YVR",NA
1974,"10-18","Max_Temp_Year",16.7,16.1,"Higher",5,"Heatwave",16.7,"YVR",NA
1974,"10-19","Max_Temp_Year",16.7,16.1,"Higher",5,"Heatwave",16.7,"YVR",NA
1975,"07-05","Max_Temp_Year",26.1,25,"Higher",4,"Heatwave",26.1,"YVR",NA
1975,"07-06","Max_Temp_Year",25.6,25,"Higher",4,"Heatwave",25.6,"YVR",NA
1975,"07-07","Max_Temp_Year",27.2,25,"Higher",4,"Heatwave",27.2,"YVR",NA
1975,"07-08","Max_Temp_Year",25.6,25,"Higher",4,"Heatwave",25.6,"YVR",NA
1976,"04-28","Max_Temp_Year",21.7,18.1,"Higher",4,"Heatwave",21.7,"YVR",NA
1976,"04-29","Max_Temp_Year",23.9,18.3,"Higher",4,"Heatwave",23.9,"YVR",NA
1976,"04-30","Max_Temp_Year",23.9,18.44,"Higher",4,"Heatwave",23.9,"YVR",NA
1976,"05-01","Max_Temp_Year",18.9,18.73,"Higher",4,"Heatwave",18.9,"YVR",NA
1976,"09-26","Max_Temp_Year",21.1,20.6,"Higher",3,"Heatwave",21.1,"YVR",NA
1976,"09-27","Max_Temp_Year",21.1,20.6,"Higher",3,"Heatwave",21.1,"YVR",NA
1976,"09-28","Max_Temp_Year",21.7,20.4,"Higher",3,"Heatwave",21.7,"YVR",NA
1977,"04-05","Max_Temp_Year",16.4,15,"Higher",3,"Heatwave",16.4,"YVR",NA
1977,"04-06","Max_Temp_Year",19.1,15,"Higher",3,"Heatwave",19.1,"YVR",NA
1977,"04-07","Max_Temp_Year",22.7,15,"Higher",3,"Heatwave",22.7,"YVR",NA
1977,"04-22","Max_Temp_Year",18,17.2,"Higher",4,"Heatwave",18,"YVR",NA
1977,"04-23","Max_Temp_Year",19.7,17.43,"Higher",4,"Heatwave",19.7,"YVR",NA
1977,"04-24","Max_Temp_Year",19.2,17.8,"Higher",4,"Heatwave",19.2,"YVR",NA
1977,"04-25","Max_Temp_Year",19.5,17.8,"Higher",4,"Heatwave",19.5,"YVR",NA
1977,"08-04","Max_Temp_Year",27.6,26.1,"Higher",3,"Heatwave",27.6,"YVR",NA
1977,"08-05","Max_Temp_Year",29,26.09,"Higher",3,"Heatwave",29,"YVR",NA
