"LOCAL_DATE","x","y","TOTAL_PRECIPITATION","STATION_NAME","MAX_TEMPERATURE","MIN_TEMPERATURE","TOTAL_RAIN","MIN_REL_HUMIDITY","LOCAL_YEAR","LOCAL_MONTH","MEAN_TEMPERATURE"
1940-05-23,-122.8,53.8333333333333,0,"Prince_George",26.1,4.4,0,NA,1940,5,15.3
1940-05-24,-122.8,53.8333333333333,0.8,"Prince_George",18.3,8.9,0.8,NA,1940,5,13.6
1940-05-25,-122.8,53.8333333333333,0.5,"Prince_George",13.9,7.2,0.5,NA,1940,5,10.6
1940-05-26,-122.8,53.8333333333333,0.5,"Prince_George",13.3,4.4,0.5,NA,1940,5,8.9
1940-05-27,-122.8,53.8333333333333,0,"Prince_George",15.6,2.2,0,NA,1940,5,8.9
1940-05-28,-122.8,53.8333333333333,0,"Prince_George",20.6,-2.8,0,NA,1940,5,8.9
1940-05-29,-122.8,53.8333333333333,0,"Prince_George",22.2,-2.2,0,NA,1940,5,10
1940-05-30,-122.8,53.8333333333333,0,"Prince_George",23.9,1.1,0,NA,1940,5,12.5
1940-05-31,-122.8,53.8333333333333,0,"Prince_George",20,3.3,0,NA,1940,5,11.7
1940-06-01,-122.8,53.8333333333333,0,"Prince_George",17.8,2.8,0,NA,1940,6,10.3
1940-06-02,-122.8,53.8333333333333,0.3,"Prince_George",22.2,0.6,0.3,NA,1940,6,11.4
1940-06-03,-122.8,53.8333333333333,0,"Prince_George",19.4,6.7,0,NA,1940,6,13.1
1940-06-04,-122.8,53.8333333333333,0,"Prince_George",16.7,5,0,NA,1940,6,10.9
1940-06-05,-122.8,53.8333333333333,0,"Prince_George",18.3,5.6,0,NA,1940,6,12
1940-06-06,-122.8,53.8333333333333,0,"Prince_George",16.7,-1.7,0,NA,1940,6,7.5
1940-06-07,-122.8,53.8333333333333,1.3,"Prince_George",21.7,1.7,1.3,NA,1940,6,11.7
1940-06-08,-122.8,53.8333333333333,0.3,"Prince_George",23.3,0.6,0.3,NA,1940,6,12
1940-06-09,-122.8,53.8333333333333,5.3,"Prince_George",22.2,10,5.3,NA,1940,6,16.1
1940-06-10,-122.8,53.8333333333333,6.4,"Prince_George",20,10,6.4,NA,1940,6,15
1940-06-11,-122.8,53.8333333333333,0.8,"Prince_George",21.7,8.9,0.8,NA,1940,6,15.3
1940-06-12,-122.8,53.8333333333333,0.5,"Prince_George",23.9,7.2,0.5,NA,1940,6,15.6
1940-06-13,-122.8,53.8333333333333,5.1,"Prince_George",17.8,7.8,5.1,NA,1940,6,12.8
1940-06-14,-122.8,53.8333333333333,0,"Prince_George",21.7,3.3,0,NA,1940,6,12.5
1940-06-15,-122.8,53.8333333333333,2,"Prince_George",16.7,7.8,2,NA,1940,6,12.3
1940-06-16,-122.8,53.8333333333333,0,"Prince_George",16.1,2.8,0,NA,1940,6,9.5
1940-06-17,-122.8,53.8333333333333,0,"Prince_George",22.8,-1.1,0,NA,1940,6,10.9
1940-06-18,-122.8,53.8333333333333,0,"Prince_George",25.6,5.6,0,NA,1940,6,15.6
1940-06-19,-122.8,53.8333333333333,1,"Prince_George",28.3,7.8,1,NA,1940,6,18.1
1940-06-20,-122.8,53.8333333333333,1.3,"Prince_George",17.2,4.4,1.3,NA,1940,6,10.8
1940-06-21,-122.8,53.8333333333333,0.5,"Prince_George",16.7,5.6,0.5,NA,1940,6,11.2
1940-06-22,-122.8,53.8333333333333,0,"Prince_George",24.4,3.9,0,NA,1940,6,14.2
1940-06-23,-122.8,53.8333333333333,8.6,"Prince_George",22.2,8.3,8.6,NA,1940,6,15.3
1940-06-24,-122.8,53.8333333333333,2.5,"Prince_George",22.8,7.8,2.5,NA,1940,6,15.3
1940-06-25,-122.8,53.8333333333333,0,"Prince_George",21.7,8.3,0,NA,1940,6,15
1940-06-26,-122.8,53.8333333333333,5.3,"Prince_George",17.8,8.3,5.3,NA,1940,6,13.1
1940-06-27,-122.8,53.8333333333333,0,"Prince_George",20,4.4,0,NA,1940,6,12.2
1940-06-28,-122.8,53.8333333333333,0.3,"Prince_George",21.1,2.2,0.3,NA,1940,6,11.7
1940-06-29,-122.8,53.8333333333333,0,"Prince_George",22.2,4.4,0,NA,1940,6,13.3
1940-06-30,-122.8,53.8333333333333,0,"Prince_George",24.4,4.4,0,NA,1940,6,14.4
1940-07-01,-122.8,53.8333333333333,0,"Prince_George",27.2,10,0,NA,1940,7,18.6
1940-07-02,-122.8,53.8333333333333,0,"Prince_George",23.9,11.1,0,NA,1940,7,17.5
1940-07-03,-122.8,53.8333333333333,0,"Prince_George",21.7,3.9,0,NA,1940,7,12.8
1940-07-04,-122.8,53.8333333333333,0,"Prince_George",17.2,3.9,0,NA,1940,7,10.6
1940-07-05,-122.8,53.8333333333333,0,"Prince_George",24.4,1.7,0,NA,1940,7,13.1
1940-07-06,-122.8,53.8333333333333,0,"Prince_George",27.2,3.9,0,NA,1940,7,15.6
1940-07-07,-122.8,53.8333333333333,8.6,"Prince_George",24.4,8.3,8.6,NA,1940,7,16.4
1940-07-08,-122.8,53.8333333333333,0.3,"Prince_George",25.6,6.1,0.3,NA,1940,7,15.9
1940-07-09,-122.8,53.8333333333333,2,"Prince_George",21.7,11.7,2,NA,1940,7,16.7
1940-07-10,-122.8,53.8333333333333,1.5,"Prince_George",21.1,5.6,1.5,NA,1940,7,13.4
1940-07-11,-122.8,53.8333333333333,0,"Prince_George",26.7,9.4,0,NA,1940,7,18.1
1940-07-12,-122.8,53.8333333333333,24.1,"Prince_George",28.9,10,24.1,NA,1940,7,19.5
1940-07-13,-122.8,53.8333333333333,26.4,"Prince_George",17.2,13.9,26.4,NA,1940,7,15.6
1940-07-14,-122.8,53.8333333333333,10.2,"Prince_George",20.6,12.2,10.2,NA,1940,7,16.4
1940-07-15,-122.8,53.8333333333333,2.5,"Prince_George",27.2,11.7,2.5,NA,1940,7,19.5
1940-07-16,-122.8,53.8333333333333,0,"Prince_George",25.6,11.1,0,NA,1940,7,18.4
1940-07-17,-122.8,53.8333333333333,4.6,"Prince_George",21.1,10,4.6,NA,1940,7,15.6
1940-07-18,-122.8,53.8333333333333,1,"Prince_George",26.1,7.2,1,NA,1940,7,16.7
1940-07-19,-122.8,53.8333333333333,0,"Prince_George",25.6,10.6,0,NA,1940,7,18.1
1940-07-20,-122.8,53.8333333333333,0,"Prince_George",25.6,9.4,0,NA,1940,7,17.5
1940-07-21,-122.8,53.8333333333333,0,"Prince_George",26.1,8.9,0,NA,1940,7,17.5
1940-07-22,-122.8,53.8333333333333,1,"Prince_George",26.7,8.9,1,NA,1940,7,17.8
1940-07-23,-122.8,53.8333333333333,0,"Prince_George",24.4,10,0,NA,1940,7,17.2
1940-07-24,-122.8,53.8333333333333,1,"Prince_George",24.4,7.2,1,NA,1940,7,15.8
1940-07-25,-122.8,53.8333333333333,4.8,"Prince_George",23.3,11.1,4.8,NA,1940,7,17.2
1940-07-26,-122.8,53.8333333333333,2.8,"Prince_George",21.7,10,2.8,NA,1940,7,15.9
1940-07-27,-122.8,53.8333333333333,5.6,"Prince_George",23.9,11.1,5.6,NA,1940,7,17.5
1940-07-28,-122.8,53.8333333333333,11.7,"Prince_George",21.7,11.7,11.7,NA,1940,7,16.7
1940-07-29,-122.8,53.8333333333333,6.4,"Prince_George",20.6,10,6.4,NA,1940,7,15.3
1940-07-30,-122.8,53.8333333333333,1.3,"Prince_George",19.4,7.8,1.3,NA,1940,7,13.6
1940-07-31,-122.8,53.8333333333333,0.8,"Prince_George",21.7,9.4,0.8,NA,1940,7,15.6
1940-08-01,-122.8,53.8333333333333,2,"Prince_George",21.7,8.3,2,NA,1940,8,15
1940-08-02,-122.8,53.8333333333333,2.8,"Prince_George",20,10,2.8,NA,1940,8,15
1940-08-03,-122.8,53.8333333333333,0,"Prince_George",20.6,8.9,0,NA,1940,8,14.8
1940-08-04,-122.8,53.8333333333333,0,"Prince_George",23.3,7.2,0,NA,1940,8,15.3
1940-08-05,-122.8,53.8333333333333,0,"Prince_George",28.3,7.2,0,NA,1940,8,17.8
1940-08-06,-122.8,53.8333333333333,0,"Prince_George",25,8.9,0,NA,1940,8,17
1940-08-07,-122.8,53.8333333333333,0,"Prince_George",25.6,10,0,NA,1940,8,17.8
1940-08-08,-122.8,53.8333333333333,2.8,"Prince_George",21.1,9.4,2.8,NA,1940,8,15.3
1940-08-09,-122.8,53.8333333333333,0,"Prince_George",18.9,7.8,0,NA,1940,8,13.4
1940-08-10,-122.8,53.8333333333333,0,"Prince_George",22.2,6.1,0,NA,1940,8,14.2
1940-08-11,-122.8,53.8333333333333,0,"Prince_George",25.6,1.7,0,NA,1940,8,13.7
1940-08-12,-122.8,53.8333333333333,1.3,"Prince_George",17.8,7.2,1.3,NA,1940,8,12.5
1940-08-13,-122.8,53.8333333333333,3.6,"Prince_George",14.4,4.4,3.6,NA,1940,8,9.4
1940-08-14,-122.8,53.8333333333333,0,"Prince_George",20.6,7.8,0,NA,1940,8,14.2
1940-08-15,-122.8,53.8333333333333,0,"Prince_George",18.9,5.6,0,NA,1940,8,12.3
1940-08-16,-122.8,53.8333333333333,0,"Prince_George",22.2,1.7,0,NA,1940,8,12
1940-08-17,-122.8,53.8333333333333,0,"Prince_George",26.7,3.3,0,NA,1940,8,15
1940-08-18,-122.8,53.8333333333333,0,"Prince_George",29.4,5,0,NA,1940,8,17.2
1940-08-19,-122.8,53.8333333333333,0,"Prince_George",31.7,6.7,0,NA,1940,8,19.2
1940-08-20,-122.8,53.8333333333333,0,"Prince_George",32.2,6.7,0,NA,1940,8,19.5
1940-08-21,-122.8,53.8333333333333,0,"Prince_George",30,6.7,0,NA,1940,8,18.4
1940-08-22,-122.8,53.8333333333333,3.6,"Prince_George",23.9,11.7,3.6,NA,1940,8,17.8
1940-08-23,-122.8,53.8333333333333,0,"Prince_George",28.3,9.4,0,NA,1940,8,18.9
1940-08-24,-122.8,53.8333333333333,1.8,"Prince_George",24.4,11.7,1.8,NA,1940,8,18.1
1940-08-25,-122.8,53.8333333333333,0.3,"Prince_George",20.6,6.7,0.3,NA,1940,8,13.7
1940-08-26,-122.8,53.8333333333333,13.7,"Prince_George",18.9,6.7,13.7,NA,1940,8,12.8
1940-08-27,-122.8,53.8333333333333,9.1,"Prince_George",18.9,7.8,9.1,NA,1940,8,13.4
1940-08-28,-122.8,53.8333333333333,0,"Prince_George",17.2,6.1,0,NA,1940,8,11.7
1940-08-29,-122.8,53.8333333333333,1.3,"Prince_George",26.1,10.6,1.3,NA,1940,8,18.4
1940-08-30,-122.8,53.8333333333333,0,"Prince_George",27.2,6.1,0,NA,1940,8,16.7
1940-08-31,-122.8,53.8333333333333,4.8,"Prince_George",20,7.8,4.8,NA,1940,8,13.9
1940-09-01,-122.8,53.8333333333333,0.3,"Prince_George",21.1,3.9,0.3,NA,1940,9,12.5
1940-09-02,-122.8,53.8333333333333,0,"Prince_George",22.2,7.2,0,NA,1940,9,14.7
1940-09-03,-122.8,53.8333333333333,0,"Prince_George",24.4,5,0,NA,1940,9,14.7
1940-09-04,-122.8,53.8333333333333,0,"Prince_George",18.3,10,0,NA,1940,9,14.2
1940-09-05,-122.8,53.8333333333333,0,"Prince_George",20.6,4.4,0,NA,1940,9,12.5
1940-09-06,-122.8,53.8333333333333,0,"Prince_George",21.1,6.7,0,NA,1940,9,13.9
1940-09-07,-122.8,53.8333333333333,0,"Prince_George",23.3,1.7,0,NA,1940,9,12.5
1940-09-08,-122.8,53.8333333333333,0,"Prince_George",23.3,-0.6,0,NA,1940,9,11.4
1940-09-09,-122.8,53.8333333333333,0,"Prince_George",26.7,2.2,0,NA,1940,9,14.5
1940-09-10,-122.8,53.8333333333333,0,"Prince_George",26.1,4.4,0,NA,1940,9,15.3
1940-09-11,-122.8,53.8333333333333,0,"Prince_George",27.8,7.2,0,NA,1940,9,17.5
1940-09-12,-122.8,53.8333333333333,0,"Prince_George",25.6,6.7,0,NA,1940,9,16.2
1940-09-13,-122.8,53.8333333333333,8.4,"Prince_George",16.1,7.8,8.4,NA,1940,9,12
1940-09-14,-122.8,53.8333333333333,0,"Prince_George",20.6,8.3,0,NA,1940,9,14.5
1940-09-15,-122.8,53.8333333333333,8.9,"Prince_George",17.8,6.7,8.9,NA,1940,9,12.3
1940-09-16,-122.8,53.8333333333333,1.8,"Prince_George",17.8,6.1,1.8,NA,1940,9,12
1940-09-17,-122.8,53.8333333333333,10.2,"Prince_George",8.9,4.4,10.2,NA,1940,9,6.7
1940-09-18,-122.8,53.8333333333333,0,"Prince_George",15.6,0.6,0,NA,1940,9,8.1
1940-09-19,-122.8,53.8333333333333,0,"Prince_George",17.2,1.1,0,NA,1940,9,9.2
1940-09-20,-122.8,53.8333333333333,0,"Prince_George",22.2,1.1,0,NA,1940,9,11.7
1940-09-21,-122.8,53.8333333333333,0,"Prince_George",23.3,1.1,0,NA,1940,9,12.2
1940-09-22,-122.8,53.8333333333333,0,"Prince_George",24.4,1.7,0,NA,1940,9,13.1
1940-09-23,-122.8,53.8333333333333,0,"Prince_George",23.9,1.7,0,NA,1940,9,12.8
1940-09-24,-122.8,53.8333333333333,0,"Prince_George",25,2.2,0,NA,1940,9,13.6
1940-09-25,-122.8,53.8333333333333,0,"Prince_George",25,2.8,0,NA,1940,9,13.9
1940-09-26,-122.8,53.8333333333333,0,"Prince_George",23.3,3.9,0,NA,1940,9,13.6
1940-09-27,-122.8,53.8333333333333,0,"Prince_George",23.9,4.4,0,NA,1940,9,14.2
1940-09-28,-122.8,53.8333333333333,0,"Prince_George",21.1,2.8,0,NA,1940,9,12
1940-09-29,-122.8,53.8333333333333,4.3,"Prince_George",23.9,1.1,4.3,NA,1940,9,12.5
1940-09-30,-122.8,53.8333333333333,3,"Prince_George",18.9,4.4,3,NA,1940,9,11.7
1940-10-01,-122.8,53.8333333333333,0,"Prince_George",12.8,1.7,0,NA,1940,10,7.3
1940-10-02,-122.8,53.8333333333333,0,"Prince_George",14.4,-1.1,0,NA,1940,10,6.7
1940-10-03,-122.8,53.8333333333333,0,"Prince_George",15.6,0,0,NA,1940,10,7.8
1940-10-04,-122.8,53.8333333333333,0,"Prince_George",15.6,-1.1,0,NA,1940,10,7.3
1940-10-05,-122.8,53.8333333333333,0,"Prince_George",16.1,-3.9,0,NA,1940,10,6.1
1940-10-06,-122.8,53.8333333333333,0,"Prince_George",17.2,-1.7,0,NA,1940,10,7.8
1940-10-07,-122.8,53.8333333333333,0.3,"Prince_George",15,1.7,0.3,NA,1940,10,8.4
1940-10-08,-122.8,53.8333333333333,0,"Prince_George",15,-1.7,0,NA,1940,10,6.7
1940-10-09,-122.8,53.8333333333333,0.3,"Prince_George",13.3,-3.3,0.3,NA,1940,10,5
1940-10-10,-122.8,53.8333333333333,1.5,"Prince_George",16.1,7.8,1.5,NA,1940,10,12
1940-10-11,-122.8,53.8333333333333,0,"Prince_George",13.9,1.1,0,NA,1940,10,7.5
1940-10-12,-122.8,53.8333333333333,0,"Prince_George",13.9,-3.9,0,NA,1940,10,5
1940-10-13,-122.8,53.8333333333333,0,"Prince_George",7.2,-6.1,0,NA,1940,10,0.6
1940-10-14,-122.8,53.8333333333333,2.5,"Prince_George",15,-2.2,2.5,NA,1940,10,6.4
1940-10-15,-122.8,53.8333333333333,0,"Prince_George",13.3,-2.8,0,NA,1940,10,5.3
1940-10-16,-122.8,53.8333333333333,0.8,"Prince_George",10.6,-5,0.8,NA,1940,10,2.8
1940-10-17,-122.8,53.8333333333333,21.3,"Prince_George",9.4,4.4,21.3,NA,1940,10,6.9
1940-10-18,-122.8,53.8333333333333,13.2,"Prince_George",16.7,7.8,13.2,NA,1940,10,12.3
1940-10-19,-122.8,53.8333333333333,0,"Prince_George",19.4,10,0,NA,1940,10,14.7
1940-10-20,-122.8,53.8333333333333,10.9,"Prince_George",21.1,14.4,10.9,NA,1940,10,17.8
1940-10-21,-122.8,53.8333333333333,0,"Prince_George",11.1,1.7,0,NA,1940,10,6.4
1940-10-22,-122.8,53.8333333333333,0,"Prince_George",11.1,-3.9,0,NA,1940,10,3.6
1940-10-23,-122.8,53.8333333333333,1,"Prince_George",12.8,-1.7,1,NA,1940,10,5.6
1940-10-24,-122.8,53.8333333333333,0,"Prince_George",12.8,0,0,NA,1940,10,6.4
1940-10-25,-122.8,53.8333333333333,0,"Prince_George",10.6,-5.6,0,NA,1940,10,2.5
1940-10-26,-122.8,53.8333333333333,0,"Prince_George",10,-3.3,0,NA,1940,10,3.4
1940-10-27,-122.8,53.8333333333333,0,"Prince_George",8.3,-8.3,0,NA,1940,10,0
1940-10-28,-122.8,53.8333333333333,0,"Prince_George",1.7,-7.2,0,NA,1940,10,-2.8
1940-10-29,-122.8,53.8333333333333,1.3,"Prince_George",8.3,-2.8,1.3,NA,1940,10,2.8
1940-10-30,-122.8,53.8333333333333,1,"Prince_George",11.1,-1.1,1,NA,1940,10,5
1940-10-31,-122.8,53.8333333333333,4.1,"Prince_George",10,-3.3,4.1,NA,1940,10,3.4
1940-11-01,-122.8,53.8333333333333,4.3,"Prince_George",7.2,-1.7,4.3,NA,1940,11,2.8
1940-11-02,-122.8,53.8333333333333,2,"Prince_George",3.3,-2.8,0,NA,1940,11,0.3
1940-11-03,-122.8,53.8333333333333,0,"Prince_George",4.4,-5,0,NA,1940,11,-0.3
1940-11-04,-122.8,53.8333333333333,0,"Prince_George",2.8,-6.7,0,NA,1940,11,-2
1940-11-05,-122.8,53.8333333333333,12.7,"Prince_George",-1.1,-12.2,0,NA,1940,11,-6.7
1940-11-06,-122.8,53.8333333333333,5.3,"Prince_George",-10.6,-17.8,0,NA,1940,11,-14.2
1940-11-07,-122.8,53.8333333333333,11.4,"Prince_George",-11.1,-14.4,0,NA,1940,11,-12.8
1940-11-08,-122.8,53.8333333333333,1,"Prince_George",-12.8,-25,0,NA,1940,11,-18.9
1940-11-09,-122.8,53.8333333333333,0,"Prince_George",-14.4,-33.3,0,NA,1940,11,-23.9
1940-11-10,-122.8,53.8333333333333,0,"Prince_George",-11.1,-27.8,0,NA,1940,11,-19.5
1940-11-11,-122.8,53.8333333333333,0,"Prince_George",-13.9,-31.7,0,NA,1940,11,-22.8
1940-11-12,-122.8,53.8333333333333,0,"Prince_George",-12.8,-31.1,0,NA,1940,11,-22
1940-11-13,-122.8,53.8333333333333,0,"Prince_George",-3.3,-13.3,0,NA,1940,11,-8.3
1940-11-14,-122.8,53.8333333333333,0,"Prince_George",2.8,-13.3,0,NA,1940,11,-5.3
1940-11-15,-122.8,53.8333333333333,0,"Prince_George",5,-6.1,0,NA,1940,11,-0.6
1940-11-16,-122.8,53.8333333333333,0,"Prince_George",-2.2,-11.1,0,NA,1940,11,-6.7
1940-11-17,-122.8,53.8333333333333,0,"Prince_George",1.1,-12.8,0,NA,1940,11,-5.9
1940-11-18,-122.8,53.8333333333333,3.3,"Prince_George",0,-19.4,0,NA,1940,11,-9.7
1940-11-19,-122.8,53.8333333333333,0,"Prince_George",1.1,-1.7,0,NA,1940,11,-0.3
1940-11-20,-122.8,53.8333333333333,0,"Prince_George",-2.2,-8.9,0,NA,1940,11,-5.6
1940-11-21,-122.8,53.8333333333333,0,"Prince_George",-3.9,-7.2,0,NA,1940,11,-5.6
1940-11-22,-122.8,53.8333333333333,0,"Prince_George",-1.7,-7.8,0,NA,1940,11,-4.8
1940-11-23,-122.8,53.8333333333333,2.8,"Prince_George",-1.1,-7.8,0,NA,1940,11,-4.5
1940-11-24,-122.8,53.8333333333333,0,"Prince_George",3.3,-2.8,0,NA,1940,11,0.3
1940-11-25,-122.8,53.8333333333333,4.1,"Prince_George",2.8,0.6,3.8,NA,1940,11,1.7
1940-11-26,-122.8,53.8333333333333,3.6,"Prince_George",2.2,0,1.3,NA,1940,11,1.1
1940-11-27,-122.8,53.8333333333333,8.9,"Prince_George",4.4,-0.6,8.9,NA,1940,11,1.9
1940-11-28,-122.8,53.8333333333333,3.6,"Prince_George",4.4,0.6,3.6,NA,1940,11,2.5
1940-11-29,-122.8,53.8333333333333,0.3,"Prince_George",1.1,-2.2,0,NA,1940,11,-0.6
1940-11-30,-122.8,53.8333333333333,1,"Prince_George",2.2,-2.8,0.8,NA,1940,11,-0.3
1940-12-01,-122.8,53.8333333333333,8.9,"Prince_George",-3.9,-8.9,0,NA,1940,12,-6.4
1940-12-02,-122.8,53.8333333333333,6.6,"Prince_George",5,-8.9,6.6,NA,1940,12,-2
1940-12-03,-122.8,53.8333333333333,0,"Prince_George",7.8,-3.3,0,NA,1940,12,2.3
1940-12-04,-122.8,53.8333333333333,0.5,"Prince_George",7.8,3.9,0.5,NA,1940,12,5.9
1940-12-05,-122.8,53.8333333333333,13,"Prince_George",2.8,0,13,NA,1940,12,1.4
1940-12-06,-122.8,53.8333333333333,1.8,"Prince_George",3.9,0.6,1.8,NA,1940,12,2.3
1940-12-07,-122.8,53.8333333333333,1.8,"Prince_George",5,1.1,1.8,NA,1940,12,3.1
1940-12-08,-122.8,53.8333333333333,0,"Prince_George",5,-1.7,0,NA,1940,12,1.7
1940-12-09,-122.8,53.8333333333333,0,"Prince_George",3.3,-4.4,0,NA,1940,12,-0.6
1940-12-10,-122.8,53.8333333333333,0,"Prince_George",-3.3,-13.9,0,NA,1940,12,-8.6
1940-12-11,-122.8,53.8333333333333,0,"Prince_George",-8.3,-15,0,NA,1940,12,-11.7
1940-12-12,-122.8,53.8333333333333,0,"Prince_George",-7.2,-14.4,0,NA,1940,12,-10.8
1940-12-13,-122.8,53.8333333333333,0,"Prince_George",-5,-8.9,0,NA,1940,12,-7
1940-12-14,-122.8,53.8333333333333,0,"Prince_George",-6.7,-10.6,0,NA,1940,12,-8.7
1940-12-15,-122.8,53.8333333333333,0,"Prince_George",-6.7,-16.7,0,NA,1940,12,-11.7
1940-12-16,-122.8,53.8333333333333,0,"Prince_George",-10,-22.2,0,NA,1940,12,-16.1
1940-12-17,-122.8,53.8333333333333,0,"Prince_George",-12.2,-24.4,0,NA,1940,12,-18.3
1940-12-18,-122.8,53.8333333333333,0,"Prince_George",-3.9,-18.3,0,NA,1940,12,-11.1
1940-12-19,-122.8,53.8333333333333,2.5,"Prince_George",6.7,-8.9,2.5,NA,1940,12,-1.1
1940-12-20,-122.8,53.8333333333333,0,"Prince_George",6.1,-1.7,0,NA,1940,12,2.2
1940-12-21,-122.8,53.8333333333333,1,"Prince_George",6.1,-1.7,1,NA,1940,12,2.2
1940-12-22,-122.8,53.8333333333333,0,"Prince_George",9.4,1.7,0,NA,1940,12,5.6
1940-12-23,-122.8,53.8333333333333,1.3,"Prince_George",0.6,-5.6,0,NA,1940,12,-2.5
1940-12-24,-122.8,53.8333333333333,0,"Prince_George",-0.6,-6.7,0,NA,1940,12,-3.7
1940-12-25,-122.8,53.8333333333333,0,"Prince_George",5,-6.1,0,NA,1940,12,-0.6
1940-12-26,-122.8,53.8333333333333,2.8,"Prince_George",5,-5,2.8,NA,1940,12,0
1940-12-27,-122.8,53.8333333333333,0,"Prince_George",0,-6.7,0,NA,1940,12,-3.4
1940-12-28,-122.8,53.8333333333333,0,"Prince_George",0,-8.9,0,NA,1940,12,-4.5
1940-12-29,-122.8,53.8333333333333,1.3,"Prince_George",-3.9,-8.3,0,NA,1940,12,-6.1
1940-12-30,-122.8,53.8333333333333,0,"Prince_George",-4.4,-10.6,0,NA,1940,12,-7.5
1940-12-31,-122.8,53.8333333333333,1.3,"Prince_George",-3.9,-9.4,0,NA,1940,12,-6.7
1941-01-01,-122.8,53.8333333333333,1.8,"Prince_George",-4.4,-10.6,0,NA,1941,1,-7.5
1941-01-02,-122.8,53.8333333333333,6.6,"Prince_George",-4.4,-9.4,0,NA,1941,1,-6.9
1941-01-03,-122.8,53.8333333333333,0,"Prince_George",-3.9,-9.4,0,NA,1941,1,-6.7
1941-01-04,-122.8,53.8333333333333,0,"Prince_George",-6.7,-15.6,0,NA,1941,1,-11.2
1941-01-05,-122.8,53.8333333333333,0,"Prince_George",-8.9,-20,0,NA,1941,1,-14.5
