"begin","end","starttemp","endtemp","avgexc","year","month","station"
"1980-10-03","1980-10-06",23.5,20.5,2.922,1980,10,"YVR"
"1980-12-24","1980-12-30",10.7,10.4,2.284,1980,12,"YVR"
"1981-01-19","1981-01-22",11.2,14.7,4.012,1981,1,"YVR"
"1981-03-20","1981-03-22",13.7,13.5,0.933,1981,3,"YVR"
"1981-08-07","1981-08-10",27.3,27,1.392,1981,8,"YVR"
"1982-06-17","1982-06-21",24.4,24.1,1.748,1982,6,"YVR"
"1983-01-09","1983-01-12",10.2,10.8,1.22,1983,1,"YVR"
"1983-03-09","1983-03-11",15.4,13,1.03,1983,3,"YVR"
"1983-04-17","1983-04-19",16.2,19.1,1.293,1983,4,"YVR"
"1983-05-27","1983-05-29",21.8,30.4,3.9,1983,5,"YVR"
"1984-03-07","1984-03-09",14.7,15.2,1.957,1984,3,"YVR"
"1984-07-23","1984-07-25",26.8,26.9,0.76,1984,7,"YVR"
"1985-07-02","1985-07-04",27.5,26.4,2.697,1985,7,"YVR"
"1985-07-07","1985-07-11",26.5,26.4,2.194,1985,7,"YVR"
"1985-07-18","1985-07-22",27.4,26.1,1.438,1985,7,"YVR"
"1986-02-24","1986-03-01",13.1,14.3,2.74,1986,2,"YVR"
"1986-08-26","1986-08-28",25.8,24.6,1.23,1986,8,"YVR"
"1986-10-24","1986-10-28",19.5,15.7,1.7,1986,10,"YVR"
"1987-02-09","1987-02-12",11.6,12.9,1.097,1987,2,"YVR"
"1987-03-03","1987-03-06",12.9,13.1,0.873,1987,3,"YVR"
"1987-03-31","1987-04-02",14.7,21.1,3.463,1987,3,"YVR"
"1987-05-08","1987-05-10",21,22.6,2.06,1987,5,"YVR"
"1987-06-28","1987-06-30",24.2,28.9,2.867,1987,6,"YVR"
"1987-08-24","1987-08-27",27,24.4,1.9,1987,8,"YVR"
"1987-08-30","1987-09-01",25.6,28.7,2.967,1987,8,"YVR"
"1987-09-19","1987-09-21",22.6,22.1,1.367,1987,9,"YVR"
"1987-09-30","1987-10-03",21.2,20.4,1.22,1987,9,"YVR"
"1987-11-07","1987-11-12",14.1,13.2,1.048,1987,11,"YVR"
"1988-09-02","1988-09-04",26.8,23.4,2.863,1988,9,"YVR"
"1989-04-28","1989-05-01",18.4,19.1,1.65,1989,4,"YVR"
"1989-05-03","1989-05-08",19.2,20.9,1.538,1989,5,"YVR"
"1989-06-23","1989-06-25",24,26,1.4,1989,6,"YVR"
"1989-09-08","1989-09-10",24.8,23.2,1.63,1989,9,"YVR"
"1989-12-02","1989-12-05",10.8,10.8,1.015,1989,12,"YVR"
"1990-01-05","1990-01-07",10.4,10.8,0.893,1990,1,"YVR"
"1990-04-15","1990-04-17",16.1,18.2,2.293,1990,4,"YVR"
"1990-05-03","1990-05-05",18.6,23.1,1.92,1990,5,"YVR"
"1990-07-20","1990-07-22",28.5,29.7,3.3,1990,7,"YVR"
"1990-08-09","1990-08-12",26.8,31.9,2.885,1990,8,"YVR"
"1990-11-10","1990-11-12",13.7,14.3,1.367,1990,11,"YVR"
"1990-11-21","1990-11-24",11.4,11.1,0.725,1990,11,"YVR"
"1991-02-01","1991-02-04",11.5,12.6,1.397,1991,2,"YVR"
"1991-04-19","1991-04-21",16.2,17.2,0.5,1991,4,"YVR"
"1991-12-25","1991-12-29",10.2,9.7,0.758,1991,12,"YVR"
"1992-01-23","1992-01-25",10.7,11.8,0.993,1992,1,"YVR"
"1992-01-27","1992-01-31",11.7,14.8,1.656,1992,1,"YVR"
"1992-02-27","1992-02-29",12.4,13,0.95,1992,2,"YVR"
"1992-03-29","1992-04-02",14.4,22.1,2.378,1992,3,"YVR"
"1992-04-13","1992-04-16",16.8,16.9,1.27,1992,4,"YVR"
"1992-06-21","1992-06-23",25.6,24.1,1.233,1992,6,"YVR"
"1993-02-04","1993-02-06",13.1,14.4,2.497,1993,2,"YVR"
"1993-05-16","1993-05-19",21.5,23.7,2.742,1993,5,"YVR"
"1993-05-24","1993-05-27",23.7,24.1,1.695,1993,5,"YVR"
"1993-09-07","1993-09-10",25.5,23.9,1.42,1993,9,"YVR"
"1994-01-21","1994-01-23",12,11.2,1.557,1994,1,"YVR"
"1994-03-26","1994-03-30",13.6,14.4,1.678,1994,3,"YVR"
"1994-04-16","1994-04-21",16.3,16.8,1.43,1994,4,"YVR"
"1994-05-08","1994-05-11",21.4,22.9,2.242,1994,5,"YVR"
"1994-07-20","1994-07-24",29,27.8,2.096,1994,7,"YVR"
"1994-12-17","1994-12-20",11.3,11.3,0.84,1994,12,"YVR"
"1995-01-29","1995-02-01",11.5,11.7,1.947,1995,1,"YVR"
"1995-04-25","1995-04-28",18.6,18.2,0.87,1995,4,"YVR"
"1995-05-24","1995-05-29",21.5,22.5,1.063,1995,5,"YVR"
"1995-06-27","1995-07-01",25.5,24.6,2.776,1995,6,"YVR"
"1995-09-22","1995-09-24",21.5,24.8,2.93,1995,9,"YVR"
"1995-11-13","1995-11-18",12.9,14.6,1.947,1995,11,"YVR"
"1995-11-22","1995-11-26",12.6,11.4,1.376,1995,11,"YVR"
"1995-12-10","1995-12-13",11.2,10.7,0.595,1995,12,"YVR"
"1996-01-06","1996-01-11",10.5,11.4,1.327,1996,1,"YVR"
"1996-02-16","1996-02-18",16,13.3,2.097,1996,2,"YVR"
"1996-03-09","1996-03-11",12.9,13.9,0.73,1996,3,"YVR"
"1996-07-27","1996-07-29",27.7,25.8,1.46,1996,7,"YVR"
"1997-02-15","1997-02-17",12.6,12.4,0.663,1997,2,"YVR"
"1997-05-11","1997-05-16",20.8,22.4,3.065,1997,5,"YVR"
"1997-11-18","1997-11-20",11.9,14.7,1.393,1997,11,"YVR"
"1997-12-28","1997-12-30",10.5,11.4,1.6,1997,12,"YVR"
"1998-01-23","1998-01-26",11,10.5,0.567,1998,1,"YVR"
"1998-01-30","1998-02-01",11.9,13.1,1.563,1998,1,"YVR"
"1998-02-05","1998-02-07",11.7,15.8,1.93,1998,2,"YVR"
"1998-04-29","1998-05-05",18.7,19.3,1.637,1998,4,"YVR"
"1998-07-26","1998-07-29",28.3,28.2,3.862,1998,7,"YVR"
"1998-08-30","1998-09-03",24.2,24.1,1.56,1998,8,"YVR"
"2001-01-03","2001-01-05",10,11.7,1.193,2001,1,"YVR"
"2001-11-14","2001-11-16",13.2,13.1,1.9,2001,11,"YVR"
"2002-01-05","2002-01-08",9.8,11.1,1.892,2002,1,"YVR"
"2002-11-19","2002-11-21",13.4,12.3,2.8,2002,11,"YVR"
"2003-01-02","2003-01-07",11.7,10.9,1.762,2003,1,"YVR"
"2003-01-23","2003-01-27",13.2,10.6,1.832,2003,1,"YVR"
"2003-03-12","2003-03-15",13.1,14.1,0.47,2003,3,"YVR"
"2003-06-05","2003-06-07",24.8,24.5,2.893,2003,6,"YVR"
"2003-07-19","2003-07-21",27.9,26.1,1.533,2003,7,"YVR"
"2003-09-04","2003-09-06",27.2,25.4,3.393,2003,9,"YVR"
"2003-10-17","2003-10-22",16.6,17.2,1.847,2003,10,"YVR"
"2004-03-21","2004-03-23",13.6,13.8,1.263,2004,3,"YVR"
"2004-04-09","2004-04-13",15.5,15.7,1.84,2004,4,"YVR"
"2004-04-29","2004-05-02",18.5,19.1,2.625,2004,4,"YVR"
"2004-06-17","2004-06-22",25.9,27.2,3.657,2004,6,"YVR"
"2004-07-16","2004-07-19",26.1,27.5,1.94,2004,7,"YVR"
"2004-07-22","2004-07-24",26.7,27.6,2.193,2004,7,"YVR"
"2004-08-14","2004-08-16",27.3,26.6,0.99,2004,8,"YVR"
"2005-01-18","2005-01-27",11.4,10.9,2.06,2005,1,"YVR"
"2005-01-31","2005-02-02",12.1,13.2,1.53,2005,1,"YVR"
"2005-03-03","2005-03-10",13.2,15.3,1.42,2005,3,"YVR"
"2005-03-12","2005-03-14",12.9,13.8,0.693,2005,3,"YVR"
"2005-04-20","2005-04-23",16.6,19.7,1.222,2005,4,"YVR"
"2005-04-25","2005-04-29",18.2,18.3,1.676,2005,4,"YVR"
"2005-05-26","2005-05-28",24.4,24.2,3.063,2005,5,"YVR"
"2005-12-20","2005-12-28",12.3,11.3,2.342,2005,12,"YVR"
"2006-01-04","2006-01-06",10.3,12.8,1.76,2006,1,"YVR"
"2006-05-15","2006-05-17",21.4,20.4,3.3,2006,5,"YVR"
"2006-06-24","2006-06-26",24.2,24.4,0.733,2006,6,"YVR"
"2006-07-02","2006-07-04",24.5,24.6,0.863,2006,7,"YVR"
"2006-07-21","2006-07-23",28.7,26.7,2.427,2006,7,"YVR"
"2006-09-01","2006-09-04",24,24,0.872,2006,9,"YVR"
"2008-06-28","2008-06-30",24.4,25.9,1.733,2008,6,"YVR"
"2008-11-15","2008-11-17",13,13.5,0.967,2008,11,"YVR"
"2009-06-01","2009-06-05",23.5,23.3,2.58,2009,6,"YVR"
"2009-07-26","2009-08-01",26.5,26.7,4.104,2009,7,"YVR"
"2010-01-09","2010-01-13",11.2,10.8,2.356,2010,1,"YVR"
"2010-01-18","2010-01-21",11.7,13,2.39,2010,1,"YVR"
"2010-02-04","2010-02-06",13.1,11.7,1.497,2010,2,"YVR"
"2010-02-28","2010-03-02",12.8,13.9,1.06,2010,2,"YVR"
"2010-07-07","2010-07-09",27.8,27.1,2.76,2010,7,"YVR"
"2010-08-13","2010-08-17",27.6,26.3,2.334,2010,8,"YVR"
"2010-11-02","2010-11-04",15.4,15.8,1.193,2010,11,"YVR"
"2011-01-13","2011-01-17",11.6,11.1,1.6,2011,1,"YVR"
"2011-09-04","2011-09-09",23.4,23.1,0.843,2011,9,"YVR"
"2012-08-15","2012-08-18",26.5,25.2,1.417,2012,8,"YVR"
"2013-05-05","2013-05-07",20.7,20.6,2.29,2013,5,"YVR"
"2013-06-29","2013-07-02",24.4,25.6,3.12,2013,6,"YVR"
"2014-04-30","2014-05-02",18.9,20,2,2014,4,"YVR"
"2014-05-12","2014-05-15",21.1,21.8,1.35,2014,5,"YVR"
"2014-07-12","2014-07-14",26.6,27.1,1.9,2014,7,"YVR"
"2014-09-14","2014-09-16",22.8,22.8,0.79,2014,9,"YVR"
"2014-10-18","2014-10-20",18.5,17.1,3.133,2014,10,"YVR"
"2014-11-26","2014-11-28",11.7,12.9,2.097,2014,11,"YVR"
"2014-12-08","2014-12-12",12.7,12.2,2.758,2014,12,"YVR"
"2015-01-23","2015-01-27",11.5,11.5,2.212,2015,1,"YVR"
"2015-02-05","2015-02-08",12.6,14.3,1.622,2015,2,"YVR"
"2015-03-11","2015-03-14",13.2,14.7,1.695,2015,3,"YVR"
"2015-03-26","2015-03-28",18.8,14.3,3.197,2015,3,"YVR"
"2015-06-06","2015-06-08",23,24,1.46,2015,6,"YVR"
"2015-06-25","2015-06-30",25.5,24.8,1.95,2015,6,"YVR"
"2015-07-02","2015-07-06",24.6,27.1,0.932,2015,7,"YVR"
"2015-12-01","2015-12-03",10.8,13.9,1.453,2015,12,"YVR"
"2016-03-30","2016-04-04",15,14.5,1.615,2016,3,"YVR"
"2016-04-17","2016-04-21",16,19.1,3.516,2016,4,"YVR"
"2016-05-01","2016-05-03",19.7,20.6,3.227,2016,5,"YVR"
"2016-05-10","2016-05-14",20.1,21.6,1.756,2016,5,"YVR"
"2016-06-05","2016-06-07",25.2,22.5,1.793,2016,6,"YVR"
"2016-11-03","2016-11-05",15.7,14.6,1.53,2016,11,"YVR"
"2016-11-07","2016-11-12",14,14.5,2.332,2016,11,"YVR"
"2017-05-27","2017-05-29",22.2,22.9,1.9,2017,5,"YVR"
"2017-08-27","2017-08-29",24.5,29.5,2.093,2017,8,"YVR"
"2017-09-02","2017-09-06",26.3,26.6,2.716,2017,9,"YVR"
"2017-11-21","2017-11-23",12,14.2,2.967,2017,11,"YVR"
"2018-05-06","2018-05-08",19.4,19.2,0.69,2018,5,"YVR"
"2018-05-13","2018-05-15",21.1,24,3.633,2018,5,"YVR"
"2018-06-17","2018-06-20",24.2,25.6,1.435,2018,6,"YVR"
"2018-07-15","2018-07-17",25.7,28.6,1.49,2018,7,"YVR"
"2018-08-07","2018-08-10",26.4,29,2.092,2018,8,"YVR"
"2019-01-09","2019-01-12",10.5,11.3,0.87,2019,1,"YVR"
"2019-03-18","2019-03-23",14,13.4,1.798,2019,3,"YVR"
"2019-04-01","2019-04-03",14.9,14.6,0.833,2019,4,"YVR"
"2019-05-09","2019-05-11",21.4,21.4,2.86,2019,5,"YVR"
"2019-06-11","2019-06-13",23.6,24.7,3.267,2019,6,"YVR"
"2020-05-08","2020-05-11",20.7,22.5,2.992,2020,5,"YVR"
"2020-08-16","2020-08-18",28.3,25.8,2.39,2020,8,"YVR"
"2021-01-11","2021-01-13",10.1,12,1.267,2021,1,"YVR"
"2021-04-15","2021-04-20",17.1,17,2.195,2021,4,"YVR"
"2021-06-25","2021-06-29",25.6,32.4,6.72,2021,6,"YVR"
"2021-07-28","2021-08-01",26.5,26.2,0.794,2021,7,"YVR"
"2021-08-12","2021-08-14",27.6,28.1,2.097,2021,8,"YVR"
"2021-09-08","2021-09-10",24.3,23.5,1.597,2021,9,"YVR"
"2021-11-27","2021-12-01",11.8,12.5,1.46,2021,11,"YVR"
"2022-07-26","2022-07-31",27,27.8,2.722,2022,7,"YVR"
"2022-08-17","2022-08-20",25.9,24.8,1.072,2022,8,"YVR"
"2022-08-29","2022-09-01",24.8,24.5,0.898,2022,8,"YVR"
"2022-09-10","2022-09-12",23.6,22.9,1.733,2022,9,"YVR"
"2022-10-02","2022-10-04",19.7,19.4,0.8,2022,10,"YVR"
"2022-10-06","2022-10-11",19.4,17.55,1.17,2022,10,"YVR"
"2022-10-13","2022-10-18",17.7,16.6,1.448,2022,10,"YVR"
"2023-01-10","2023-01-14",10.6,13.8,1.556,2023,1,"YVR"
"2023-05-11","2023-05-20",20.8,20.65,2.581,2023,5,"YVR"
"2023-07-04","2023-07-06",25,26.3,1.123,2023,7,"YVR"
"2023-07-14","2023-07-16",25.1,26.9,1.997,2023,7,"YVR"
"2023-10-13","2023-10-16",18.5,16.8,1.4,2023,10,"YVR"
"2023-12-25","2023-12-31",10.7,10.6,2.07,2023,12,"YVR"
"2024-01-26","2024-02-02",12.4,11.2,2.457,2024,1,"YVR"
"1940-05-21","1940-05-23",26.7,26.1,3.727,1940,5,"Prince_George"
"1940-08-18","1940-08-21",29.4,30,3.647,1940,8,"Prince_George"
"1940-09-07","1940-09-12",23.3,25.6,2.585,1940,9,"Prince_George"
"1940-09-21","1940-09-27",23.3,23.9,2.64,1940,9,"Prince_George"
"1940-10-18","1940-10-20",16.7,21.1,5.097,1940,10,"Prince_George"
"1940-12-02","1940-12-04",5,7.8,2.433,1940,12,"Prince_George"
"1940-12-19","1940-12-22",6.7,9.4,2.675,1940,12,"Prince_George"
"1941-01-08","1941-01-11",4.4,4.4,3.067,1941,1,"Prince_George"
"1941-01-27","1941-01-29",6.7,7.8,3.993,1941,1,"Prince_George"
"1941-02-01","1941-02-06",10.6,7.8,3.698,1941,2,"Prince_George"
"1941-03-10","1941-03-14",11.7,12.2,3.176,1941,3,"Prince_George"
"1941-03-19","1941-03-23",11.7,11.1,1.034,1941,3,"Prince_George"
"1941-03-25","1941-04-03",13.9,18.3,3.816,1941,3,"Prince_George"
"1941-04-05","1941-04-09",15,17.2,2.472,1941,4,"Prince_George"
"1941-04-18","1941-04-29",18.3,20.6,2.78,1941,4,"Prince_George"
"1941-07-13","1941-07-19",30.6,29.4,6.467,1941,7,"Prince_George"
"1941-08-18","1941-08-22",29.4,28.3,2.578,1941,8,"Prince_George"
"1941-11-29","1941-12-02",12.2,7.2,4.747,1941,11,"Prince_George"
"1942-01-11","1942-01-13",5.6,5.6,0.99,1942,1,"Prince_George"
"1942-06-03","1942-06-06",28.3,27.2,3.67,1942,6,"Prince_George"
"1942-06-29","1942-07-04",27.2,33.9,5.447,1942,6,"Prince_George"
"1942-07-05","1942-07-06",27.8,27.2,0.693,1942,7,"Prince_George"
"1942-07-19","1942-07-21",29.4,31.1,2.16,1942,7,"Prince_George"
"1942-08-07","1942-08-08",29.4,32.8,2.545,1942,8,"Prince_George"
"1942-08-14","1942-08-16",30,34.4,4.04,1942,8,"Prince_George"
"1942-09-03","1942-09-05",25,27.8,3.836,1942,9,"Prince_George"
"1942-09-21","1942-09-28",23.9,22.2,2.291,1942,9,"Prince_George"
"1942-11-12","1942-11-13",7.8,8.9,0.963,1942,11,"Prince_George"
"1942-12-15","1942-12-16",6.1,6.1,1.92,1942,12,"Prince_George"
"1943-01-06","1943-01-07",3.9,5.6,0.69,1943,1,"Prince_George"
"1943-01-08","1943-01-09",5.6,6.1,1.467,1943,1,"Prince_George"
"1943-01-12","1943-01-13",6.1,7.2,1.765,1943,1,"Prince_George"
"1943-02-17","1943-02-18",11.7,11.1,4.67,1943,2,"Prince_George"
"1943-02-25","1943-02-26",8.3,10,1.067,1943,2,"Prince_George"
"1943-04-11","1943-04-15",19.4,16.7,4.636,1943,4,"Prince_George"
"1943-04-16","1943-04-18",17.8,19.4,1.636,1943,4,"Prince_George"
"1943-06-30","1943-07-01",26.7,27.2,1.093,1943,6,"Prince_George"
"1943-09-10","1943-09-12",26.7,23.9,2.78,1943,9,"Prince_George"
"1943-09-23","1943-09-25",22.8,26.7,3.758,1943,9,"Prince_George"
"1943-10-01","1943-10-02",22.2,25,4.475,1943,10,"Prince_George"
"1943-10-07","1943-10-08",18.9,24.4,3.427,1943,10,"Prince_George"
"1943-11-15","1943-11-16",9.4,11.1,2.59,1943,11,"Prince_George"
"1943-11-20","1943-11-23",8.9,6.1,3.434,1943,11,"Prince_George"
"1943-12-02","1943-12-03",6.1,6.7,1.5,1943,12,"Prince_George"
"1944-01-18","1944-01-19",6.7,8.9,2.8,1944,1,"Prince_George"
"1944-04-02","1944-04-03",15,17.8,2.3,1944,4,"Prince_George"
"1944-04-05","1944-04-06",15.6,18.3,2.327,1944,4,"Prince_George"
"1944-04-08","1944-04-09",16.1,16.7,1.193,1944,4,"Prince_George"
"1944-04-20","1944-04-22",17.8,20.6,1.74,1944,4,"Prince_George"
"1944-05-14","1944-05-15",23.9,24.4,1.393,1944,5,"Prince_George"
"1944-06-09","1944-06-10",27.8,30,3.275,1944,6,"Prince_George"
"1944-07-18","1944-07-19",31.7,34.4,4.825,1944,7,"Prince_George"
